wavelength,Back_SchMelm,Belly_SchMelm,Breast_SchMelm,Crissum_SchMelm,Crown_SchMelm,DorTail_SchMelm,Rump_SchMelm,Throat_SchMelm,WingTip_SchMelm
778.16,6.29833333334,34.9963333333,22.6229333333,19.5054666667,5.15393333333,1.92966666667,5.6485,4.03866666667,6.44866666667
778.47,5.82973333334,34.3928,21.6498,18.8292,4.62506666667,1.52886666667,5.3024,3.52186666667,5.52006666667
778.78,5.2342,33.7994,21.0499333333,17.9691333333,4.04226666667,1.04993333333,4.63336666667,2.74706666667,4.886
779.09,4.68193333334,33.2056,20.7516666667,17.5190666667,3.81733333333,0.8794,4.22016666667,2.4368,4.50993333333
779.40,4.07546666666,32.41,20.4516666667,17.0315333333,3.41513333333,0.377199999999,3.76523333333,1.86653333333,4.10533333333
779.71,3.96046666667,31.9455333333,20.2281333333,16.7038,3.66786666667,0.287466666667,3.74226666667,1.91826666667,3.95546666667
780.02,4.5012,32.7518666667,20.9975333333,17.2832,4.55646666667,1.1178,4.26803333333,2.98253333333,4.6466
780.33,3.87606666667,32.6267333333,20.8806666667,16.9635333333,4.3266,0.194600000001,3.5023,2.6216,4.03473333333
780.64,4.36993333334,33.5618666667,21.8863333334,17.3032,5.06613333333,1.0808,4.01146666667,3.5074,4.97793333333
780.95,5.02066666666,34.047,22.6404666667,17.7552666667,5.85933333333,2.07806666667,4.68733333333,4.18233333333,5.64053333333
781.26,5.87273333334,35.3102,23.8644666667,18.9432666666,7.12933333334,3.44913333334,5.652,5.2892,6.672
781.57,6.33193333334,35.4144666667,24.0836666667,19.0326,7.77000000001,4.2666,6.18843333333,5.60013333333,7.0536
781.88,6.65053333333,36.0298666667,24.7749333333,19.4990666667,8.53713333333,4.3592,6.5602,6.11233333333,7.72186666667
782.19,7.05473333333,36.5283333333,25.2685333333,20.0318666667,9.18133333333,4.774,6.9458,6.87906666666,8.27739999999
782.50,7.50053333334,37.1793333333,25.4130666667,20.5364666667,9.31753333332,5.34940000001,7.38383333333,7.32006666667,8.7862
782.81,7.95073333333,37.9081333333,25.4735333333,20.8988,9.88226666668,5.52699999999,7.54953333334,7.73126666667,8.99406666667
783.12,8.03540000001,38.3561333333,25.0983333333,20.9431333333,9.97040000001,5.75046666667,7.5074,7.57753333334,9.08106666666
783.43,8.36293333333,38.6709333333,25.1648666667,21.2154666667,10.1135333333,5.98613333334,7.64983333333,7.677,9.41646666665
783.74,9.77413333333,39.57,25.9730666667,22.2312666667,11.1128666667,7.27953333334,9.03226666666,8.81186666667,10.5214666667
784.05,10.5162,39.6612666667,26.5644666666,22.7958,12.0322666667,7.85473333333,9.46506666667,9.11833333333,11.301
784.36,10.7696,39.8980666667,26.6451333333,22.9606666667,12.3466,8.28119999999,9.82040000001,9.32686666665,11.7188666666
784.67,10.0054,39.4571333333,25.7601333333,22.1878666667,11.4387333333,7.21506666666,8.76226666667,8.32253333333,10.9229333333
784.98,9.44766666667,39.3088666667,25.2137333334,22.117,11.0692,6.86246666667,8.21483333333,7.94566666667,10.6667333333
785.29,9.02186666667,38.7322,24.7978,21.5136,10.5246666667,6.63373333333,7.49453333334,7.39886666667,10.3059333333
785.60,9.58200000001,39.4168666666,25.3078666667,22.0021333333,11.0120666667,7.04619999999,7.85203333333,7.7558,10.836
785.91,9.49513333335,39.1073333333,25.2888,22.0585333334,11.0348666667,6.68339999999,7.57873333333,7.58153333334,10.7001333333
