wavelength,Back_SpoHycf,Belly_SpoHycf,Breast_SpoHycf,Crissum_SpoHycf,Crown_SpoHycf,DorTail_SpoHycf,Patch10_SpoHycf,Rump_SpoHycf,Throat_SpoHycf,WingTip_SpoHycf
209.52,45.6788888888,-1.05833333333,56.7459166667,95.5026666669,8.99466666666,87.8308333331,44.4445,54.4973333333,9.52391666665,69.0476666665
209.90,46.7213333334,3.00550000002,66.53,106.011166667,12.295,78.9618333333,55.4643333333,58.743,18.03275,64.4811666665
210.28,29.1918333333,-24.5453333333,55.606,97.2726666669,-9.99983333334,55.7575,41.2121666666,46.3635,-9.39366666665,43.0305
210.66,38.8891111112,-3.17466666665,62.3015833333,110.582,6.61383333334,49.9998333333,63.2275,59.7883333333,13.7566666667,46.8255
211.03,37.7068333334,-31.915,61.5249166667,140.070833333,-14.5391666667,47.5176666667,54.61,63.4753333333,-8.86525,41.1345
211.41,43.8333333333,-23.0,66.3333333333,137.666666667,-3.99999999999,44.3333333333,64.3333333333,67.0,-3.66666666665,53.6666666665
211.79,51.6103333333,-10.3865,57.2461666666,111.835666667,6.52166666665,38.8888333334,50.2411666667,54.8308333333,4.71008333335,42.9951666667
212.17,58.1638055555,7.317,58.3334166666,104.471666667,19.9185,43.6991666667,51.016,56.5038333334,12.9066666667,51.0161666666
212.55,67.298,-6.5655,64.8991666667,118.687166667,10.8585,51.5151666667,47.4745,62.3736666667,17.677,56.0608333335
212.92,66.5860277778,-2.657,67.8744166666,109.9035,18.3573333333,62.5603333333,40.0966666667,62.0771666667,30.1933333333,66.6666666665
213.30,61.6058611111,-0.68483333335,64.726,101.8265,18.9498333333,58.4476666667,37.4428333334,59.3606666667,23.6304166667,65.0681666665
213.68,62.8420555556,1.44933333335,75.2413333333,101.449333333,23.1885,65.9421666666,31.884,59.1788333332,22.5843333334,80.1931666665
214.06,50.2172777778,-22.1356666666,46.4843333334,73.9581666669,8.07283333331,52.6043333333,12.4998333333,51.3016666667,-6.38058333335,61.4586666667
214.44,67.3106944444,3.86483333335,60.0239166667,80.4348333331,18.599,62.8018333334,21.7391666667,60.8698333334,-0.7245,65.459
214.81,52.0026666667,-55.814,37.2094166667,55.0386666668,-31.783,51.5503333333,-35.6586666666,42.6358333334,-65.31,50.7751666665
215.19,35.4166666667,-60.4166666667,32.7083333333,37.0833333333,-48.3333333333,36.6666666667,-45.4166666667,36.2499999999,-74.7916666665,45.8333333335
215.57,12.6156388889,-142.361,3.47225,20.8333333334,-113.889,45.1388333334,-101.388833334,28.472166667,-173.9585,20.1391666665
215.95,-64.236111111,-445.833333333,-7.29166666666,-18.75,-318.75,137.5,-287.5,70.833333333,-542.708333335,33.3333333335
216.32,1555.55555555,4900.0,866.666666667,1466.66666667,4183.33333333,249.999999998,3433.33333334,683.33333333,5008.33333334,1350.0
216.70,-217.361111111,-1195.83333333,-185.416666666,-341.666666667,-970.833333333,-95.8333333335,-608.333333333,-41.6666666665,-1139.58333334,-241.666666667
217.08,103.75,286.666666667,81.25,122.5,264.166666667,104.166666667,187.5,82.5,252.083333334,125.0
217.46,70.6093333334,191.935666667,62.0965,81.7203333335,187.6345,78.4946666665,148.387333334,65.5914999999,141.666583334,91.3976666666
217.83,109.953666667,390.277833334,81.2499166665,109.722333333,404.166666666,140.277833334,234.722333333,43.0558333335,252.777916667,234.722333333
218.21,173.148305556,1022.22233334,-175.000083333,-144.4445,1050.0,172.222333333,427.778,-249.999833334,386.11125,222.222166667
218.59,125.347222222,370.833333333,-71.875,-56.2499999999,295.833333333,0.0,120.833333333,-131.25,42.7083333335,72.9166666665
218.97,544.444444445,-325.0,1354.16666667,1591.66666667,150.0,866.666666665,716.666666666,1566.66666667,812.5,800.0
219.34,232.828222222,51.515,346.212083334,406.060666666,201.515,262.121166667,275.7575,424.2425,292.424333333,277.272666667
219.72,144.117611111,-4.901833333,199.01975,236.2745,97.0588333335,144.117666667,103.9215,247.058833333,183.8235,160.7845
220.10,169.444416667,-194.4445,352.77775,536.111333333,41.6666666667,186.111166667,58.3333333335,466.666666667,320.833,108.333666667
220.47,536.805555555,79.1666666665,716.666666667,1104.16666666,329.166666667,437.5,316.666666667,904.166666666,743.75,570.833333333
220.85,-393.888888888,-33.333333333,-488.333333334,-766.666666665,-123.333333334,-310.0,3.3333333335,-503.333333333,-413.333333333,-393.333333334
221.23,203.431444445,110.7845,205.882333334,349.999833334,142.156666667,199.999833334,100.980333333,234.3135,172.54925,238.235166666
221.61,121.666861111,81.9048333335,131.666666667,191.428666667,104.762,120.476166667,94.762,153.8095,109.761833333,161.904666667
221.98,158.459611111,54.5455,155.682,273.484666667,113.6365,140.909166666,91.6666666667,198.484833333,132.954416667,225.000333334
222.36,481.0185,-41.6666666665,409.722333333,827.778000002,205.5555,441.666666666,152.777666667,533.3335,393.0555,650.0
222.74,494.444388889,47.222333333,336.111,913.888999999,316.666666667,438.889,227.777666667,563.888833332,419.444416667,758.333
223.11,-193.055555556,79.166666667,-71.875,-512.5,-43.75,-143.75,18.75,-281.25,-188.541666667,-422.916666666
223.49,2163.88888889,-116.666666665,658.333333334,4283.33333333,599.999999999,1366.66666666,-33.3333333335,2650.0,1591.66666667,3583.33333334
223.87,224.495,83.3333333335,87.8789166667,460.606166667,142.424,137.878666667,109.090666667,254.545166667,217.424416667,381.818
224.24,207.465277778,64.5833333332,103.645833333,328.125,104.166666666,113.541666667,101.041666667,194.791666666,165.104166666,316.666666666
224.62,124.707527778,34.2105,82.0174166666,267.543833333,112.2805,122.806833333,114.035166667,166.666666666,108.772,256.1405
225.00,175.757694444,31.8183333335,42.4245833333,431.818166667,186.363666666,180.303,227.272833333,275.757833333,187.878666667,357.575833333
225.38,-229.861111112,241.666666667,68.75,-812.5,-266.666666667,-200.0,-308.333333334,-591.666666667,-216.666666666,-691.666666667
225.75,1.80555555555,96.6666666667,37.0833333333,-105.0,-19.1666666667,20.0,-45.0,-60.8333333333,23.3333333333,-31.6666666666
226.13,27.1426944445,73.8096666665,50.2381666667,-15.2381666667,23.3335,31.9046666667,11.9048333333,5.238,60.2380833334,4.286
226.51,37.3333333333,57.0,44.8333333333,14.0,30.6666666666,42.3333333333,27.0,32.0,71.3333333333,27.3333333333
226.88,56.86275,84.8041666665,59.0685,48.0395,60.5391666667,59.314,55.8823333333,60.049,84.4361666666,56.8628333333
227.26,61.0684166666,94.6153333332,56.6666666667,50.5128333334,55.8975,61.0256666666,53.0771666667,61.5385,89.3589166667,55.1281666667
227.64,58.2593055556,87.3333333333,46.22225,48.4443333333,48.4443333333,52.6668333333,54.6663333333,57.3331666667,70.778,53.5555
228.01,43.2265555556,80.1373333333,24.7716666666,43.1505,41.0956666666,43.3791666666,46.8035,41.3241666667,53.88125,44.7488333333
228.39,38.0281388889,71.3615,14.3194166667,39.6711666667,36.6198333334,40.845,42.0188333334,36.8545,51.7605833333,34.0376666666
228.76,26.6281666667,62.2606666666,9.96158333333,41.7626666667,33.3331666667,45.5938333334,39.0806666667,32.1841666667,45.4023333334,32.5668333333
229.14,24.6077777778,57.0588333333,-9.01966666665,35.8821666667,21.9608333333,33.9215,30.784,16.8626666667,41.1765,21.3725
229.52,23.1366666667,55.2846666667,-15.7520833334,36.9916666666,24.187,33.1301666666,26.8291666666,17.073,33.6383333333,24.3901666666
229.89,27.8446666666,63.2531666667,-7.22883333334,40.3615,29.7186666667,32.9318333333,36.345,24.4978333333,37.9516666666,29.3171666667
230.27,19.7131944445,65.3225,-38.8441666667,23.9248333334,17.473,28.2258333333,22.3116666666,10.4838333333,27.1505,25.8061666667
230.65,-18.7089444444,60.2941666667,-135.53925,-25.9805,-28.4315,4.90183333333,-16.6668333334,-50.0001666667,-0.24516666665,-2.9415
231.02,-46.16875,28.161,-207.183833333,-94.8276666669,-73.5633333331,-23.5631666667,-64.368,-105.172666666,-61.2069166665,-54.5976666666
231.40,-18.0950555555,37.1426666667,-158.80975,-56.1905,-43.3331666667,-19.0476666666,-32.857,-65.2383333333,-37.381,-16.1905
231.78,1.4286111111,59.5238333333,-141.428416666,-48.0953333333,-20.476,-9.04766666665,-24.2858333333,-45.7143333333,1.19058333335,-10.9523333333
232.15,14.1907777778,66.3043333334,-89.4924166667,-29.3476666667,-2.8985,-9.78266666668,6.522,-21.3766666667,13.4056666667,-0.000166666649999
232.53,8.62883333335,59.2196666667,-89.7160833333,-37.234,-19.1486666667,-19.149,2.128,-27.3048333334,2.83683333335,-8.86533333334
232.90,15.79375,54.7621666667,-120.71425,-79.524,-27.143,-60.0,7.619,-41.4286666667,-5.00016666665,-8.095
