wavelength,Back_PlaCram,Belly_PlaCram,Breast_PlaCram,Crissum_PlaCram,Crown_PlaCram,DorTail_PlaCram,Rump_PlaCram,Throat_PlaCram,WingTip_PlaCram
771.63,21.8274666667,43.6628,17.5309666667,52.3487666667,13.1395333333,20.8806156863,26.2072333333,12.5155,22.8702
771.94,21.7816666667,43.9127333333,17.4901333333,52.7679,13.0912,20.7930568628,26.1454111111,12.2421,23.0218333333
772.25,22.2321,43.6536666667,18.0051333333,52.2280666667,13.5785333334,21.0963843137,26.7689111111,13.009,23.4044333333
772.56,21.9464,43.7921333333,18.0234666667,52.2685666667,13.5467333333,20.7955490196,26.9222111111,13.1302,23.3413
772.87,21.6336666667,43.8936666667,17.7708666667,52.4146,13.1890666667,20.2127823529,26.9633555556,12.6576,23.0966
773.18,21.0104666667,43.7268666667,17.5451666667,52.4251,12.4952,19.7698764706,26.4857888889,12.2719,22.4782666667
773.50,20.7000333333,44.358,17.5752,52.9383666667,12.3546666667,19.4051450981,26.5439333333,12.0276666667,22.4115666667
773.81,21.1244333333,44.7992,17.9771666667,53.1890333333,12.8232,19.9818568627,27.1064222222,12.3820666667,22.9983666667
774.12,21.0992666667,44.8326,17.9095666667,53.2254,12.7490666667,19.8579862745,27.4204888889,12.5353666667,23.2075333333
774.43,21.2779666666,44.8051333333,18.1587,53.0674,13.1126666667,19.9545529412,27.5112111111,13.0899,23.7234333333
774.74,21.1658333333,44.6454,18.0815,53.0048,13.1097333333,19.6025450981,27.5153777778,12.9911,23.7873333333
775.05,21.2635333333,45.2480666667,18.0667,53.2153,13.3056,19.770572549,27.8450444444,13.2476,23.8063666667
775.36,21.5157666667,45.3120666667,18.3344333333,52.7920333333,13.7572,20.2877470588,28.4112333333,13.8999,23.8654333333
775.67,20.9086666666,45.0116,17.6751333333,52.3990333333,13.0227333333,20.0102431373,28.0404333333,13.2731,23.5186333334
