wavelength,Back_PooThom,Belly_PooThom,Breast_PooThom,Crissum_PooThom,Crown_PooThom,DorTail_PooThom,Rump_PooThom,Throat_PooThom,WingTip_PooThom
382.69,6.2236,19.9557272727,5.51793333333,9.50873333335,6.57606666667,9.43886666666,7.14493333334,18.9522666667,8.67456666667
383.05,6.09873333334,20.0055151515,5.40646666667,9.40546666667,6.49353333333,9.373,7.01153333333,18.9640666667,8.55946666667
383.41,6.01733333333,19.974369697,5.30853333333,9.38613333333,6.39266666666,9.27776666667,6.9164,18.9578,8.45596666667
383.77,6.00733333333,19.9739454546,5.2478,9.40646666667,6.34073333333,9.23113333333,6.85386666667,18.9656,8.39113333333
384.14,5.99453333333,19.9628666667,5.198,9.4148,6.30586666667,9.21526666667,6.83353333333,19.0294,8.33306666667
384.50,6.0954,20.1464424242,5.32686666667,9.48026666667,6.3974,9.3145,6.95593333333,19.2085333333,8.51273333333
384.86,6.04093333333,20.1187212121,5.31493333333,9.4702,6.34213333333,9.28113333333,6.9102,19.2372666667,8.45023333333
385.22,6.19633333334,20.3176727273,5.4582,9.64966666667,6.4632,9.43856666667,7.04373333333,19.3941333333,8.59916666667
385.58,6.23926666667,20.3381636364,5.4816,9.733,6.51393333333,9.4727,7.10446666667,19.5046,8.6707
385.94,6.22153333333,20.3742363636,5.44513333333,9.73213333333,6.48406666667,9.4756,7.10213333333,19.5504,8.62753333333
386.30,6.20053333333,20.3761818182,5.39033333333,9.70466666667,6.42306666667,9.4571,7.0446,19.5629333333,8.54906666667
386.66,6.1542,20.4167818182,5.3352,9.64753333333,6.3764,9.43713333334,7.0096,19.5644,8.4823
387.03,6.19313333333,20.5218848485,5.39126666667,9.74393333332,6.4518,9.45609999999,7.09033333333,19.6719333333,8.56593333333
387.39,6.2414,20.6345878788,5.4584,9.78206666667,6.4946,9.51143333333,7.10726666667,19.7526666667,8.61006666667
387.75,6.3588,20.8007757576,5.56866666667,9.91053333335,6.6306,9.61466666667,7.21893333333,19.8999333333,8.7445
388.11,6.3074,20.8519030303,5.5272,9.84846666667,6.59606666667,9.58593333333,7.17306666667,19.8883333333,8.72336666667
