wavelength,Back_SalAtom,Belly_SalAtom,Breast_SalAtom,Crissum_SalAtom,Crown_SalAtom,DorTail_SalAtom,Rump_SalAtom,Throat_SalAtom,WingTip_SalAtom
211.41,-396.666666667,-245.333333333,-301.333333333,-302.0,-346.666666667,-738.577777777,-585.333333333,-396.666666667,-229.333333333
211.79,-210.158733333,-130.158733333,-152.6984,-154.285666666,-160.0,-364.296311111,-287.9364,-187.619133333,-131.428533333
212.17,-236.521666667,-162.898533333,-169.5652,-175.3624,-177.971,-359.613448889,-287.2462,-192.174,-164.927533333
212.55,-197.435866667,-127.4358,-139.487266667,-135.897333333,-139.230666667,-305.829093333,-252.564066667,-157.435933333,-144.871866667
212.92,-168.484933333,-104.848466667,-118.181866667,-102.6264,-108.485,-247.057204444,-194.7474,-126.464666667,-122.2222
213.30,-332.333333333,-215.333333333,-243.333333333,-206.333333333,-225.333333333,-465.666666667,-370.666666667,-280.666666667,-248.333333333
213.68,-1326.66653333,-995.555666667,-1088.88893333,-906.666733333,-943.333466667,-1764.51840445,-1427.77766667,-1167.77793333,-1073.33326667
214.06,1384.4444,1036.66673333,1046.66673333,954.444466668,937.777733333,1770.29623111,1399.99993333,1183.33326667,1078.88886667
214.44,1588.0,1112.0,1174.66666667,1062.66666667,1081.33333333,2032.44444444,1552.0,1318.66666667,1198.66666667
214.81,456.666533333,311.851733333,344.074,313.703866667,319.259133333,561.654235555,431.851866667,363.7036,344.8148
215.19,610.000133333,425.555666667,473.888866667,455.5556,452.7778,758.259284445,588.888866667,488.333266667,464.4444
215.57,617.777733334,417.2224,466.6666,460.555533333,478.888866667,737.888982222,587.222266667,460.000133333,442.7778
215.95,333.3332,233.589866667,257.179666667,256.153933333,271.282066666,370.991462222,306.923066667,262.051266667,230.000066667
216.32,186.232,132.898533334,143.913,145.5072,149.5652,214.657044444,180.5796,145.507266667,129.420333333
216.70,181.866666667,139.866666667,149.066666667,146.8,150.266666667,207.44,166.4,143.333333333,138.0
217.08,144.111066667,110.222266666,116.222266667,119.000066667,122.666666667,164.059355555,135.0,117.0,114.0
217.46,155.0944,118.9938,119.3712,132.955866667,136.981066667,172.553511111,145.157266667,123.396133333,120.7548
217.83,141.694933333,102.0338,102.824933333,119.322,125.875666667,153.461533333,126.214733333,109.265533333,106.553533333
218.21,151.228066667,110.877133334,113.801133333,127.836266667,137.660866667,158.503048889,139.7662,121.988266667,110.526266667
218.59,133.972533333,100.4566,99.5433999999,115.616466667,121.095866667,137.893382222,124.748933333,106.2102,99.4521333334
218.97,163.041,124.912333333,115.9064,139.5322,149.005866667,169.574955555,155.672466667,128.537933333,123.391866667
219.34,185.531866667,137.021333333,119.574333333,151.6312,158.297933333,191.035582222,176.737733333,146.8084,132.766
219.72,171.8644,129.717466667,121.808066667,139.435133333,142.259933333,178.259697778,164.632666667,144.2938,129.3784
220.10,157.435866667,121.4358,120.307733334,132.3078,130.461533333,167.719671111,154.051333333,134.2564,131.179466667
220.47,176.174866667,137.049133333,138.032733333,149.836066667,149.945333333,185.653888889,167.103733333,157.486266667,151.256866666
220.85,191.823933333,142.012466667,140.2516,163.018933333,160.125866666,196.645648889,182.1384,173.081733333,152.452866666
221.23,215.9476,162.614333333,159.8692,193.856133333,188.235466667,222.666773333,208.758266667,192.548866667,176.732066667
221.61,221.568733333,162.745266667,172.549,197.7778,189.4116,235.302755556,214.1176,188.889,192.418266667
221.98,228.75,166.5278,174.861133333,205.6944,182.9166,244.537035556,225.833333334,199.999933334,198.75
222.36,229.130533333,164.347866667,167.825933333,212.173933333,180.2898,256.18368,222.029066667,204.058,202.608666667
222.74,363.5714,278.5714,273.0952,331.666733333,296.666666667,414.0476,361.190466667,350.238,336.904666667
223.11,261.333333333,202.6668,209.333333333,237.777733334,213.333466667,292.691422222,257.629666667,254.074066667,242.370466667
223.49,243.8888,186.944466667,199.861,222.5,200.0,272.648146667,233.749933333,234.166533333,226.527733333
223.87,309.791666667,235.416666667,248.958333333,289.375,257.708333333,348.513888889,295.416666666,295.416666667,287.708333333
224.24,863.333333333,635.333333333,651.333333333,814.666666667,714.0,1000.57777778,840.000000001,836.0,772.666666667
224.62,-693.888933334,-495.0,-496.111066666,-647.2222,-543.3332,-769.22219111,-658.888933333,-639.999933333,-570.0
225.00,-560.888933333,-417.333266667,-406.6668,-507.111133333,-447.111066667,-631.70364,-555.999933333,-516.444466667,-476.0
225.38,-354.603133333,-252.063466667,-251.746133333,-298.412666667,-278.412666667,-406.454991111,-354.285866667,-337.777666667,-280.634866667
225.75,-246.451733333,-178.064333333,-170.967666667,-200.430266667,-198.279533333,-265.577115555,-245.591266667,-237.8496,-178.064466667
226.13,-161.111133333,-112.638866667,-112.638866667,-125.2778,-139.3056,-169.638955556,-153.194466667,-146.805466666,-114.0278
226.51,-131.827933333,-85.8066666665,-91.6129999999,-93.2258000001,-113.118266667,-128.279542222,-120.8602,-114.7312,-91.0752
226.88,-115.2778,-69.3518,-80.9259333333,-77.5000666667,-97.1294666667,-109.086382222,-100.648066667,-92.7778,-76.5739999999
227.26,-71.0436666667,-37.3737333333,-44.1752,-43.6363333333,-60.8754666667,-66.9180177778,-59.7306666666,-56.0269333333,-43.5016666667
227.64,-44.3644666667,-19.6642,-25.036,-23.8368666667,-37.65,-42.0015288889,-37.1222666666,-34.4843333333,-23.8849333333
228.01,-42.4797333333,-19.9592666667,-24.4716666667,-23.8618666667,-36.3416,-40.1166133333,-36.7886666667,-34.7154,-26.0976
228.39,-40.2868666667,-19.2832,-23.2975333333,-22.5448,-33.9067333333,-35.6368133333,-33.369,-32.294,-24.2292666667
228.76,-37.0922,-16.0993333333,-20.1773333333,-19.149,-32.1986666667,-33.9361377778,-31.1348,-30.5673333333,-21.8084
229.14,-28.8364666667,-9.65399999999,-15.8176,-14.9371333333,-24.7484666667,-26.2265155556,-23.9623333333,-23.9622,-15.9118666666
229.52,-23.0,-6.50006666667,-12.9722666667,-10.8610666667,-18.6389333333,-20.3722,-17.8334,-18.7776666667,-13.0833333333
229.89,-17.5590666667,-2.44093333333,-8.9764,-7.08666666667,-12.9397333333,-15.5573377778,-12.3884,-14.567,-9.16013333333
230.27,-18.7022,-5.62333333333,-12.4682,-10.7888,-14.2748666667,-18.1052533334,-15.9286666667,-17.7864,-11.4758
230.65,-14.4852666667,-3.18626666667,-10.0490666667,-8.97053333333,-10.3676666667,-15.4836488889,-12.9166666667,-13.0146666667,-8.87259999999
231.02,-11.7779333333,-0.691400000008,-8.29619999999,-8.74079999999,-8.54313333333,-13.8420088889,-11.3087333333,-11.5555333333,-7.45680000001
231.40,-12.4264666667,-1.64220000001,-9.55886666667,-10.2941333333,-8.70086666667,-15.2206133333,-11.1520666667,-12.3528666667,-8.30873333333
231.78,-15.5464666667,-5.23613333333,-12.7664666667,-14.5208,-12.6587333333,-19.8850222222,-14.5748,-15.7894,-11.9298666667
232.15,-18.3332666666,-7.69006666665,-15.3802,-17.0759333333,-14.6783333333,-23.9356088889,-16.3157333333,-18.1287333333,-14.1812
232.53,-18.3412,-7.48046666667,-14.5853333333,-17.6213333333,-13.9593333333,-24.7845733333,-16.9014,-17.903,-14.1158
232.90,-20.7716,-10.0618,-16.1727333333,-19.3518,-15.1234666667,-26.9916666667,-18.6729333333,-19.9384,-15.1542666667
233.28,-24.1896666667,-12.324,-16.2690666667,-21.0702,-16.9724,-28.1387733333,-19.5412666667,-21.8653333333,-16.0856666667
233.66,-34.6791333333,-21.659,-23.6933333334,-30.6102666667,-25.4772666667,-37.3416088889,-28.7323333333,-29.9218,-23.9122
234.03,-31.1111333333,-18.5087333333,-19.6490666667,-26.4035333333,-22.9239333333,-34.8382666667,-25.8478666667,-25.4678666667,-20.6431333333
234.41,-23.8291333333,-10.2754666667,-11.8456666667,-17.3555333334,-15.6197333333,-26.61516,-16.9973333333,-16.5288666667,-12.5068666667
234.78,-16.7541333333,-5.66786666667,-6.9662,-10.9612,-10.0125333333,-19.34584,-10.8364,-11.9350666667,-7.24086666666
235.16,-12.5727333333,-3.4676,-3.7584,-7.02466666667,-6.443,-14.0150666667,-7.58386666666,-8.03133333333,-3.3332
