wavelength,Back_TanRuuf,Belly_TanRuuf,Breast_TanRuuf,Crissum_TanRuuf,Crown_TanRuuf,DorTail_TanRuuf,Patch10_TanRuuf,Patch11_TanRuuf,Rump_TanRuuf,Throat_TanRuuf,WingTip_TanRuuf
822.97,27.8845555556,61.4323717949,39.8735,48.383625,20.3488333334,25.6434166667,25.4105833334,41.56825,31.23625,46.8735833333,26.2491
823.27,27.8375833333,61.3887820513,39.89575,48.5062916667,20.3709166667,25.78175,25.6108333334,41.6105833333,31.2908333333,46.95425,26.3472416666
823.58,27.9321666667,61.4334487179,39.7974166667,48.7836666666,20.4811666667,25.8685,25.5985833333,41.7811666667,31.4525,47.0981666667,26.42985
823.88,28.32425,61.5358141026,39.9341666667,48.8802083333,20.90025,26.2536666666,25.9268333333,42.1395833333,31.7530833333,47.1226666667,26.79715
824.18,28.4178888889,61.3576410256,40.0768333333,48.888625,20.9445833333,26.4719166666,25.9901666667,42.16875,31.7568333333,47.1098333333,26.9045666667
824.49,28.4790277778,61.4390192307,40.01325,49.1954583333,21.2061666666,26.7861666666,26.2806666667,42.2276666667,32.13025,47.0475,27.1390833333
824.79,28.6254166667,61.8280961538,40.2688333333,49.5618333333,21.37325,27.1515,26.4466666667,42.7343333334,32.4735,47.3064166667,27.3513083333
825.09,28.62775,61.5469294872,40.222,49.51625,21.03625,27.20275,26.2931666667,42.50475,32.2364166667,47.3694166667,27.2373583333
825.39,28.8440833333,61.3740320513,40.4370833333,49.277125,20.9605833334,26.9786666667,26.0711666667,42.4205833334,32.565,46.9454166666,27.1048083334
825.70,29.1456111111,61.6403589744,40.5508333333,49.2444166667,21.04375,27.2823333333,26.4808333333,42.37175,32.897,47.0125833333,27.336225
826.00,29.5164722222,62.128801282,40.7336666667,49.9125833333,21.14075,27.2583333333,26.2404166666,42.7216666667,33.2114166667,47.2380833333,27.4513083333
826.30,29.9888888889,62.2962307692,40.9081666667,49.8626666667,21.557,27.43175,26.5761666667,42.8663333333,33.75825,47.3045833333,27.2816416666
826.61,29.7923333333,61.9786923077,40.5599166666,49.58775,21.1696666666,26.82825,26.0578333333,42.3775,33.1650833333,46.6580833333,26.6709916666
826.91,30.1427222222,62.1770192308,40.89875,49.610625,21.3605833334,27.2335,26.4059166667,42.5265,33.2899166667,46.5229166667,26.8793166666
