wavelength,Back_CatDiam,Belly_CatDiam,Breast_CatDiam,Crissum_CatDiam,Crown_CatDiam,DorTail_CatDiam,Patch10_CatDiam,Rump_CatDiam,Throat_CatDiam,WingTip_CatDiam
797.32,-2.29666666667,18.8197333333,15.7575333333,12.1851,-10.2393333333,-0.988866666667,16.2362,-8.32540000001,19.968,-2.807
797.63,0.510533333333,21.1802666667,17.9266666667,13.0462,-8.19773333333,0.829333333335,19.0110666667,-6.22006666667,21.4672666667,-1.1484
797.93,2.9594,25.0082,19.8375333333,15.1382,-6.73166666667,3.51226666667,22.1788666666,-3.47966666667,23.6748666667,1.0732
798.24,3.90793333333,26.3710666667,19.6389333333,15.7799666667,-6.23966666667,4.49913333333,23.5468,-2.3316,25.0574,2.33173333333
798.55,5.18146666667,28.9810666667,21.4508,17.1328666667,-5.35413333333,6.32113333333,25.4577333333,-1.209,28.0138,4.52519999999
798.85,6.77193333333,31.3332666667,23.9297333333,19.3683,-3.64913333333,8.07013333335,27.4734666667,0.94726666666,30.7718666667,6.21046666666
799.16,6.52013333334,31.7949333333,24.2856666667,19.5970333333,-3.26006666667,9.01093333333,27.3627333333,1.46513333334,31.8315333333,5.82426666667
799.47,5.88013333333,30.2620666667,23.4456666667,17.9214,-5.50573333333,7.60306666667,26.0673333333,-0.187266666667,30.1122666667,4.56926666667
799.78,8.97440000001,31.9779333333,27.3626,20.9523666667,-2.3442,11.5752,28.8278,4.17580000001,33.077,7.83880000001
800.08,9.58800000001,32.2847333333,28.3146666667,22.4531,-1.68546666667,12.3222,29.3258,4.75666666665,34.4195333333,9.32586666667
800.39,8.70373333333,30.7406666667,27.3332666667,20.5927333333,-1.51853333333,11.6666,27.2961333333,3.33326666666,33.0,8.11113333334
800.70,13.2979333333,33.5802,31.5344,24.6737666667,4.09166666666,15.626,29.6295333333,8.07760000001,36.0141333333,12.4516
801.00,15.3022666667,35.1295333333,33.9551333333,27.3230666667,7.18480000001,17.3402666667,30.7080666667,10.639,37.6856,14.8878
801.31,14.9304666666,34.3402,35.2430666667,27.7604,7.56953333333,17.0834,29.8611333333,10.1735333333,37.6736666667,15.2428666667
801.62,15.9859333334,36.0209333333,37.7312,28.9353,9.21480000002,18.7783333334,30.8202666667,11.6579333333,39.8952666667,17.6614666667
801.92,18.4772,37.5298,38.8493333333,30.1523,11.1674666667,20.6428,32.1827333333,14.2471333333,40.5076666667,19.1879333333
