wavelength,Back_CatInom,Belly_CatInom,Breast_CatInom,Crissum_CatInom,Crown_CatInom,DorTail_CatInom,Patch10_CatInom,Rump_CatInom,Throat_CatInom,WingTip_CatInom
779.09,14.2326666667,35.2334,23.6538,34.1988,10.5902666667,18.7296,11.7257333333,22.8499333333,19.1849333334,17.8302
779.40,14.9378666667,35.9944,24.6862,34.8768,12.1328666667,19.5075333333,12.9736666667,24.1161333333,20.0166666667,19.1424666667
779.71,14.6185333333,35.9316666667,24.2192666666,34.613,11.7742666667,19.1563333333,12.6291333333,23.8168,19.4746666667,18.8935333333
780.02,14.4424,35.7724666667,24.0294666667,34.4935333334,11.63,19.0944,12.773,23.6559333333,19.0831333333,18.7832666667
780.33,13.5224666666,35.0530666667,23.233,33.7920666667,10.599,18.2918,11.9918666667,22.8718666667,18.3203333333,17.7356666667
780.64,14.1679333333,35.6832666667,23.8994,34.031,11.2578,19.3596,12.47,23.6877333333,18.8106666667,18.3706
780.95,13.5115333333,34.8460666667,23.2038666667,33.2412666667,10.5377333333,18.7575333333,11.8033333333,22.8702,18.0040666667,17.423
781.26,12.6549333333,34.0522,22.3709333333,32.5621333333,9.86673333334,18.4522,11.3218,22.1159333333,17.0029333333,16.7479333333
781.57,12.3842666667,33.3044,21.6898,31.9096666666,9.64119999999,18.2408,10.5381333333,21.7707333333,16.2036,16.1342
781.88,10.8214666667,32.0238,20.1607333333,30.9047333333,8.24413333333,16.893,8.67846666668,20.7440666667,14.7916666667,14.7320666667
782.19,10.0931333333,31.079,19.2906666667,29.9969333333,7.364,16.0084666667,7.41213333333,19.9761333333,13.8804,13.5677333333
782.50,10.5234666667,31.5342666667,19.7292666667,30.6798,8.11066666666,16.6847333333,8.41753333334,20.3911333333,14.7472666667,13.9410666667
782.81,10.9404,31.9168666667,20.0000666667,31.3322,8.67993333332,17.7155333333,9.08986666666,20.8316666667,15.847,14.3882666667
783.12,11.1150666667,31.9432,20.4896,31.8587333333,9.12060000001,18.2472666667,9.68879999999,21.3538666667,16.3976666667,14.9168666667
783.43,11.5118,32.3030666667,21.1160666667,32.7384666666,10.0768666667,19.2579333333,10.1320666667,22.0116,17.1234,15.3879333334
783.74,12.3886666667,32.8518666667,21.9135333333,33.1565333333,10.8227333333,20.3656,11.2858666667,22.6264666667,17.7817333333,16.3132
784.05,12.2636666667,32.7864,21.8170666667,32.9748666667,11.0422,20.6442,11.3826,22.5524,17.7818,16.7668666667
784.36,11.7569333333,32.2867333333,21.3832,32.5358666667,10.4236666667,20.3114666667,10.7788,22.324,17.0279333333,16.1618666667
784.67,12.2169333333,33.2008666667,21.9301333333,33.4343333333,11.0752666667,21.0848666667,11.2644666667,23.1535333333,17.5466,16.8149333333
784.98,12.0205333333,33.1918666667,22.0849333334,33.6293333333,10.6885333333,21.4157333333,11.2742,22.9729333333,17.9472666667,16.7376
785.29,12.9713333334,34.1079333333,23.5682666667,34.4126666667,11.9554,22.7048666667,12.4127333333,23.8667333333,19.2380666667,18.1014
785.60,13.205,34.3609333333,23.6802,34.5343333333,11.657,23.1921333333,12.8066666667,23.7188666667,19.5376,18.4521333333
785.91,12.3058666667,33.0541333333,22.8799333333,33.4792,10.5678,22.0298,11.5953333333,22.404,18.6806666667,17.653
786.22,12.5674,32.9818,23.2894,33.6974,10.86,22.0778,11.7387333333,22.2474,18.6064666667,17.6835333333
786.53,13.1556666667,33.119,23.6091333333,33.8051333333,11.3787333333,22.5856666667,11.7831333333,22.3713333333,19.0074,18.2412666667
786.84,13.3576,33.7266666667,24.2106,33.8777333333,11.6577333333,22.3956,12.0629333333,22.3957333333,19.2196,18.548
787.14,13.4484,34.5322666667,24.6138666667,34.6474,12.1283333333,22.513,11.9709333333,22.4523333333,19.8426666667,18.9100666667
787.45,13.285,34.4424,24.7015333333,34.7196,12.0555333333,21.9650666667,11.7662,22.1458,19.9578666667,18.4087333333
787.76,13.0778666667,34.9732,25.0207333333,34.4146,12.0737333333,21.7291333333,11.5926,21.7410666667,20.6892,18.7166666667
