wavelength,Back_PooTorm,Belly_PooTorm,Breast_PooTorm,Crissum_PooTorm,Crown_PooTorm,DorTail_PooTorm,Patch10_PooTorm,Patch11_PooTorm,Patch12_PooTorm,Patch13_PooTorm,Rump_PooTorm,Throat_PooTorm,WingTip_PooTorm
368.93,7.48500000001,21.8614333333,3.58366666667,4.13210877193,6.43986666667,5.37273333333,16.1464,17.8034,16.242,25.9519333333,12.6721333333,21.1287333333,6.3126
369.29,7.48573333333,21.9043333333,3.50106666667,4.08907719298,6.39399999999,5.3772,16.1486,17.8045333333,16.2302,25.9868333333,12.6318333333,21.1134,6.24713333333
369.65,7.40366666666,21.8585666667,3.38493333333,4.02779298245,6.32266666667,5.3074,16.0865333333,17.7184,16.1610666667,25.9440333333,12.5562333333,21.1050666667,6.1086
370.01,7.29626666666,21.9071,3.25053333333,3.91005964912,6.21946666666,5.2134,16.0838,17.6781333333,16.1342666667,25.9279666667,12.4443,21.1381333333,5.98926666667
370.38,7.2352,21.9407,3.20853333333,3.84041754386,6.16720000001,5.15646666667,16.0995333333,17.6874,16.1294666667,25.9455,12.4197,21.1591333333,5.9208
370.74,7.25573333333,22.0057333333,3.18253333333,3.81322456141,6.13953333333,5.1324,16.1558666667,17.6620666667,16.0963333333,26.0026333333,12.4045666667,21.2766666667,5.87633333333
371.10,7.26326666667,22.0883666667,3.19693333333,3.83507719298,6.17553333333,5.14146666667,16.208,17.6701333333,16.1527333333,26.0447,12.4239,21.3379333333,5.8642
371.46,7.24833333334,22.1639666667,3.15693333333,3.83706666667,6.1838,5.12713333333,16.2443333333,17.7716666667,16.1463333333,26.0761666667,12.3917666667,21.43,5.8106
371.83,7.37173333333,22.2761,3.2122,3.92623859649,6.28646666667,5.21346666666,16.4290666667,17.8831333333,16.2788,26.2146333333,12.4599,21.6402,5.85266666667
372.19,7.43339999999,22.3411,3.21726666667,3.96963157895,6.38700000001,5.2788,16.5230666667,18.0123333333,16.4284666667,26.3408,12.5211333333,21.766,5.90213333333
372.55,7.5428,22.4244666667,3.26886666667,4.04678596491,6.47913333332,5.3728,16.6878666667,18.145,16.5558666667,26.5013333333,12.6286666667,21.9157333333,5.9726
