wavelength,Back_TiaOlim,Belly_TiaOlim,Breast_TiaOlim,Crissum_TiaOlim,Crown_TiaOlim,DorTail_TiaOlim,Patch10_TiaOlim,Rump_TiaOlim,Throat_TiaOlim,WingTip_TiaOlim
778.78,21.0477333333,45.7738666667,12.6864,38.9468,18.5724666667,23.7477333333,28.1744166667,24.6672666666,29.1901333333,22.0636
779.09,20.6754,45.6481333333,12.1404,38.5674666667,17.8484666667,23.3005333333,27.6553333333,24.2919333333,28.1481333334,21.2528
779.40,20.8000666667,45.355,12.1633333333,38.5142,17.7903333333,23.3687333333,27.1020833334,24.2829333333,28.0434666667,21.1918
779.71,20.4176,45.0068666667,11.9264666667,38.2194666667,17.5598,23.3196,26.9100833333,24.0834666667,27.8426666667,21.0497333333
780.02,19.3437333333,43.9212666667,11.4194,37.364,16.9867333333,22.8275333333,26.1894166667,23.4728666667,26.962,20.2024666667
780.33,18.8277333333,43.6665333333,10.9000666667,36.4388666667,16.4776666667,22.4112666667,26.1873333333,23.2777333333,26.6,19.4723333333
780.64,18.2479333334,43.0452666667,10.221,35.5892666667,15.9361333333,21.7352,25.71375,22.7652,26.0452666667,19.0373333333
780.95,17.7549333333,43.3845333333,10.1024666667,36.0227333333,16.0113333334,21.4473333333,25.705,22.9174,25.9884666667,19.1908666667
781.26,17.2836,43.8692,9.9624,36.4205333333,16.0266666667,20.9383333333,25.5069166667,22.6643333333,25.5952,19.2644
781.57,17.5606666667,44.997,10.3730666667,36.8560666667,16.8207333333,21.0836,26.0731666667,23.0312666667,26.2640666667,19.8874666667
781.88,18.3540666667,45.7193333333,11.3913333333,37.4896666667,17.839,21.9597333333,27.07225,23.8484,27.2824,20.8172
782.19,17.503,45.309,10.6909333333,36.8545333334,17.0362666667,21.394,26.53775,22.9514666667,26.806,20.4121333333
782.50,16.9472666667,45.7045333333,10.4902666667,37.0706,16.5896666667,21.0915333333,26.4646666667,22.547,26.5186,20.5304666667
782.81,17.5221333333,46.4194666667,10.5830666667,37.687,16.673,21.2991333333,27.123,22.6806,27.0659333333,21.0392
783.12,16.8714666666,46.1332,9.95126666667,37.5025333333,16.0587333333,20.8454666667,26.24375,21.9838,26.1593333333,20.3317333333
783.43,18.6954,47.4204,11.688,39.1543333333,17.7188666666,22.7991333333,27.7369166667,23.5528666667,27.8071333333,21.6715333333
783.74,20.3532,47.7840666666,13.115,39.4219333333,19.0622,24.1360666667,28.8294166667,24.8683333333,28.9531333333,22.8066666666
784.05,21.5842,47.6045333333,14.2204666667,39.6451333333,19.9366666667,25.0126,29.3963333333,25.6463333333,29.8289333333,23.6756
784.36,22.9253333333,48.2108666667,15.5746,41.017,21.1614666667,26.5536,30.3673333333,26.9366,31.2805333333,24.9089333333
784.67,22.1798666667,47.5729333334,15.0951333333,40.7669333333,20.7161333333,26.3878,29.7609166667,26.4892666667,31.1154,24.5752666667
784.98,22.3700666666,47.8771333333,15.3676,41.0708666667,21.2864,26.5588,30.2519166667,27.0786,31.3054,24.4994666667
785.29,23.0439333333,47.8497333333,16.0752,41.0966666667,22.1873333333,27.2273333333,30.6993333334,27.8250666667,31.873,24.7197333333
785.60,23.3517333333,48.3883333333,16.9169333333,41.3735333333,23.0340666667,27.9304666667,31.0593333334,28.4554,32.2894,24.9328666667
785.91,23.7406,48.0346,17.2168,41.0466666667,23.2709333333,27.9394666667,31.1108333333,28.314,32.3816666667,24.8468
786.22,21.4880666666,46.369,15.2024666667,39.4762,21.5356666667,25.8690666666,29.3898333333,26.5952,30.6428666667,23.0535333333
786.53,20.5237333333,45.7380666667,14.1845333333,38.8334,20.625,25.0296666667,28.5341666667,25.6070666667,30.0238,22.3212666667
786.84,18.9880666667,44.8688666667,12.7022666667,37.7023333333,19.1726,23.8274,27.6489166667,24.3570666667,29.0952,20.9702
787.14,18.2481333333,43.7814666667,12.2810666667,36.5538666667,18.3925333333,23.319,26.6840833333,23.4924,28.3204,20.6590666667
787.45,18.4492,44.1545333333,12.166,36.5321333333,18.3348666667,22.8726666667,26.7023333333,23.3876666667,28.3032666667,20.5438
