wavelength,Back_EunCamm,Belly_EunCamm,Breast_EunCamm,Crissum_EunCamm,Crown_EunCamm,DorTail_EunCamm,Rump_EunCamm,Throat_EunCamm,WingTip_EunCamm
260.27,4.474,4.40126666667,3.99926666667,4.7524,4.936,5.06873333333,5.35986666667,2.78113333333,6.89133333333
260.64,4.80853333333,4.68553333333,4.09173333333,4.93146666667,5.024,5.19003333333,5.45753333333,2.7502,7.15266666666
261.01,5.18286666667,4.94513333333,4.62533333333,5.40833333333,5.3228,5.8547,6.04813333333,3.12613333334,7.44359999999
261.39,5.0396,4.814,4.52173333333,5.31393333333,5.10953333333,5.51186666667,5.81653333333,2.8338,7.08406666667
261.76,5.07493333333,4.9866,4.59906666667,5.33653333333,4.96786666667,5.617,5.967,2.98806666667,7.08273333333
262.13,4.71593333333,4.63893333333,4.00193333334,4.9104,4.4478,4.8952,5.81193333333,2.64446666667,6.46893333333
262.51,4.59386666667,4.67413333333,3.7122,4.72133333333,4.295,4.54086666667,5.8178,2.76866666667,6.124
262.88,5.4652,5.84306666667,4.6896,5.7544,5.14773333333,5.4773,7.06046666667,3.93813333333,6.85153333334
263.25,6.38346666667,6.79500000001,5.32073333333,6.87913333333,5.94513333333,5.97846666667,7.95039999999,4.76313333333,7.43686666667
263.63,6.53113333333,7.30526666667,5.34593333334,7.10206666667,5.89753333333,6.21653333333,8.26313333333,5.18153333333,7.80839999999
264.00,6.20146666667,7.06333333333,5.10193333333,6.87280000001,5.4506,5.62783333333,8.07813333333,5.07526666667,7.33279999999
264.37,6.1694,6.86780000001,4.884,6.7282,5.32533333333,5.4234,8.09713333333,4.94546666667,7.00753333334
264.75,6.3364,6.73500000001,4.66833333333,6.9002,5.49386666667,5.35723333333,8.38606666666,5.249,6.96833333333
265.12,7.32546666667,7.90626666666,5.31546666667,7.64926666668,6.55506666667,5.93516666667,9.0118,6.09133333333,7.68853333334
265.49,7.14166666667,7.74373333333,5.15886666667,7.45653333333,6.2746,6.051,9.00320000001,5.92106666667,7.6168
265.87,7.20393333333,7.50479999999,4.74326666666,7.53673333333,6.0864,5.9684,8.82093333334,5.68366666667,7.79466666667
266.24,7.32093333333,7.38293333333,4.96646666667,7.69706666667,6.1154,6.46843333333,8.72746666667,5.89886666667,8.20713333333
266.61,7.10186666667,7.21580000001,4.8714,7.51246666666,6.12266666667,6.6715,8.65473333333,5.46493333334,8.40746666668
266.98,6.06453333333,5.72526666667,3.69893333334,6.29866666667,5.1374,5.67513333333,7.417,4.31546666667,7.48386666666
267.36,5.585,5.12993333334,3.5468,6.00286666666,4.7354,5.58036666667,6.90353333334,4.17806666667,7.3166
267.73,5.8192,5.25266666667,3.63926666667,6.363,4.85373333333,5.89843333333,7.16526666666,4.2692,7.28753333333
268.10,6.92773333333,6.349,4.8434,7.57606666667,6.04006666667,7.056,8.1636,5.41773333333,8.46386666666
268.48,6.82273333333,6.08046666667,4.7692,7.13053333333,5.69673333333,7.18963333333,7.95273333333,5.45233333333,8.21426666667
268.85,6.63746666667,5.99373333333,4.7524,6.87993333333,5.33746666667,7.32283333333,7.61133333334,5.16626666667,8.03773333333
269.22,5.7678,4.71913333333,3.86173333333,5.75106666667,4.19073333333,6.1485,6.58766666667,4.1198,7.24946666667
269.59,6.0264,4.94426666667,3.86626666667,5.87233333333,4.57553333333,6.395,6.82473333333,4.24713333333,7.76913333333
269.97,5.57726666667,4.3812,3.39453333333,5.16293333333,4.18393333333,5.9423,6.22853333333,3.6708,7.2942
270.34,5.85426666667,4.61213333333,3.8112,5.23866666667,4.4806,6.3533,6.5002,4.0046,7.33600000001
270.71,6.13453333333,4.61206666667,3.98653333333,5.32293333333,4.57846666667,6.59763333333,6.53646666667,4.28066666667,7.35533333333
271.09,6.6342,5.0144,4.32393333333,5.6398,4.76133333333,7.18173333333,7.13306666667,4.7396,7.7116
271.46,7.00593333333,5.51046666667,4.6522,5.78053333333,5.13686666667,7.61866666667,7.56326666667,5.03293333334,7.94746666667
