wavelength,Back_EmbHerf,Belly_EmbHerf,Breast_EmbHerf,Crissum_EmbHerf,Crown_EmbHerf,DorTail_EmbHerf,Patch10_EmbHerf,Patch11_EmbHerf,Rump_EmbHerf,Throat_EmbHerf,WingTip_EmbHerf
752.85,22.093,55.1571666667,49.4864166667,32.3411666667,15.8034166667,11.1094166667,24.90925,15.283,20.1606666667,60.5415833333,11.7295
753.16,22.0615,55.1811666667,49.3841666667,32.3468333333,15.8060833334,11.1040833333,25.0315833333,15.2566666667,20.2841666667,60.7996666666,11.84925
753.47,22.2976666666,55.2236666667,49.509,32.6159166667,16.2279166667,11.5042083333,25.397,15.4826666667,20.6225833334,60.7189166667,12.22675
753.79,22.419,55.3716666667,49.5985,32.7360833334,16.38375,11.7981666667,25.7195,15.535,20.697,60.6944166667,12.33575
754.10,22.1224166667,55.3325,49.7216666667,32.5936666667,16.19475,11.527875,25.4895,15.2260833333,20.3896666667,60.6685,12.22875
754.42,22.2694166667,55.3619166667,49.6458333333,32.5965833333,16.3125833333,11.5952083333,25.3291666666,15.2076666667,20.2365,60.5431666666,12.32825
754.73,22.5478333333,55.5389166667,49.87525,33.0054166667,16.6774166667,11.79075,25.6059166666,15.3871666667,20.47325,60.636,12.6710833333
755.05,22.44475,55.5160833333,49.80975,33.1790833333,16.62,11.7121666667,25.7464166666,15.1950833334,20.4349166667,60.4651666667,12.72975
755.36,22.3429166666,55.7233333333,49.8081666667,33.442,16.5364166666,11.908125,25.70225,15.22225,20.4858333333,60.37525,12.8005833333
755.67,22.62125,56.1344166666,50.1394166667,34.1446666667,16.68875,12.0852083333,26.0795,15.39275,20.6130833334,60.6975,12.90025
755.99,22.6765,56.3831666667,50.23275,34.3454166667,16.7514166667,12.3281666667,26.2669166667,15.5399166667,20.6745833334,60.6751666667,13.1021666667
756.30,23.06675,56.584,50.4748333333,34.67725,17.2669166667,12.8405833333,26.77125,16.1916666667,21.3434166667,60.7635833333,13.63975
756.62,22.7736666667,56.39675,50.2678333333,34.4373333333,17.1399166667,12.6688333333,26.6210833334,16.1458333333,21.2916666667,60.0203333333,13.4059166667
756.93,22.7699166667,56.7789166667,50.50225,34.334,17.1135,12.5498333333,26.48425,16.1459166667,21.32625,60.2386666667,13.2438333333
757.24,22.6483333333,57.00325,50.91375,34.4219166666,17.22025,12.60225,26.43775,16.2468333333,21.6226666667,60.5069166667,13.4045833334
757.56,23.1999166667,57.7704166667,51.4038333333,35.1185,17.9666666667,13.2369583333,26.89625,16.85925,22.3036666666,60.9110833333,14.1703333333
757.87,23.3400833334,58.01975,51.7483333333,35.5024166666,18.20125,13.4276666667,27.29075,17.25325,22.75725,61.3435,14.564
758.18,23.3854166667,58.1355833333,51.81975,35.5594166667,18.468,13.7174166667,27.3323333334,17.5490833334,22.9606666666,61.2405833334,14.8799166667
758.50,23.6538333333,57.8760833333,51.5515,35.3491666667,18.8804166667,13.891375,27.3074166667,17.7789166667,23.0741666667,61.1555833333,15.1116666667
758.81,23.80425,57.6105,51.4568333333,35.073,18.8715,13.6901666667,27.2015,17.7084166667,22.9845833333,60.9428333333,14.98075
759.13,23.4533333333,57.1166666667,51.02525,34.7665,18.64625,13.5517083333,26.9688333333,17.5605833333,22.9459166666,60.3555,14.8999166667
759.44,23.13475,57.2005,51.0540833333,34.6125,18.464,13.2201666666,26.7759166667,17.4171666667,22.7630833333,60.40225,14.6619166667
759.75,22.36775,56.51475,50.2841666667,33.8661666667,17.743,12.4822916667,25.959,16.695,21.9168333333,59.6760833333,14.024
760.07,22.5541666667,56.2969166667,50.15875,33.9261666667,17.6725,12.646375,25.893,16.7230833333,21.7456666667,59.9673333333,14.002
760.38,22.6300833334,56.1035,50.15075,34.0238333333,17.5395833333,12.6351666667,25.8695,16.72275,21.7885833334,59.8409166667,14.03375
760.69,22.5334166667,55.7531666667,49.7070833333,33.6193333333,17.0834166667,12.2485,25.689,16.5460833333,21.3793333334,59.4735833333,13.6834166667
761.01,22.0019166667,55.0450833333,49.2143333333,32.9993333333,16.3765833333,11.7462083333,25.2428333333,16.1574166667,20.7709166667,59.4194166667,13.1220833333
761.32,21.9890833333,55.0729166667,49.07725,32.7653333333,16.1115833333,11.570625,25.0623333333,15.941,20.6429166667,59.3839166667,12.81525
761.63,21.8725833333,54.7495833333,48.6880833334,32.6204166667,15.732,11.2593333333,24.8605,15.7161666667,20.374,59.287,12.3921666667
761.94,21.5349166666,54.8835833333,48.6520833333,32.638,15.3711666667,11.0183333333,24.6306666667,15.6511666667,20.27025,59.4105,12.1245
762.26,21.5195833333,54.9329166667,48.8646666667,32.7876666667,15.5074166667,11.0444166667,24.7688333334,15.7270833333,20.3396666667,59.6349166667,12.0716666666
762.57,21.45175,54.8279166667,48.7203333333,32.62375,15.6064166667,11.1035,24.61225,15.766,20.1151666667,59.4875833333,12.0380833333
762.88,21.7959166667,54.994,48.9393333333,32.872,15.8464166667,11.3646666667,24.8839166667,15.979,20.3928333334,59.7310833333,12.2804166666
763.20,22.3565833333,55.4246666667,49.48275,33.4253333333,16.396,12.1330416667,25.6255,16.656,20.86175,60.2993333333,12.7965
763.51,22.7756666667,55.9454166666,49.9865,33.8754166666,16.8814166667,12.5615833333,26.2073333333,17.0880833333,21.3296666667,60.7051666667,13.14925
763.82,23.1383333333,56.2046666667,50.3925,34.2949166666,17.3369166667,13.0020416667,26.7494166667,17.5960833333,21.7869166667,61.2418333334,13.6778333333
