wavelength,Back_TanInof,Belly_TanInof,Breast_TanInof,Crissum_TanInof,Crown_TanInof,DorTail_TanInof,Patch10_TanInof,Patch11_TanInof,Rump_TanInof,Throat_TanInof,WingTip_TanInof
218.21,-85.8975000002,16.0255833332,-130.128208333,-104.168752723,-104.166583334,-374.038375,-229.48725,-314.7435,-96.7950833334,-135.256333334,-179.487166667
218.59,-107.69225,5.76925000025,-166.666625,-129.470391068,-117.948666667,-394.871833333,-241.025583333,-359.61525,-133.974333333,-169.551375,-173.718
218.97,-104.583333333,-10.0,-126.458333333,-109.428104575,-91.4583333333,-295.833333333,-196.25,-247.083333334,-137.083333333,-142.083333334,-143.75
219.34,-79.0322500001,-34.4086666667,-95.1612916666,-87.7125639978,-59.0054583334,-206.451458333,-141.128916667,-155.37625,-117.741833333,-99.7312916667,-95.9677500001
219.72,-143.26925,-97.4359999999,-164.903791667,-133.683152505,-113.782083333,-289.262958334,-199.358916667,-217.948666667,-200.320416667,-149.038375,-152.2435
220.10,-196.212166667,-150.37875,-226.704458334,-175.159572168,-162.310541667,-353.788,-260.227416667,-277.27275,-273.106083333,-200.378833334,-199.242416667
220.47,-131.4515,-116.666583333,-151.344125,-127.205856209,-119.892541667,-243.68275,-187.36575,-192.473083333,-188.44075,-151.075375,-144.62375
220.85,-555.5555,-506.481583334,-601.851958333,-587.306360839,-519.907333333,-891.666583333,-780.555416666,-787.037166666,-750.0,-580.555458333,-587.036916668
221.23,459.027833333,441.666666667,501.041875,492.678824891,428.819458333,695.833375,617.361166667,632.638916666,606.24975,463.1945,498.611166667
221.61,1172.91666667,1260.41666667,1370.83333333,1446.59586057,1095.83333333,1902.08333333,1641.66666667,1683.33333334,1639.58333333,1214.58333333,1470.83333333
221.98,-368.518583333,-418.518666666,-450.462791666,-466.627429466,-317.129625,-667.1295,-605.5555,-617.592583333,-580.555583333,-404.166583333,-529.629666667
222.36,-89.5833333333,-119.444416667,-119.270833333,-137.621416394,-75.6944166666,-209.027666667,-177.083333333,-203.819416667,-168.75,-98.9582916668,-169.097333334
222.74,-83.8710000001,-109.946333333,-108.333416667,-123.234148148,-76.6127083333,-185.752625,-156.720583333,-180.914083333,-149.73125,-95.967875,-151.881666666
223.11,-74.1665833334,-105.555416667,-101.389,-111.706695261,-73.47225,-172.222208333,-136.388833333,-184.166666666,-138.888916667,-80.0,-150.277833333
223.49,-44.7220833333,-76.1109999999,-73.4723333334,-97.3429245641,-56.388875,-134.166708333,-103.88875,-171.9445,-121.666583333,-65.6942499999,-133.611166667
223.87,-15.74075,-40.2777499999,-30.5556666667,-59.9415996731,-27.0834583333,-84.4908333333,-63.1943333334,-131.9445,-72.9165833333,-39.3519166666,-93.7498333333
224.24,14.8485,2.72724999999,5.90920833332,-13.3463278867,11.5152083333,-35.151375,-13.6365,-55.0000833333,-23.0303333334,-7.50020833335,-40.7575
224.62,9.20149999998,3.29858333333,-2.08329166667,-20.4422647059,8.333375,-46.0068333333,-15.7986666667,-67.70825,-32.4653333333,-3.73283333335,-51.0418333334
225.00,24.1545833333,16.3044166667,18.055625,1.23772031591,22.2825416667,-13.8285,10.3865833333,-22.9469166667,-3.38175000001,15.7609166667,-22.7051666667
225.38,21.6666666667,16.5740833333,18.9815,7.02213698256,24.4906666667,-6.48150000002,11.7593333333,-9.81491666667,2.40733333332,16.5276666667,-15.0
225.75,18.2795,16.4874166667,19.8925,11.7128760893,20.6540833334,-4.34587499998,12.724,-7.79575,4.92816666668,18.2347916667,-12.1864166667
