wavelength,Back_GubCrim,Belly_GubCrim,Breast_GubCrim,Crissum_GubCrim,Crown_GubCrim,DorTail_GubCrim,Patch10_GubCrim,Patch11_GubCrim,Patch12_GubCrim,Rump_GubCrim,Throat_GubCrim,WingTip_GubCrim
604.23,25.9835833333,55.4438888889,35.2725833333,47.4765833333,9.27658333333,7.06570833333,23.4680775862,51.7905,51.80425,28.3055,6.51925,13.0743333333
604.56,26.00225,55.4047777778,35.2761666666,47.4605833333,9.304,7.09504166667,23.4651436782,51.797,51.8144583333,28.345,6.524,13.0821666667
604.90,25.994,55.3702222222,35.2635,47.4371666667,9.332,7.10545833334,23.4620747127,51.80925,51.7418333333,28.3425833333,6.54341666667,13.119875
605.23,26.0648333333,55.3968888889,35.3089166667,47.5048333333,9.40733333333,7.189625,23.5063477011,51.8720833333,51.7612083333,28.3844166667,6.60316666667,13.2122083333
605.57,26.121,55.4523333333,35.3766666667,47.6433333333,9.4715,7.270875,23.5492701149,51.9691666667,51.8715416667,28.48025,6.66666666667,13.3030833333
605.90,26.1549166666,55.5048888889,35.3935,47.6638333333,9.50983333333,7.27775,23.5432183908,51.96525,51.950625,28.5595,6.70716666667,13.357375
606.24,26.2146666667,55.5007777778,35.447,47.6899166667,9.57591666667,7.33870833333,23.5893936781,52.0093333333,51.9997916667,28.6193333333,6.76133333333,13.3945416666
606.58,26.2863333333,55.5944444444,35.5695,47.8219166667,9.68866666667,7.41083333333,23.7192988506,52.1281666667,52.1112083333,28.6883333333,6.81533333334,13.5013333333
606.91,26.3561666667,55.625,35.6665833333,47.86375,9.75299999999,7.462375,23.7524252873,52.1575833334,52.100125,28.7249166666,6.88475,13.6173333333
607.25,26.4134166667,55.766,35.73,47.9605833333,9.77325,7.44008333333,23.7761522989,52.2860833333,52.2879583333,28.8296666666,6.87791666667,13.6715833333
607.58,26.3229166667,55.7414444445,35.7236666667,47.9316666667,9.70908333334,7.4305,23.7638218391,52.3093333333,52.2694583333,28.79125,6.8575,13.6183333333
607.92,26.4078333333,55.7232222222,35.7569166667,47.925,9.77758333332,7.53583333333,23.8142356322,52.36525,52.3667916667,28.8525,6.90583333333,13.679875
608.25,26.4011666667,55.6367777778,35.74475,47.8846666666,9.76966666667,7.54770833334,23.7707931034,52.31775,52.30975,28.794,6.9275,13.7259583333
608.59,26.391,55.5001111111,35.6925833334,47.8015833334,9.80441666667,7.58791666666,23.7684568966,52.1809166666,52.262125,28.7856666667,6.97625,13.691625
608.92,26.2400833333,55.3316666667,35.5298333333,47.6151666667,9.69291666667,7.47945833333,23.631729885,51.9826666667,52.1285416667,28.6478333333,6.83933333333,13.5559583333
609.26,26.1126666667,55.1966666667,35.4165833333,47.491,9.56383333334,7.30620833334,23.5412413793,51.862,52.0870416667,28.53575,6.70891666667,13.4219166667
609.59,26.0483333334,55.1021111111,35.3825833333,47.41,9.53808333332,7.25125,23.5135287356,51.7793333333,52.1278333333,28.5090833333,6.65208333333,13.3734583333
609.93,26.0923333333,55.0948888889,35.4418333333,47.4400833333,9.56308333333,7.2715,23.5475488506,51.83625,52.1642083333,28.5036666667,6.67275,13.4321666667
610.26,26.0900833333,55.0721111111,35.459,47.4074166667,9.54700000001,7.288625,23.5072988506,51.76875,52.1585833333,28.50075,6.69975,13.42225
610.60,26.085,55.027,35.4574166667,47.4009166667,9.58475,7.32275,23.5196867816,51.7520833333,52.184,28.52625,6.70358333333,13.4072916667
610.93,26.0536666666,54.9287777778,35.3850833333,47.3324166667,9.57458333333,7.36033333333,23.4940804598,51.6639166667,52.124375,28.4899166667,6.68516666666,13.367875
