wavelength,Back_ButWetm,Belly_ButWetm,Breast_ButWetm,Crissum_ButWetm,Crown_ButWetm,DorTail_ButWetm,Patch10_ButWetm,Patch11_ButWetm,Patch12_ButWetm,Rump_ButWetm,Throat_ButWetm,WingTip_ButWetm
345.99,5.73266666667,16.0903333333,18.141,4.79666666667,4.72633333333,4.76433333333,38.754,13.052,2.78366666667,3.593,3.17866666667,4.892
346.35,5.94866666667,16.1673333333,18.2413333333,4.96266666667,4.81633333333,4.861,38.735,13.361,2.997,3.932,3.283,4.93066666667
346.72,5.934,16.4433333333,18.281,5.23866666667,5.06,4.95133333333,38.878,13.7316666667,3.203,4.23,3.38166666667,5.13033333333
347.08,5.92633333333,16.6793333333,18.3076666667,5.25733333333,5.28966666667,5.25066666667,39.1373333333,14.08,3.269,4.324,3.45566666667,5.08366666667
347.45,6.00366666667,16.4506666667,18.108,5.088,5.146,5.22333333333,38.8146666667,13.8776666667,3.09533333333,4.237,3.295,4.74633333333
347.81,5.981,16.3866666667,17.9626666667,5.10666666667,5.15133333333,5.25433333333,38.4846666667,13.8916666667,3.08066666667,4.303,3.396,4.74
348.18,6.06733333333,16.5893333333,18.1836666667,5.29,5.32166666667,5.36733333333,38.5076666667,13.9413333333,3.22,4.666,3.548,4.686
348.54,5.842,16.5863333333,17.8863333333,5.205,5.13433333333,5.14033333333,38.5706666667,13.691,3.00466666667,4.401,3.33266666667,4.504
348.91,5.93066666667,17.1313333333,17.8943333333,5.328,5.48166666667,5.32133333333,38.783,14.1053333333,3.34033333333,4.962,3.40466666667,4.72533333333
349.27,5.94366666667,17.6006666667,18.0166666667,5.45733333333,5.64966666667,5.323,38.797,14.242,3.487,5.202,3.35233333333,4.83666666667
349.64,5.73966666667,17.5573333333,18.0286666667,5.39,5.46,5.22466666667,38.5066666667,13.9236666667,3.341,5.193,3.042,4.60733333333
350.00,5.48633333333,17.3183333333,18.005,5.309,5.28966666667,5.03533333333,38.3943333333,13.6563333333,3.10866666667,4.73,2.842,4.32933333333
350.37,5.476,17.5593333333,18.1566666667,5.53233333333,5.413,5.149,38.5386666667,13.7556666667,3.38866666667,5.017,3.00533333333,4.63366666667
350.73,5.49166666667,17.628,18.0476666667,5.398,5.204,5.041,38.4493333333,13.6513333333,3.25033333333,4.791,2.868,4.47133333333
351.10,5.46033333333,17.525,18.1593333333,5.40433333333,4.93766666667,4.99366666667,38.5573333333,13.5326666667,3.22133333333,4.776,2.73633333333,4.55866666667
351.46,5.31266666667,17.7413333333,18.285,5.56566666667,4.874,4.92333333333,38.621,13.6583333333,3.19366666667,4.633,2.76733333333,4.707
351.83,5.14233333333,17.7213333333,18.1956666667,5.52433333333,4.71066666667,4.674,38.6733333333,13.4973333333,2.87333333333,4.033,2.57733333333,4.63666666667
352.19,5.11533333333,17.7736666667,17.8226666667,5.36033333333,4.557,4.49533333333,38.4543333333,13.4436666667,2.582,3.514,2.42233333333,4.67366666667
352.55,5.48966666667,18.0573333333,18.118,5.53233333333,4.81433333333,4.881,38.5246666667,13.7666666667,2.97,3.907,2.684,4.96633333333
352.92,5.56066666667,17.9753333333,18.391,5.61466666667,4.80833333333,4.97066666667,38.364,13.799,3.069,3.845,2.97266666667,5.20566666667
353.28,5.67833333333,17.8783333333,18.4603333333,5.60133333333,4.823,5.001,38.382,13.7026666667,3.154,3.689,3.07666666667,5.16133333333
353.65,5.69133333333,17.9693333333,18.5723333333,5.75,4.90666666667,5.02366666667,38.5033333333,13.8766666667,3.355,3.706,3.232,5.29866666667
354.01,5.78566666667,18.03,18.4266666667,5.607,4.77333333333,5.078,38.5036666667,13.9523333333,3.353,3.709,3.232,5.34266666667
354.38,5.73466666667,17.9356666667,18.3613333333,5.56966666667,4.61033333333,5.08733333333,38.3636666667,13.865,3.30433333333,3.696,3.13966666667,5.218
354.74,5.81533333333,18.0453333333,18.5393333333,5.804,4.85,5.19366666667,38.322,13.9336666667,3.50166666667,3.796,3.30733333333,5.288
355.11,5.8,17.932,18.4476666667,5.78333333333,4.871,5.083,38.1176666667,13.87,3.39433333333,3.682,3.26933333333,5.181
355.47,5.96333333333,17.9863333333,18.5016666667,5.86266666667,5.05566666667,5.103,38.2453333333,13.7593333333,3.60566666667,4.062,3.25533333333,5.183
355.83,6.18966666667,18.0663333333,18.429,5.86833333333,5.16833333333,5.23066666667,38.3723333333,13.8463333333,3.78433333333,4.308,3.437,5.246
356.20,6.45166666667,18.1643333333,18.8583333333,6.21866666667,5.51433333333,5.509,38.655,14.0033333333,4.11566666667,4.592,3.71966666667,5.40266666667
356.56,6.48433333333,18.106,18.8586666667,6.311,5.66733333333,5.563,38.738,13.9893333333,4.201,4.518,3.75,5.40966666667
356.93,6.43466666667,17.851,18.6506666667,6.274,5.61066666667,5.45,38.608,13.9466666667,4.075,4.314,3.56833333333,5.15733333333
357.29,6.48133333333,17.831,18.801,6.462,5.737,5.651,38.677,14.1436666667,4.18166666667,4.393,3.644,5.27666666667
357.66,6.55066666667,17.7793333333,18.8083333333,6.42266666667,5.825,5.697,38.684,14.079,4.16966666667,4.412,3.61,5.24166666667
358.02,6.75933333333,17.9833333333,18.9526666667,6.722,6.18333333333,5.83666666667,38.8746666667,14.2073333333,4.37966666667,4.609,3.86433333333,5.46633333333
358.38,6.798,18.0213333333,18.8843333333,6.65,6.341,5.86533333333,38.9866666667,14.3016666667,4.352,4.375,3.97833333333,5.51466666667
358.75,6.70733333333,17.796,18.8093333333,6.503,6.25766666667,5.81233333333,39.0183333333,14.274,4.27166666667,4.322,3.86733333333,5.49
359.11,6.729,17.671,18.76,6.52,6.28,5.711,39.0266666667,14.28,4.298,4.36,3.82233333333,5.40033333333
359.48,6.72733333333,17.659,18.7233333333,6.48433333333,6.215,5.71533333333,39.0313333333,14.2366666667,4.14333333333,3.987,3.73966666667,5.355
359.84,6.78566666667,17.6463333333,18.89,6.60833333333,6.30366666667,5.834,39.159,14.2783333333,4.28133333333,4.188,3.72266666667,5.42366666667
360.20,6.74,17.5203333333,18.722,6.51766666667,6.238,5.785,39.1183333333,14.101,4.25866666667,4.111,3.724,5.46033333333
360.57,6.66733333333,17.361,18.6256666667,6.46666666667,6.19,5.73233333333,39.146,13.9973333333,4.24333333333,4.167,3.621,5.399
360.93,6.65333333333,17.406,18.63,6.33933333333,6.17466666667,5.66866666667,39.3236666667,13.844,4.21733333333,4.119,3.55033333333,5.49233333333
361.29,6.626,17.3196666667,18.3806666667,6.28533333333,6.16233333333,5.62266666667,39.2623333333,13.6813333333,4.13266666667,3.918,3.53533333333,5.41966666667
361.66,6.70666666667,17.2566666667,18.4026666667,6.436,6.21066666667,5.68833333333,39.2883333333,13.7436666667,4.23066666667,4.035,3.52033333333,5.504
362.02,6.68366666667,17.0916666667,18.4506666667,6.41266666667,6.17466666667,5.67733333333,39.386,13.657,4.26633333333,4.044,3.48666666667,5.41
362.39,6.89666666667,17.0606666667,18.6303333333,6.53533333333,6.241,5.83566666667,39.4746666667,13.5906666667,4.42466666667,4.189,3.60666666667,5.46333333333
362.75,6.97633333333,17.1303333333,18.616,6.50933333333,6.22633333333,5.81066666667,39.3606666667,13.4963333333,4.46066666667,4.192,3.56733333333,5.399
363.11,7.132,17.3306666667,18.7916666667,6.59566666667,6.43633333333,6.11866666667,39.5443333333,13.5906666667,4.58666666667,4.261,3.78066666667,5.667
363.48,7.218,17.3353333333,18.9306666667,6.74733333333,6.583,6.23933333333,39.5463333333,13.7076666667,4.78633333333,4.551,4.024,5.847
363.84,7.24933333333,17.3466666667,18.8763333333,6.79833333333,6.68866666667,6.35166666667,39.5183333333,13.733,4.79866666667,4.431,4.16633333333,5.916
364.20,7.29266666667,17.4003333333,18.875,6.85633333333,6.72533333333,6.37033333333,39.5026666667,13.779,4.82966666667,4.494,4.18133333333,5.96866666667
364.57,7.49833333333,17.4296666667,18.9196666667,7.04433333333,6.892,6.46933333333,39.4623333333,13.8226666667,4.95966666667,4.588,4.404,6.086
364.93,7.738,17.489,18.9823333333,7.17566666667,7.11233333333,6.65633333333,39.5023333333,13.907,5.15433333333,4.778,4.63566666667,6.14133333333
365.29,7.72666666667,17.3853333333,18.9673333333,7.07433333333,7.13466666667,6.611,39.4893333333,13.8343333333,5.16166666667,4.88,4.66233333333,6.148
365.66,7.80533333333,17.3206666667,18.9013333333,7.05366666667,7.16333333333,6.61866666667,39.6026666667,13.782,5.10333333333,4.754,4.79866666667,6.08233333333
