wavelength,Back_TanNivm,Belly_TanNivm,Breast_TanNivm,Crissum_TanNivm,Crown_TanNivm,DorTail_TanNivm,Patch10_TanNivm,Patch11_TanNivm,Patch12_TanNivm,Rump_TanNivm,Throat_TanNivm,WingTip_TanNivm
417.58,5.02393333333,36.4152666667,22.7456666667,19.1037333333,17.4398666667,5.69731428571,8.05606666667,14.1682,5.61146666667,23.8786666667,14.1623333333,6.70917
417.94,5.03926666667,36.4525333333,22.8704,19.1102,17.5164666667,5.72170476191,8.0992,14.2394,5.63026666667,23.9518,14.2223333333,6.73142166667
418.29,5.0706,36.5206666667,23.0072666666,19.1432666667,17.6417333333,5.7546984127,8.15253333333,14.3408666667,5.6674,24.0454,14.3136,6.76897333333
418.65,5.08006666667,36.5914,23.1602666667,19.1674,17.7454,5.77928571429,8.1824,14.4066666667,5.67126666667,24.1517333333,14.3942,6.77705333333
419.01,5.0708,36.6152,23.2615333333,19.1659333334,17.8137333333,5.77309523809,8.198,14.436,5.6596,24.2075333333,14.4288666667,6.77843333333
419.37,5.07973333333,36.6459333333,23.3808,19.1684666667,17.8926666667,5.78241904762,8.21006666667,14.4818,5.6628,24.2991333333,14.4924,6.78340333333
419.73,5.07706666667,36.6752,23.4987333333,19.1659333333,17.9676,5.77932063492,8.2072,14.5238,5.6426,24.3621333333,14.5351333334,6.76662
420.08,5.07406666667,36.7490666667,23.6456666666,19.1762,18.0687333333,5.78450793651,8.19826666667,14.5866666667,5.63213333333,24.4600666667,14.5734666667,6.76410666667
420.44,5.04913333333,36.7824666667,23.7586,19.1688666667,18.1398,5.77352063492,8.17466666667,14.607,5.60033333333,24.5326,14.5982666667,6.72492166666
420.80,5.01553333333,36.8173333333,23.8568,19.1624,18.2146,5.74977777778,8.14673333333,14.6320666667,5.55606666667,24.5986,14.6146,6.70033166667
421.16,4.99713333333,36.8294,23.9620666667,19.1536,18.2816666667,5.74542222222,8.1232,14.6627333334,5.54506666667,24.6544,14.6548666667,6.674485
421.51,5.0232,36.9006,24.1169333333,19.2158666667,18.407,5.77843492063,8.16926666666,14.7538,5.56473333333,24.7706,14.7278666667,6.69836666667
421.87,5.0072,36.9593333333,24.2441333333,19.2351333333,18.5087333333,5.77375238095,8.15326666667,14.8049333333,5.55326666667,24.8632666667,14.7770666667,6.68775833333
422.23,5.00393333333,37.0056666667,24.3796666667,19.237,18.6132,5.77380634921,8.15073333333,14.8592,5.54286666667,24.964,14.8400666667,6.67496666667
422.58,5.00193333333,37.0441333333,24.5118666667,19.2496666667,18.7164,5.7650031746,8.1486,14.9158666667,5.53833333333,25.0480666667,14.8893333333,6.67325166667
422.94,5.00926666667,37.0946666667,24.6574,19.2771333333,18.8240666667,5.76922222222,8.1642,14.9927333333,5.5376,25.1644,14.9536,6.67895666667
423.30,5.027,37.1956666666,24.8330666667,19.326,18.9722,5.79555238095,8.18726666667,15.0888,5.55686666667,25.2779333333,15.0313333333,6.70232333333
423.66,5.0248,37.2529333333,24.9681333333,19.3436666667,19.0889333333,5.80957460317,8.20726666667,15.1630666667,5.5628,25.3758,15.0956,6.71452833333
424.01,5.0294,37.2898,25.0759333333,19.3568666667,19.1877333333,5.82207619047,8.22266666667,15.2215333333,5.57133333333,25.4441333333,15.1595333333,6.72101
424.37,5.03786666666,37.3517333333,25.2104666667,19.3857333334,19.3102666667,5.82953333333,8.24740000001,15.3086666667,5.57693333333,25.54,15.2312666667,6.73986
424.73,5.05773333333,37.4316666667,25.3570666667,19.4252666667,19.4388666667,5.84695873016,8.27346666667,15.3942666667,5.59426666667,25.6439333333,15.3082666667,6.75794
425.08,5.0992,37.5022,25.5039333333,19.473,19.5858666666,5.88286349207,8.32533333334,15.5005333333,5.61833333333,25.7485333333,15.3906666667,6.79103166667
425.44,5.0948,37.5474666667,25.6375333333,19.4862666667,19.7056666667,5.87619047619,8.32993333333,15.5618,5.61906666667,25.8303333333,15.4438,6.790685
425.80,5.12206666667,37.6108666667,25.7765333333,19.5242666667,19.8324666667,5.8943904762,8.36433333333,15.6333333333,5.63533333333,25.9162,15.5168,6.81565333333
426.16,5.1356,37.7058,25.9352666667,19.5848,19.9696666667,5.90663492063,8.38813333333,15.7186,5.642,26.0302,15.5854666667,6.82784166667
426.51,5.1184,37.7623333333,26.0452666667,19.5956,20.0766666667,5.88584761905,8.38146666667,15.7692,5.6238,26.0901333333,15.6269333333,6.81399666667
426.87,5.10833333334,37.7984666667,26.1758,19.5862666667,20.1853333333,5.89445714286,8.36100000001,15.8170666666,5.61626666667,26.1300666666,15.6908666667,6.80510833333
427.23,5.0844,37.8276666667,26.297,19.5875333334,20.2846,5.87712698413,8.36966666666,15.8683333333,5.59766666667,26.2036,15.7509333333,6.78865
427.58,5.09053333333,37.9255333333,26.4759333333,19.6364,20.4377333333,5.88897142857,8.39726666667,15.9642,5.608,26.3135333333,15.8496666667,6.79611333334
427.94,5.10693333333,38.0148666667,26.6802,19.7044666667,20.6018,5.90228571429,8.44406666666,16.0678666667,5.60786666667,26.4531333333,15.9599333333,6.82102833333
428.30,5.11613333333,38.0935333333,26.8630666667,19.7483333333,20.747,5.93050476191,8.47339999999,16.1497333333,5.62793333334,26.5698,16.0588666667,6.84694
428.65,5.10546666667,38.1126666667,27.0172,19.7361333333,20.8447333333,5.93566031746,8.49066666666,16.2065333334,5.61913333333,26.6371333333,16.1196,6.85054333333
429.01,5.07506666667,38.158,27.1774666667,19.7561333333,20.9384666667,5.91272380953,8.48586666667,16.2656666667,5.60013333333,26.7344666667,16.1812,6.84287166667
