wavelength,Back_LoxPorf,Belly_LoxPorf,Breast_LoxPorf,Crissum_LoxPorf,Crown_LoxPorf,DorTail_LoxPorf,Rump_LoxPorf,Throat_LoxPorf,WingTip_LoxPorf
426.51,4.38044444445,3.39466666667,3.29822222222,3.53611111111,2.77066666667,5.39444444445,4.26177777778,5.107,7.49555555556
426.87,4.38788888889,3.411,3.31411111111,3.54777777778,2.77555555556,5.41155555555,4.27477777778,5.12511111111,7.52366666667
427.23,4.38533333333,3.41522222222,3.31455555555,3.55177777778,2.774,5.40744444444,4.27,5.11666666667,7.51833333334
427.58,4.39044444444,3.40555555556,3.30588888889,3.54388888889,2.76522222222,5.39422222222,4.27033333333,5.12444444444,7.53433333334
427.94,4.40277777778,3.40511111111,3.32177777778,3.56266666667,2.76988888889,5.40377777778,4.28188888889,5.15633333333,7.51877777778
428.30,4.40988888889,3.41688888889,3.34155555556,3.57277777778,2.79211111111,5.41555555555,4.29922222222,5.18911111111,7.53088888889
428.65,4.38788888889,3.41166666667,3.33777777778,3.552,2.77688888889,5.38288888889,4.28611111111,5.18233333333,7.52244444444
429.01,4.37211111111,3.37877777778,3.313,3.53855555555,2.76222222222,5.36122222222,4.27422222222,5.177,7.528
429.37,4.37644444444,3.40722222222,3.30811111111,3.54522222222,2.76266666667,5.36666666667,4.27255555556,5.19211111111,7.558
429.72,4.35588888889,3.38155555555,3.28977777778,3.51988888889,2.73433333333,5.34233333333,4.24988888889,5.16388888889,7.53644444444
430.08,4.35755555556,3.38166666667,3.30066666667,3.53488888889,2.74144444444,5.35466666667,4.26588888889,5.18266666667,7.53844444445
430.44,4.36422222222,3.40122222222,3.32,3.56044444444,2.75288888889,5.36166666667,4.28766666667,5.21355555556,7.56222222222
430.79,4.33011111111,3.35355555556,3.29222222222,3.546,2.73322222222,5.33077777778,4.25911111111,5.197,7.52611111111
431.15,4.31922222222,3.334,3.27877777778,3.54233333333,2.72266666667,5.33022222222,4.25266666667,5.19077777778,7.53466666667
431.50,4.32844444444,3.342,3.27922222222,3.55,2.73044444444,5.33755555555,4.25077777778,5.20611111111,7.52833333333
431.86,4.31866666667,3.33111111111,3.248,3.53344444445,2.72144444444,5.319,4.23611111111,5.19922222222,7.54133333333
432.22,4.32077777778,3.33944444444,3.24911111111,3.55211111111,2.72422222222,5.324,4.24444444444,5.21255555556,7.53288888889
432.57,4.33733333333,3.34666666667,3.24033333333,3.57444444444,2.73122222222,5.32655555555,4.26011111111,5.22355555556,7.52822222222
432.93,4.33977777778,3.37111111111,3.25033333333,3.57644444445,2.74622222222,5.34633333333,4.26455555556,5.23666666667,7.52533333333
433.29,4.31788888889,3.339,3.22922222222,3.56511111111,2.73622222222,5.32811111111,4.24988888889,5.22622222222,7.50555555556
433.64,4.34088888889,3.35666666667,3.238,3.58466666667,2.76111111111,5.35311111111,4.27533333333,5.26177777778,7.53266666667
434.00,4.34466666667,3.357,3.22833333333,3.58,2.76266666667,5.35377777778,4.26522222222,5.26211111111,7.53311111111
434.35,4.32866666667,3.34533333333,3.21222222222,3.571,2.75233333333,5.34311111111,4.25233333333,5.24011111111,7.50911111111
434.71,4.346,3.37244444444,3.22188888889,3.58333333333,2.77677777778,5.36411111111,4.26477777778,5.26,7.52255555555
435.07,4.366,3.39055555555,3.23544444445,3.60022222222,2.802,5.37966666667,4.28833333334,5.28755555556,7.53511111111
435.42,4.37,3.40222222222,3.24633333333,3.62411111111,2.823,5.38644444445,4.30377777778,5.29933333333,7.54777777778
435.78,4.37133333333,3.40522222222,3.26011111111,3.629,2.826,5.39111111111,4.31788888889,5.30622222222,7.54333333333
436.13,4.35622222222,3.38833333333,3.23755555556,3.61855555556,2.82055555555,5.37511111111,4.299,5.30211111111,7.54055555556
436.49,4.35466666667,3.37677777778,3.23844444445,3.607,2.82466666667,5.37866666667,4.28588888889,5.31111111111,7.54166666667
436.84,4.36666666666,3.36177777778,3.241,3.613,2.82733333333,5.38166666666,4.28033333333,5.31166666667,7.54711111111
437.20,4.38333333334,3.37455555556,3.25344444444,3.61722222222,2.84666666667,5.39022222222,4.28944444444,5.32288888889,7.55666666667
437.56,4.39311111111,3.38177777778,3.271,3.63066666667,2.856,5.39366666667,4.29233333333,5.33244444444,7.56977777778
437.91,4.41966666667,3.39955555556,3.29777777778,3.65222222222,2.88155555556,5.39233333333,4.31144444444,5.371,7.596
438.27,4.42788888889,3.40611111111,3.29944444444,3.65177777778,2.88577777778,5.39344444444,4.304,5.37677777778,7.61755555556
438.62,4.41866666667,3.38822222222,3.28211111111,3.65444444444,2.86111111111,5.36233333333,4.28344444445,5.362,7.60322222222
438.98,4.39866666666,3.36888888889,3.26666666667,3.64888888889,2.84311111111,5.33922222222,4.253,5.347,7.57711111111
