wavelength,Back_ThlOrnf,Belly_ThlOrnf,Breast_ThlOrnf,Crissum_ThlOrnf,Crown_ThlOrnf,DorTail_ThlOrnf,Rump_ThlOrnf,Throat_ThlOrnf,WingTip_ThlOrnf
246.79,6.3432,8.66606666667,5.98666666667,6.47546666667,6.2404,13.2230666667,6.4168,6.7144,12.0028666667
247.17,5.734,8.31946666667,5.33946666667,5.9774,5.67553333333,12.9149333333,5.96366666667,6.1042,11.5158
247.54,5.36526666667,7.75213333333,4.95,5.35233333333,5.17906666667,12.4342,5.60086666667,5.65313333333,10.94
247.92,4.73566666667,7.2554,4.46666666667,4.59313333333,4.49193333334,11.969,5.0522,4.84973333334,10.3703333333
248.29,4.72406666667,7.25826666667,4.2998,4.67786666667,4.557,12.0538666667,5.07433333333,4.88553333333,10.5389333333
248.67,4.3726,6.9448,3.94113333333,4.5258,4.2694,11.7987333333,4.79446666667,4.52253333334,10.2486
249.04,4.58553333333,7.23206666667,4.02966666667,4.76,4.4498,12.1020666667,4.99906666667,4.73746666667,10.4636666667
249.42,5.0614,7.80386666667,4.47733333333,5.22553333333,4.63453333333,12.6196666667,5.51226666667,5.10593333333,10.8299333333
249.79,4.82533333333,7.5746,4.2394,4.98273333334,4.37493333334,12.4365333333,5.13633333333,4.83606666667,10.5802666667
250.17,4.95406666667,7.92873333333,4.4876,5.21646666667,4.4484,12.3301333334,5.39686666667,4.98913333333,10.5781333333
250.54,5.35186666667,8.5762,5.1758,5.70346666667,5.09626666667,12.7178666667,5.8752,5.32246666667,11.2688
250.92,5.08306666667,8.55186666666,5.265,5.5488,4.88366666667,12.5616,5.5666,4.99886666667,11.2485333333
251.29,5.77606666667,8.9678,5.88266666667,6.33253333333,5.44206666667,12.8648,6.0498,5.66446666667,11.9368666667
251.66,6.35773333333,9.8408,6.58586666667,7.22733333333,6.06793333333,13.5757333333,6.7474,6.34826666666,12.5588
252.04,6.1998,9.58420000001,6.4866,7.01673333334,5.772,13.1534,6.29713333333,6.375,12.3996
252.41,6.4026,9.82053333333,6.861,7.20480000001,5.8496,13.443,6.50226666667,6.53206666667,12.5809333333
252.79,7.02893333333,10.4250666667,7.54733333333,7.61253333334,6.2742,13.907,7.21513333334,7.03893333333,13.1724
253.16,7.13426666667,10.4928,7.82293333333,7.49133333334,6.2594,13.7958666667,7.6068,6.99346666667,13.3133333333
253.54,6.82326666667,9.95446666667,7.4596,6.93933333334,5.8888,13.2020666666,7.04546666667,6.59086666667,12.7373333333
253.91,6.62546666666,9.91513333333,7.05793333333,6.51213333333,5.57533333333,12.8956666667,6.74393333333,6.18806666667,12.4841333333
