wavelength,Back_SpoLeuf,Belly_SpoLeuf,Breast_SpoLeuf,Crissum_SpoLeuf,Crown_SpoLeuf,DorTail_SpoLeuf,Patch10_SpoLeuf,Rump_SpoLeuf,Throat_SpoLeuf,WingTip_SpoLeuf
406.11,7.123,18.0976666667,8.04933333333,9.20911111112,5.11311111111,5.78566666667,10.4122222222,5.655,17.2035555555,7.01288888889
406.47,7.11033333332,18.1064444444,8.06911111111,9.23511111112,5.11144444445,5.79488888889,10.4173333333,5.66066666667,17.1753333333,7.00188888889
406.83,7.10988888888,18.1562222222,8.05155555556,9.25366666666,5.11877777778,5.80433333333,10.4254444444,5.65766666667,17.1745555555,6.97722222222
407.19,7.185,18.2933333334,8.12855555556,9.30655555556,5.20188888889,5.84044444445,10.4917777778,5.669,17.2371111111,7.044
407.55,7.17488888889,18.2943333333,8.13355555556,9.34399999999,5.20666666667,5.85366666667,10.5155555556,5.61333333333,17.2802222222,7.046
407.90,7.16222222223,18.2964444445,8.14577777778,9.34077777778,5.20522222222,5.876,10.5288888889,5.64066666666,17.3313333333,7.04011111111
408.26,7.11166666666,18.2532222222,8.07788888889,9.30744444443,5.20044444444,5.82722222222,10.5415555556,5.61977777778,17.3522222222,6.96966666667
408.62,7.04344444443,18.2416666667,7.98344444445,9.2358888889,5.10955555556,5.73644444445,10.4638888889,5.52744444444,17.3348888889,6.89444444444
408.98,6.99277777777,18.198,7.91177777778,9.20366666668,5.04977777778,5.64866666667,10.3825555555,5.48477777778,17.2597777778,6.82788888889
409.34,6.99800000001,18.2242222222,7.93722222222,9.22033333334,5.02988888889,5.62144444445,10.3824444445,5.48288888889,17.2577777778,6.76511111111
409.70,7.07855555554,18.3134444444,7.98522222222,9.29377777778,5.12711111111,5.67677777778,10.4278888889,5.57044444445,17.3361111111,6.83888888889
410.06,7.05366666666,18.2697777778,7.95433333333,9.27544444443,5.07544444444,5.64233333334,10.398,5.54466666667,17.2751111111,6.77111111111
410.42,7.04677777779,18.2862222222,7.95744444445,9.27222222221,5.07266666667,5.62855555556,10.4095555556,5.55722222222,17.3482222222,6.78055555556
410.77,7.06088888889,18.3384444445,8.07022222222,9.32599999999,5.10755555556,5.65811111111,10.4466666667,5.62344444445,17.4404444445,6.84844444444
