wavelength,Back_DacVenm,Belly_DacVenm,Breast_DacVenm,Crissum_DacVenm,Crown_DacVenm,DorTail_DacVenm,Patch10_DacVenm,Patch11_DacVenm,Rump_DacVenm,Throat_DacVenm,WingTip_DacVenm
212.17,174.074066667,326.2962,238.148184615,245.9258,271.8518,248.7037,160.370466667,217.777733333,330.7408,275.555666666,204.444533333
212.55,144.871733333,245.128066667,172.248466667,169.487333333,197.692333333,189.999933333,120.5128,161.794866667,243.8462,197.692266667,136.153733333
212.92,148.718,256.923266667,182.386584615,184.359,204.871733333,209.8718,138.205133333,184.102666667,251.025733333,218.205333333,157.8205
213.30,204.761933333,437.142933333,273.443205128,272.857133333,310.476066667,369.523766667,211.9046,283.809666667,400.4762,353.333266667,215.238033333
213.68,175.942066667,338.840533333,210.367784615,211.594066667,248.405866667,278.840566667,199.999933333,223.188466667,280.289933333,264.637733333,178.260833333
214.06,325.714266667,581.4286,378.058630769,382.381,457.618933333,489.761766667,350.952266667,410.476133333,467.1428,478.571466667,276.428566667
214.44,329.804,549.803866667,374.630548718,349.411733333,451.764733333,459.607833333,355.294133333,398.8236,437.647066667,453.333266667,288.6276
214.81,282.500066667,444.4444,319.081241026,286.6666,372.222133333,381.388866667,295.0,321.666733333,359.999933333,364.722333333,255.000066667
215.19,591.333333333,1000.66666667,701.487179486,665.999999999,853.333333335,848.000000001,605.333333334,733.333333333,817.999999999,806.666666666,573.333333333
215.57,-2640.0,-4670.0,-3112.56410256,-3066.66666667,-4113.33333333,-4065.0,-2870.0,-3423.33333333,-3820.0,-3826.66666667,-2641.66666667
215.95,-1083.33333333,-2113.33333333,-1449.35897436,-1356.66666667,-1825.0,-1827.5,-1181.66666667,-1475.0,-1616.66666667,-1650.0,-1064.16666667
216.32,-160.3704,-361.481533333,-246.951507692,-239.259133333,-337.037133333,-330.7408,-178.888733334,-249.6296,-256.2964,-270.370333333,-158.148133333
