wavelength,Back_NepOnem,Belly_NepOnem,Breast_NepOnem,Crissum_NepOnem,Crown_NepOnem,DorTail_NepOnem,Rump_NepOnem,Throat_NepOnem,WingTip_NepOnem
249.79,1.94326666667,2.389,1.58706666667,1.39973333333,1.3644,4.63366666667,2.0275,2.26946666667,5.86226666667
250.17,1.63306666667,2.32673333333,1.35793333333,1.08286666667,1.09153333333,4.29313333333,1.94753333333,2.06926666667,5.63366666667
250.54,1.14533333333,1.94266666667,0.946200000001,0.550533333334,0.737266666666,3.762,1.49196666667,1.55993333333,5.17326666667
250.92,1.74953333333,2.77633333333,1.55213333333,1.21766666667,1.37813333333,4.20806666667,2.1391,2.18433333334,5.844
251.29,2.0322,3.1856,1.93746666667,1.39233333333,1.58226666667,4.2862,2.31543333334,2.4404,6.05493333333
251.66,1.72086666667,2.9718,1.59793333333,1.0846,1.3268,4.07793333333,2.01913333333,2.01733333333,5.64353333333
252.04,1.73633333333,2.9222,1.76933333333,1.47953333333,1.395,4.15193333333,2.1109,2.12566666667,5.55446666667
252.41,2.50873333333,3.60453333333,2.30586666667,2.27626666667,1.63806666667,4.57126666667,2.68393333333,2.49026666667,6.0062
252.79,3.12546666667,4.16706666666,2.6346,2.7394,2.1136,5.1228,3.22086666667,2.92673333333,6.41186666667
253.16,3.14753333333,4.38513333333,2.86886666667,3.0212,2.21493333333,5.35113333333,3.43003333333,3.25886666667,6.5402
253.54,3.53166666667,4.8352,3.36706666667,3.47566666667,2.6704,5.7492,3.78653333333,3.62926666667,6.84646666667
253.91,3.809,5.01146666666,3.52733333333,3.5768,2.72453333333,6.06533333333,3.94776666667,3.83193333333,7.00146666667
254.28,4.03613333333,5.17473333333,3.65926666667,3.78866666667,2.99966666667,6.55673333334,4.16183333333,4.05173333333,7.33806666667
254.66,4.7412,5.8738,4.3122,4.5914,3.5558,7.16826666666,4.88676666667,5.0688,7.95699999999
255.03,5.08473333333,6.2638,4.7074,4.67326666667,3.80833333333,7.6972,5.31796666667,5.3096,8.41813333334
255.41,5.7952,6.9542,5.3306,5.3528,4.5742,8.65286666667,5.99203333333,6.034,9.22353333333
