wavelength,Back_SchMelf,Belly_SchMelf,Breast_SchMelf,Crissum_SchMelf,Crown_SchMelf,DorTail_SchMelf,Rump_SchMelf,Throat_SchMelf,WingTip_SchMelf
231.02,-16.8162,-14.487,-14.2307333333,-12.4786,-10.7478666667,-14.8505,-15.3339,-21.1216666667,-11.7735666667
231.40,-17.6724,-15.2543333333,-16.3841333333,-13.4689333333,-12.2938,-16.7118666667,-15.6328916667,-23.0509,-12.5422666667
231.78,-16.7354666667,-14.2988666667,-16.6897333333,-13.1494,-12.0688666667,-16.6207666667,-14.3591333333,-21.9655333333,-11.2297666667
232.15,-16.8096666667,-14.9047333333,-17.9286,-13.8334,-12.9762,-18.5239,-14.3750416667,-20.9166333333,-11.9167333333
232.53,-17.7299333333,-14.8387333333,-19.0440666667,-15.0538666667,-13.3573333333,-19.4025,-15.7974916667,-21.2902666667,-12.5567333333
232.90,-19.9512666667,-16.5936666667,-21.0948666666,-17.5182,-14.7446666667,-22.0803333333,-18.7804916667,-22.7129333333,-14.7810666667
233.28,-23.146,-20.3245333334,-24.095,-19.5256,-17.4033333333,-24.5943666667,-21.9974916666,-26.6042333333,-18.4019666667
233.66,-23.8128,-22.3614,-25.9038,-21.9432,-19.5816,-24.9444,-24.2433,-28.29,-21.0945
234.03,-22.652,-21.8736,-25.9366666667,-21.8976666667,-19.1970666667,-24.2456666667,-23.02,-27.8102,-21.1558
234.41,-20.6944666667,-20.3936,-23.6805333333,-21.2268666667,-17.801,-21.794,-20.561325,-24.618,-19.6644333333
234.78,-21.1999333333,-20.2888666667,-24.4444,-21.8222666667,-18.1555333333,-22.3999333333,-21.2277333333,-24.2555333333,-20.8221333333
235.16,-20.3921333333,-18.4933333333,-22.0434,-20.5984,-16.3881333333,-20.6810333333,-19.574325,-22.9102666667,-19.7936
235.54,-15.5429333333,-13.0666666667,-15.9619333333,-15.4476666667,-11.1048,-14.6761,-15.2404666667,-16.9904,-15.4572
235.91,-15.4224,-11.5167333333,-13.6422,-13.7511333333,-9.31873333333,-13.2696,-13.3537416667,-15.3224666667,-14.2780666667
236.29,-13.8962666667,-9.46353333332,-11.5216,-12.1372,-7.38800000001,-10.9411333333,-11.8293916667,-14.3535,-12.1900333333
236.66,-16.7648666667,-11.8320666667,-13.4941333333,-14.531,-9.99106666667,-13.0028333333,-13.7108083333,-16.6934,-14.495
237.04,-17.6354666666,-13.4399333333,-14.0977333333,-15.2711333333,-11.52,-13.3599666667,-15.2711083333,-16.9599333333,-15.031
237.41,-19.5932,-14.4827333333,-14.4650666667,-16.6048,-13.0328,-14.3412666667,-16.3152666667,-17.3827333333,-15.9151666667
237.79,-21.0069333333,-14.5138,-14.8610666667,-17.0312666667,-13.3332666667,-14.6528,-16.5495916667,-17.4393,-16.3889666667
238.17,-18.6925333333,-11.7514666667,-12.2680666666,-15.1735333333,-11.0249333333,-12.7116666667,-14.8829333333,-14.762,-14.1000666667
238.54,-19.2574666667,-11.9589333333,-12.9859333333,-14.8973333333,-12.1801333333,-13.4914,-15.1698833333,-14.7157,-14.0995666667
238.92,-18.4252,-10.5504666667,-11.7278666667,-13.6544,-11.6513333333,-11.2997333333,-13.26455,-13.1040333333,-12.1635
239.29,-18.0101333333,-11.3144,-12.4329333333,-13.2026,-12.4618666667,-10.835,-13.433125,-12.4109333333,-12.4328666667
239.67,-18.5546666667,-12.5424,-13.6194666667,-14.0694,-13.9602666667,-11.3496,-14.3147833333,-13.5172333333,-12.4741666667
240.04,-17.0132666667,-11.8588,-13.0056666667,-13.1948,-13.5476,-10.5860666667,-14.5163333333,-12.7474,-11.3738
240.42,-15.3603333333,-10.7883333333,-11.8919333333,-11.9032,-12.4887333333,-9.23996666667,-13.6050666667,-11.3963666667,-10.2984333333
240.79,-12.2221333333,-8.65080000001,-9.66273333335,-9.60320000001,-9.86106666666,-6.68646666667,-11.246275,-8.62603333333,-7.8373
241.17,-11.5168666667,-7.88366666667,-9.61073333333,-9.1722,-9.1544,-5.97316666667,-10.2863083333,-7.91046666666,-7.13206666667
241.54,-7.81213333333,-4.40746666667,-6.39013333333,-6.13753333333,-5.6872,-3.06076666667,-7.01525,-4.7748,-4.00863333333
241.92,-5.14086666667,-2.246,-4.08553333333,-3.6506,-3.1158,-0.937566666667,-4.20055833333,-2.73803333333,-1.2799
242.29,-4.2496,-2.00533333333,-3.64533333333,-3.09413333333,-2.59626666667,-0.278933333333,-3.59210833333,-1.97873333333,-0.129533333333
242.67,-3.62793333333,-1.76,-3.34286666667,-3.039,-2.23486666667,0.161333333335,-3.13458333333,-1.9374,0.259533333332
243.05,-2.9954,-1.27246666667,-2.96513333333,-2.4292,-1.6682,0.480966666668,-2.6325,-1.69866666667,0.678733333332
243.42,-2.9088,-1.02113333333,-3.03946666667,-2.6656,-1.6208,0.050666666668,-2.91195,-2.1609,0.8994
243.80,-2.1856,-0.527533333333,-2.57386666667,-2.2608,-1.113,0.159466666669,-2.32031666667,-1.80286666667,1.15356666667
244.17,-2.11093333333,-0.679133333332,-2.77866666667,-2.50706666667,-1.42626666667,0.1018,-2.223275,-2.0487,1.0299
244.55,-1.41946666667,-0.077333333334,-2.17073333333,-1.9884,-0.905666666667,0.712499999999,-1.64268333333,-1.2677,1.86696666667
244.92,-0.761199999999,0.449333333334,-1.8344,-1.3798,-0.576266666667,1.1498,-1.31249166667,-0.827266666667,2.38703333333
245.30,0.859200000001,2.0374,-0.554666666668,0.122666666667,0.706999999999,2.56746666667,0.25335,0.439299999999,4.02066666667
245.67,0.599800000001,1.51773333333,-1.02693333333,-0.118200000001,0.0318666666654,2.18353333333,-0.073325,0.068266666668,3.98093333333
246.05,0.829599999998,1.5796,-0.636933333333,0.046133333334,-0.0125333333328,2.4325,-0.0057916666666,0.502766666668,4.12313333333
246.42,0.555933333333,1.2314,-0.721866666667,-0.023133333332,-0.173733333332,2.3335,-0.09025,0.119966666667,3.71556666667
246.79,0.972266666667,1.71573333333,-0.117866666666,0.482533333333,0.382599999999,2.92583333333,0.224816666666,0.607700000002,4.36103333333
247.17,0.927999999999,1.4322,-0.1402,0.290400000002,0.166933333334,2.86933333333,-0.100650000001,0.452466666667,4.29476666667
247.54,1.01093333333,1.35633333334,0.182400000001,0.479799999999,0.243066666667,3.33493333333,0.283583333333,0.825466666667,4.477
247.92,1.093,1.38566666667,0.451466666666,0.635266666667,0.354933333335,3.62293333333,0.399716666666,0.930966666667,4.80936666667
