wavelength,Back_PhrUnif,Belly_PhrUnif,Breast_PhrUnif,Crissum_PhrUnif,Crown_PhrUnif,DorTail_PhrUnif,Rump_PhrUnif,Throat_PhrUnif,WingTip_PhrUnif
779.09,13.7048666667,25.3910666667,20.7366666667,21.9312,13.4468666667,15.2872,14.2324,20.3813333333,14.6219333333
779.40,14.0244,25.454,20.9421333333,22.1385333333,13.604,15.4360666667,14.3178,20.74,14.9014
779.71,13.8946666667,25.05,20.9194666667,21.9408,13.3398,15.2021333333,14.1778,20.5761666667,14.7929333333
780.02,14.0445,25.2178666667,21.3095333333,22.1317333333,13.4924,15.4118666667,14.4471333333,20.7841,14.9942
780.33,14.0168333333,25.2564666667,21.2899333333,22.2455333333,13.2731333334,15.4785333333,14.2723333333,20.7819,14.9809333333
780.64,14.1938333333,25.5725333333,21.5684666667,22.6117333333,13.6652666667,15.6944666667,14.5292666667,21.045,15.4168
780.95,14.0693333333,25.601,21.5164,22.5410666667,13.5929333333,15.7240666667,14.4332,20.9527666667,15.4748
781.26,13.9125666667,25.5914666667,21.37,22.5736,13.7356,15.5498,14.2698666667,20.7578,15.2826666667
781.57,13.4286666667,25.1456,20.8645333333,22.1987333333,13.1885333333,15.0486,13.704,20.4234,14.6991333333
781.88,13.9108,25.4335333333,21.2794,22.4448666666,13.4966666667,15.4478,14.0156666667,21.0075333333,15.2453333334
782.19,14.5,25.7152666667,21.8094,22.9150666667,13.793,15.8356666667,14.5826666667,21.6065,15.7744666667
782.50,14.2395333333,25.3536,21.9257333333,22.7498,13.6105333333,15.5544666667,14.318,21.4077,15.5542666667
782.81,13.6686333333,24.9722666667,21.6354,22.3248,13.106,15.2035333333,14.1290666667,21.1441333333,15.1559333333
783.12,13.9476333333,25.3496666667,21.9332666666,22.6601333333,13.5510666667,15.6612,14.5214,21.4165666667,15.5432666667
783.43,14.3084666667,25.9442666666,22.5117333333,23.2490666667,13.9548,16.1296666667,14.9317333333,22.0475666667,16.0659333333
783.74,14.2933,25.8204666667,22.6864,22.9862,13.9631333333,16.0577333333,15.0634666667,22.1173,15.9551333333
784.05,14.0102666667,25.5000666667,22.4862,22.5818,13.6851333333,15.6014666667,14.7370666667,22.0061333333,15.6893333333
784.36,13.9693333333,25.3559333333,22.6176666667,22.3764,13.5356,15.3364,14.4613333333,21.9097,15.6088666667
784.67,13.6678,25.1524666667,22.367,21.9485333333,13.0399333333,15.1174666667,14.2018666667,21.5512,15.4576666667
784.98,13.7915333333,25.1508,22.4402,22.0171333333,13.2080666667,15.1626,14.3869333333,21.4943333333,15.5384
785.29,13.087,24.6325333333,21.723,21.3523333333,12.3358,14.5004,13.625,20.7905333333,14.7841333333
785.60,12.5813666666,24.2303333333,21.1320666667,20.9283333333,12.1151333333,14.0228,13.0357333333,20.3348666667,14.3400666666
785.91,12.6835666667,24.2258666667,21.1451333333,20.991,12.3078,14.0892,13.1019333333,20.3913666667,14.5827333334
786.22,13.6689,24.8768,21.7975333333,21.5812666667,13.1134,14.6264666667,13.8036,20.8930666667,15.1611333333
786.53,13.9616333333,25.1305333333,22.1029333334,21.8717333333,13.5346666667,14.9627333333,14.1498,21.1503333333,15.3244
786.84,13.6165333333,24.2714666667,21.3972,21.2156666667,12.9303333333,14.4908666666,13.66,20.334,14.7668666667
787.14,13.4901666667,24.2246,21.0838,21.2227333333,12.7522666667,14.5062666667,13.4510666667,20.0482333333,14.7272
787.45,13.4178333333,23.8543333333,20.7780666667,21.0032,12.302,14.597,13.2453333333,19.6621,14.4139333333
787.76,13.2852333333,23.8287333333,20.6982,21.0009333333,12.2807333333,14.8674666667,13.5019333334,19.7316333333,14.5269333333
788.07,13.3756333333,23.9615333333,20.9953333333,21.246,12.5478666667,15.1039333334,13.7666666667,20.1167,14.7790666667
788.38,13.6001333333,24.4207333333,21.3475333333,21.6818666667,12.8639333333,15.4305333333,14.0258,20.5589,15.1029333333
788.69,14.0433333333,24.7766666667,21.73,22.23,13.5766666667,15.8566666667,14.5466666667,20.745,15.6233333334
789.00,13.9559333333,24.6286,21.7135333333,22.1954666667,13.5307333334,15.8433333333,14.4344666667,20.7580666667,15.6392666666
789.31,13.5756333333,24.3214,21.3353333333,21.9794,13.2994666667,15.5533333333,14.0517333333,20.4388666667,15.2279333333
789.62,13.5233333333,24.5321333334,21.4542666667,22.2797333333,13.5198666667,15.9102,14.0276,20.5318,15.4093333333
789.92,13.4997,24.2879333333,21.1174666667,22.1755333333,13.1827333333,15.7506,13.6031333333,20.1401333333,15.2530666667
790.23,13.7491333333,24.9171333333,21.5908666667,22.7860666667,13.9022,16.2708666667,13.9741333333,20.8008,15.6156666667
790.54,13.9263666667,25.2008,22.0000666667,23.0976666667,14.2761333333,16.4898666667,14.2872,21.2083333333,15.8232666667
790.85,14.1581666667,25.6242,22.5046666667,23.5394666667,14.8855333333,16.7492,14.4995333333,21.5467333333,16.1566
791.16,14.425,25.9749333333,22.7517333333,24.1004666667,15.3082666667,16.9854666667,14.5006,21.917,16.3015333334
791.47,14.5995666667,26.1522,22.7418666667,24.0910666667,15.3946,16.9652666667,14.3106,21.8636,16.281
