wavelength,Back_RamNigf,Belly_RamNigf,Breast_RamNigf,Crissum_RamNigf,Crown_RamNigf,DorTail_RamNigf,Rump_RamNigf,Throat_RamNigf,WingTip_RamNigf
597.17,3.31053333333,5.66506666667,15.0152,5.79406666667,12.1698,4.95946666667,15.5016,2.93133333333,5.41973333333
597.51,3.296,5.6676,15.1344,5.79613333333,12.3027333333,4.95553333333,15.5869333333,2.9268,5.42806666667
597.84,3.29233333333,5.6648,15.2669333333,5.8076,12.4478666667,4.957,15.6645333333,2.92286666667,5.43833333333
598.18,3.28,5.63466666667,15.4002666667,5.79186666667,12.573,4.92873333334,15.7494,2.89666666667,5.4132
598.52,3.2588,5.61433333333,15.5327333333,5.77753333333,12.7221333333,4.9156,15.8344,2.89146666667,5.4176
598.85,3.23966666667,5.60026666667,15.6710666667,5.7628,12.8705333333,4.87506666667,15.9358666667,2.86033333333,5.408
599.19,3.22706666667,5.58366666667,15.843,5.76393333333,13.0514666667,4.86053333333,16.0453333333,2.83993333333,5.40373333333
599.53,3.22533333333,5.57506666667,15.9995333333,5.75526666667,13.2384666667,4.84273333333,16.1606,2.84746666667,5.40566666667
599.86,3.2032,5.57673333333,16.2027333333,5.74053333333,13.4323333333,4.83433333333,16.2781333333,2.85266666667,5.40226666667
600.20,3.17993333333,5.56266666667,16.377,5.75053333333,13.6313333333,4.8292,16.4232,2.83386666667,5.36046666667
600.53,3.18273333333,5.571,16.5481333334,5.75446666667,13.8169333333,4.85573333333,16.5374666667,2.83913333333,5.3452
600.87,3.08626666667,5.49693333333,16.6232,5.67926666667,13.9244,4.78993333333,16.5755333334,2.7662,5.25013333333
601.21,3.0596,5.46953333333,16.7989333333,5.64886666667,14.1178666667,4.7744,16.6963333333,2.7198,5.21226666667
601.54,3.0876,5.47966666667,17.0288666667,5.68126666667,14.3014,4.79966666667,16.8698,2.72046666667,5.21593333333
601.88,3.0904,5.50226666667,17.2012666667,5.683,14.5016,4.82013333333,16.9966,2.72953333334,5.2386
