wavelength,Back_SpoCorm,Belly_SpoCorm,Breast_SpoCorm,Crissum_SpoCorm,Crown_SpoCorm,DorTail_SpoCorm,Patch10_SpoCorm,Rump_SpoCorm,Throat_SpoCorm,WingTip_SpoCorm
197.78,-207.741933333,-182.580733333,-234.516233333,-155.053866667,-216.5592,-184.4087,-118.494533333,-126.881666666,-235.053933333,-225.161233333
198.16,-4131.66666667,-3476.66666667,-4398.33333333,-3443.33333334,-4243.33333333,-3808.33333333,-2706.66666667,-2950.0,-4836.66666667,-3991.66666667
198.54,1537.33333334,1374.66666667,1689.33333333,1409.33333333,1732.0,1506.66666667,1138.66666667,1240.0,1905.33333333,1590.0
198.92,-378.5184,-344.444466667,-420.0,-369.6296,-455.5556,-401.6667,-282.592666667,-308.518533333,-471.111133333,-413.703733333
199.30,-501.666666667,-479.0474,-574.761833333,-491.904666667,-623.3334,-535.952433333,-396.190466667,-439.999933333,-604.761933333,-562.142966667
199.68,890.333333334,862.666666667,1005.66666667,870.000000001,1010.66666667,888.333333334,722.666666667,825.333333333,1019.33333333,963.666666665
200.06,433.684333333,401.403333333,493.508833333,411.578866667,492.631533333,444.035133333,354.034866667,420.3508,491.929733333,474.386033333
200.44,457.450966667,410.196,533.529433334,416.078466667,508.627466667,487.451033333,369.803866667,432.549133333,520.0,489.8038
200.82,264.301066667,241.075333333,318.602233333,237.2044,290.967733334,296.236533333,202.7958,258.4946,299.999933333,303.118166667
201.19,246.833333333,236.333333333,281.833333333,237.666666667,270.333333333,276.083333333,195.0,231.166666667,269.5,274.666666667
201.57,270.775266667,253.7984,303.7208,264.031,300.155133333,306.201533333,224.8062,253.643533333,283.876,298.5272
201.95,420.640933333,402.564133333,468.846133333,422.307666667,460.512866667,510.1281,345.384733333,390.513,450.7692,466.282033333
202.33,492.361133333,496.388866667,561.1111,498.611133333,543.6112,605.972166667,410.8334,460.2778,513.333266667,566.666666667
202.71,452.413766667,441.379266667,511.954033333,442.988533334,485.977066667,545.977066667,371.2644,407.586333333,460.2298,504.4828
203.09,262.397633333,252.280733333,295.146133333,251.228133333,270.877333334,302.046833333,215.906466667,235.204666667,262.807066667,286.608266667
203.47,223.236766667,214.879333333,253.381766667,216.811666667,228.695666667,254.830966667,186.086866667,201.9322,229.0822,247.3912
203.85,175.454566667,171.212066666,202.272733333,174.090866667,185.8332,205.113666667,148.181866667,159.5454,185.833266667,202.651366667
204.22,157.016033333,156.825333333,176.539666667,152.5716,169.523866667,183.4921,132.6984,139.365066667,167.301733333,181.1427
204.60,140.000033333,141.873066667,158.650166667,137.3554,152.9476,161.9834,117.961266667,126.611666667,148.980866667,165.068866667
204.98,129.866666667,132.48,149.2,129.386666667,144.906666667,147.253333333,113.44,118.72,140.853333334,155.653333333
205.36,114.925366667,116.666666667,137.636766667,116.6668,128.805933333,133.607133333,101.343266667,106.418066667,126.766066667,143.1343
205.74,103.309333333,104.762,125.642833333,104.0476,115.857133333,119.9762,88.3810666667,93.5236,114.190466667,130.214
206.12,97.7848000001,99.9577333332,118.122433333,96.0338,108.101266667,108.649833333,83.5865333334,88.1436,107.763733333,123.0802
206.50,89.2133000001,92.6294666667,110.3106,90.8902666667,100.910866667,100.062033333,77.6810666667,81.3251333334,99.793,117.619
206.87,82.8812333333,88.0602000001,102.0715,87.0431333333,94.7268000001,93.7476333333,74.8775333333,78.7947333333,92.9566666667,111.770233333
207.25,85.2642000001,94.2681333334,108.048766667,89.5936666667,100.8944,100.7926,79.3904,84.2683333334,98.8212000001,117.3577
207.63,86.7235666667,95.0756666667,105.7763,90.947,104.8106,103.6174,82.1969333333,85.8712000001,100.303,117.064566667
208.01,90.2942,96.9412666667,109.235166667,93.9607333334,111.411666667,108.137133333,86.7057999999,90.9018666666,102.156866667,118.548866667
208.39,95.1330333334,101.595133333,119.141133333,101.308866667,119.140933333,117.116533333,93.8651333334,98.8138666666,106.666733333,126.6258
208.77,96.1655333333,102.919266667,122.636033333,105.1416,122.44,121.089333333,98.3877999999,100.348533333,109.891066667,130.8497
209.14,102.141266667,106.181066667,127.991266667,108.520933333,127.4614,128.2119,105.165666667,103.797,112.538666667,135.209866667
209.52,107.709633333,111.292533333,132.244866667,110.521466667,133.9682,133.605466667,111.882066667,108.843466667,116.961333333,136.349333333
209.90,110.8772,114.486266667,134.035033333,112.882066667,139.348266667,137.8195,116.390933333,112.481133333,121.253,138.596433333
210.28,107.146666667,112.16,132.08,109.92,140.373333333,140.48,116.64,110.613333333,119.2,137.813333333
210.66,113.746533333,117.3554,137.6584,112.506866666,145.840266667,149.393866667,121.653,115.1516,124.517933333,141.1569
