wavelength,Back_DigCyam,Belly_DigCyam,Breast_DigCyam,Crissum_DigCyam,Crown_DigCyam,DorTail_DigCyam,Patch10_DigCyam,Rump_DigCyam,Throat_DigCyam,WingTip_DigCyam
638.89,9.8832,9.86760000001,9.46033333333,9.73806666667,12.4882,8.20926666667,5.0524,8.36886666667,10.8416,10.4229333333
639.22,9.98613333333,9.96680000001,9.53213333334,9.82506666667,12.5515333333,8.3178,5.12106666667,8.44753333333,10.9110666667,10.5328
639.55,10.0895333333,10.0930666667,9.61660000001,9.96473333333,12.6741333333,8.43546666667,5.22413333333,8.57713333334,11.0628,10.6301333333
639.88,9.93420000001,9.95100000001,9.44433333334,9.8516,12.5471333333,8.3114,5.0746,8.49133333333,10.9572,10.5265333333
640.21,9.90359999999,9.91379999999,9.41986666666,9.82013333333,12.4920666667,8.29773333333,5.05353333333,8.46026666667,10.9118666667,10.5203333333
640.54,9.97039999999,10.0428666667,9.52213333333,9.95339999999,12.5976666667,8.4156,5.16026666667,8.54986666667,11.0062666666,10.6427333333
640.87,9.88693333334,9.98493333334,9.4678,9.93440000001,12.5183333333,8.37126666667,5.1052,8.46793333333,10.9688666667,10.6069333333
641.20,9.83553333333,9.87293333332,9.39386666667,9.84700000001,12.4019333334,8.3336,5.02106666667,8.3452,10.8941333333,10.5194666667
641.53,9.89966666666,9.95666666668,9.45640000001,9.94426666667,12.4144,8.45066666667,5.10466666667,8.45,11.0131333333,10.6157333333
641.87,9.87546666665,9.91499999999,9.44526666667,9.98306666665,12.4134,8.48666666667,5.1364,8.45253333333,11.0251333333,10.6202666667
642.20,9.98406666665,10.0854666667,9.57060000001,10.083,12.5364,8.588,5.24353333333,8.5772,11.1241333333,10.7543333333
642.53,9.98226666668,10.0759333333,9.61446666667,10.1480666667,12.5614,8.569,5.20466666667,8.6366,11.1756,10.7653333333
642.86,9.90679999999,9.96366666666,9.59233333333,10.0764666667,12.5134666667,8.5016,5.13746666667,8.5972,11.1097333333,10.6776666667
643.19,9.86913333335,9.89606666666,9.6014,10.0180666667,12.452,8.462,5.09113333333,8.54093333333,11.0612,10.6523333333
643.52,9.97813333334,9.99406666667,9.65240000001,10.1000666667,12.4893333333,8.5728,5.16746666667,8.63813333333,11.1247333333,10.7153333333
643.85,10.0802,10.1244,9.75753333334,10.2364,12.5946666667,8.68553333333,5.304,8.73993333333,11.2097333333,10.786
644.18,10.075,10.0765333333,9.75093333333,10.184,12.5752666667,8.61273333333,5.29093333333,8.7298,11.1852666667,10.7575333333
644.51,10.0366,9.99559999999,9.67513333333,10.1323333333,12.5467333333,8.553,5.25306666667,8.67113333333,11.1080666667,10.6942666667
644.84,10.1282,10.1258,9.79359999999,10.2579333333,12.6788666667,8.68626666667,5.40946666667,8.84506666667,11.2701333333,10.8527333333
645.17,10.1286,10.1037333334,9.78986666667,10.2174,12.6759333333,8.676,5.4722,8.81466666667,11.2619333333,10.7926
645.50,10.0258666667,9.97906666667,9.70746666667,10.0906,12.5286,8.54166666667,5.37613333333,8.7088,11.1458666667,10.7054
645.83,10.0319333333,9.97673333333,9.71073333333,10.1442666667,12.5242666667,8.55766666667,5.36553333334,8.67586666667,11.1674,10.7077333333
646.16,9.97133333334,9.96566666667,9.60720000001,10.0868666667,12.4450666667,8.5492,5.3668,8.58793333333,11.0722666667,10.6330666667
646.49,10.0564,10.0758666667,9.62766666666,10.1838666667,12.5049333333,8.61566666667,5.42586666666,8.63926666667,11.1446666667,10.7086
646.82,10.0077333333,10.0484666667,9.56546666667,10.1394,12.4351333333,8.57946666667,5.37493333333,8.57453333333,11.0629333333,10.6728
647.15,9.9792,10.0498666667,9.55806666667,10.1508666667,12.4462666667,8.5824,5.38113333333,8.54646666667,11.0752666667,10.6687333333
647.48,9.799,9.92606666667,9.44720000001,10.0354,12.3289333334,8.46326666667,5.2348,8.4208,10.9827333333,10.5723333333
647.81,9.64093333333,9.8322,9.30813333333,9.91986666667,12.2218666667,8.40273333333,5.0956,8.30393333333,10.8693333333,10.4547333333
648.14,9.5116,9.75566666667,9.19,9.8332,12.0856,8.32373333333,4.96713333333,8.22286666667,10.7739333333,10.3336
648.47,9.34199999999,9.60020000001,9.01773333333,9.68506666666,11.9388666667,8.1428,4.78453333334,8.061,10.5623333333,10.1735333333
648.80,9.30506666666,9.63906666667,9.02906666667,9.66926666665,11.9385333333,8.16346666667,4.7354,8.07113333333,10.5161333333,10.2278
649.13,9.33593333333,9.68746666667,9.06100000001,9.71286666667,11.9677333333,8.193,4.792,8.0854,10.5482,10.2830666667
649.46,9.41959999999,9.75413333333,9.17139999999,9.76299999999,12.0422666667,8.28893333333,4.8978,8.17413333333,10.6266666666,10.4158
649.79,9.52319999999,9.86426666666,9.32386666666,9.90006666667,12.1376,8.42786666667,5.01886666667,8.29593333333,10.7699333333,10.5974
650.11,9.53320000001,9.9304,9.39453333333,9.94573333334,12.1626666667,8.45106666667,5.10306666666,8.3328,10.827,10.6321333333
650.44,9.66800000001,10.0994666667,9.52573333333,10.093,12.3210666667,8.6082,5.24706666667,8.466,10.991,10.7905333333
650.77,9.69600000001,10.1192666666,9.60693333333,10.1224,12.3655333333,8.6592,5.3022,8.50253333333,11.0276,10.8452666667
651.10,9.86699999999,10.2085333334,9.68713333333,10.2061333333,12.4566666667,8.81293333333,5.41566666666,8.57826666667,11.1607333333,11.0095333333
651.43,9.94459999999,10.204,9.71999999999,10.2647333333,12.5188666667,8.88146666667,5.45893333333,8.57966666667,11.2141333333,11.0841333334
651.76,10.0612666667,10.2626,9.80019999999,10.3294,12.5865333333,8.90693333333,5.53813333333,8.6338,11.3572666667,11.2218666667
652.09,10.1647333333,10.3761333334,9.8854,10.424,12.6384,9.0292,5.64693333333,8.70926666667,11.4487333333,11.3319333333
652.42,10.2458,10.429,9.93479999999,10.4925333333,12.6862666667,9.10053333333,5.7086,8.7204,11.5433333333,11.4106
652.75,10.3061333333,10.5086666667,10.0254,10.5661333333,12.7728666667,9.24593333334,5.7788,8.81006666667,11.6387333333,11.5116
653.08,10.302,10.5026,10.0118666667,10.5406,12.7658,9.25873333333,5.78946666667,8.859,11.6606,11.493
653.41,10.3590666667,10.5008666667,10.0347333333,10.5201333333,12.7452666667,9.2798,5.82173333333,8.92779999999,11.7002,11.4932666667
653.74,10.1843333333,10.2924,9.82413333333,10.3296666667,12.5566666667,9.11773333333,5.60773333333,8.75080000001,11.5247333333,11.3454
654.06,10.0818,10.1568666667,9.72040000001,10.1858,12.4114,8.99279999999,5.52133333333,8.623,11.4485333333,11.2048666667
654.39,10.0124,10.0786666667,9.68033333334,10.108,12.2834666667,8.89560000001,5.44293333333,8.55213333333,11.3532,11.1708
654.72,9.93866666666,10.0068666667,9.65573333334,10.0648666667,12.2332,8.85233333333,5.4116,8.54253333333,11.2757333333,11.1096
655.05,9.88839999999,10.0195333333,9.61673333334,10.0168666667,12.107,8.77766666667,5.36406666667,8.51813333333,11.2291333333,11.105
655.38,9.84333333332,10.0849333333,9.646,10.0139333334,12.105,8.81933333333,5.38033333333,8.53893333333,11.1789333333,11.1166666667
655.71,9.79079999999,10.0146666667,9.61260000001,9.99133333333,12.0621333333,8.7708,5.373,8.51593333333,11.1558666667,11.0844
656.04,9.76806666668,9.91980000001,9.54686666667,9.92920000001,12.0205333333,8.68773333333,5.30846666666,8.5358,11.1254,11.0594666667
656.37,9.76099999999,9.89200000001,9.48906666667,9.93499999999,11.9981333333,8.64213333333,5.25966666667,8.5162,11.1064,11.0590666667
656.69,9.79926666668,9.95726666667,9.5086,10.041,12.0160666667,8.68386666667,5.29713333333,8.55293333333,11.1214666667,11.1292
657.02,9.58940000001,9.78146666667,9.29673333334,9.88286666667,11.8886,8.5104,5.12966666667,8.34893333333,10.9662,11.0000666667
657.35,9.62966666666,9.82833333332,9.30373333334,9.90553333333,11.9282,8.594,5.20086666667,8.40346666667,10.9978666667,11.0334666667
657.68,9.69473333333,9.89973333334,9.34673333334,10.0158,12.0306,8.68313333333,5.20326666667,8.46026666667,11.0434,11.1020666667
658.01,9.69286666668,9.88726666666,9.25586666667,9.9644,11.9998,8.6908,5.21873333333,8.43573333333,11.0218666667,11.0787333333
658.34,9.77320000001,9.93079999999,9.28066666667,9.98980000001,12.0150666667,8.75466666667,5.25786666667,8.49273333333,11.0578666667,11.0761333333
658.66,9.78026666666,9.93260000001,9.29906666667,10.0075333333,12.0426,8.816,5.26666666667,8.5162,11.0782666667,11.079
658.99,9.8326,9.96740000001,9.3398,10.0631333333,12.1078,8.88086666667,5.34673333333,8.56433333333,11.1234666667,11.1489333333
659.32,9.96039999999,10.0793333333,9.44726666667,10.1564,12.2336666667,9.0134,5.4062,8.68146666667,11.2639333333,11.2747333333
