wavelength,Back_DigAlbm,Belly_DigAlbm,Breast_DigAlbm,Crissum_DigAlbm,Crown_DigAlbm,DorTail_DigAlbm,Patch10_DigAlbm,Rump_DigAlbm,Throat_DigAlbm,WingTip_DigAlbm
390.27,8.72073333333,11.7669333333,9.46160000001,10.1716,7.79426666668,6.98553333333,55.8711333333,9.80313333333,9.40646666667,7.35126666667
390.63,8.7298,11.8179333333,9.4708,10.2197333333,7.80379999999,7.01693333333,55.9914,9.80193333332,9.44806666667,7.3912
391.00,8.81053333333,11.8545333333,9.54113333333,10.2467333334,7.85073333334,7.07633333333,56.0014,9.83033333333,9.47546666666,7.44266666667
391.36,8.81806666667,11.8696,9.58233333333,10.2534666667,7.86626666667,7.09673333333,56.0986,9.86253333333,9.45846666667,7.47786666667
391.72,8.8224,11.8542666667,9.57700000001,10.2556,7.87799999999,7.133,56.0806666667,9.8552,9.45433333333,7.48106666667
392.08,8.87486666667,11.9158,9.62860000001,10.3498666667,7.94473333334,7.19446666667,56.1413333333,9.91560000001,9.53013333332,7.54986666667
392.44,8.78993333333,11.8622,9.53679999999,10.2964666667,7.86260000001,7.06893333333,56.1853333333,9.87800000002,9.46353333334,7.47626666666
392.80,8.84119999999,11.918,9.53026666667,10.3337333333,7.89633333333,7.0768,56.2076,9.94079999999,9.51353333333,7.51573333333
393.16,8.90899999999,11.9862,9.60039999999,10.3941333333,7.98433333333,7.1526,56.1844,10.0112666667,9.56813333331,7.5692
393.52,8.92506666666,11.9866,9.59819999999,10.4377333334,7.98080000001,7.16893333333,56.3228666667,10.0457333333,9.5632,7.572
393.88,8.90666666666,11.9440666667,9.56646666666,10.4255333333,7.95933333333,7.13713333333,56.3842,10.0298,9.54139999999,7.5592
394.24,8.93666666667,11.9920666667,9.59073333334,10.4599333333,8.00100000001,7.18073333333,56.3474666667,10.0722666667,9.59753333333,7.60233333333
394.60,8.94486666667,12.0036666667,9.60333333334,10.4904,8.03586666667,7.20713333333,56.3267333333,10.1066666667,9.62006666665,7.61666666667
394.96,8.88406666666,11.9998666667,9.55073333333,10.5282666667,8.02986666667,7.17333333333,56.446,10.054,9.60093333332,7.57526666667
395.32,8.9232,12.0442666667,9.58786666667,10.5813333333,8.06566666667,7.1908,56.4949333333,10.0559333333,9.66873333333,7.60226666666
395.68,8.88313333333,12.0514666667,9.58479999999,10.5704,8.03626666667,7.17506666667,56.5940666667,10.0396,9.65126666668,7.60246666667
396.04,8.93226666666,12.0892666667,9.61179999999,10.6734,8.07466666667,7.2204,56.8252666667,10.0962666667,9.67360000001,7.629
396.40,8.94506666666,12.0844666667,9.62833333333,10.6858,8.0698,7.2518,56.9108666667,10.0832666667,9.64680000001,7.60106666667
396.76,8.90159999999,12.0464,9.62473333334,10.674,8.04480000001,7.24153333333,56.9346,10.0262666667,9.60626666667,7.5572
397.12,8.84186666667,11.9754,9.57586666666,10.6313333333,7.9674,7.18286666667,56.9418666667,9.96499999999,9.55153333333,7.47973333333
397.48,8.82100000001,11.9578,9.54226666667,10.5786,7.96380000001,7.14146666667,56.8390666667,9.90019999999,9.53060000001,7.41773333333
397.84,8.77233333333,11.9398,9.51186666667,10.5410666667,7.95060000001,7.084,56.8202,9.86486666666,9.50680000001,7.35473333334
398.20,8.75533333333,11.9125333333,9.4608,10.5125333333,7.9554,7.03633333333,56.855,9.83366666667,9.4552,7.34533333333
398.56,8.692,11.8628,9.42346666667,10.4558,7.91346666666,6.97946666667,56.9014666667,9.77873333331,9.39620000001,7.3116
398.92,8.64793333333,11.7942666667,9.39539999999,10.3571333333,7.85239999999,6.91913333333,56.8359333333,9.74566666667,9.32926666667,7.29093333333
399.28,8.5802,11.7144666667,9.32306666667,10.2694666667,7.78946666666,6.8736,56.7825333333,9.69093333334,9.25933333333,7.21773333333
399.64,8.58393333333,11.7134666667,9.30273333333,10.2437333333,7.79913333333,6.86666666667,56.7596,9.66960000001,9.27586666665,7.20306666667
400.00,8.57186666667,11.7064666667,9.31520000001,10.1803333333,7.7862,6.83533333333,56.7424,9.6562,9.28233333333,7.19333333333
400.36,8.5276,11.6572666667,9.27006666666,10.1054666667,7.72873333333,6.7622,56.7825333333,9.56446666667,9.24813333333,7.13526666667
400.72,8.53193333333,11.6732666667,9.27906666667,10.1065333333,7.69993333333,6.7336,56.9409333334,9.55653333334,9.25559999999,7.11093333333
401.08,8.6102,11.7458666667,9.36893333333,10.1936666667,7.79939999999,6.82586666667,57.076,9.61986666667,9.3566,7.2156
401.44,8.62726666667,11.758,9.41380000001,10.2522,7.81779999999,6.851,57.0650666667,9.65313333333,9.39566666667,7.2522
401.80,8.71746666667,11.8575333333,9.50146666667,10.3555333333,7.86833333333,6.95453333333,57.2158,9.72106666667,9.46673333333,7.35886666667
402.16,8.77826666667,11.8926,9.54833333334,10.4378666667,7.88946666667,7.00713333333,57.3232,9.76906666665,9.49980000001,7.41193333333
402.52,8.86479999999,11.9837333333,9.6228,10.5249333334,7.95233333333,7.10246666667,57.337,9.83973333334,9.57373333333,7.4894
402.88,9.00526666667,12.1317333333,9.73666666666,10.6576666667,8.08613333333,7.2702,57.4461333333,9.98133333333,9.70106666667,7.5884
403.24,9.07660000001,12.2088666667,9.79193333333,10.7230666667,8.1432,7.32933333333,57.5716,10.0319333333,9.7744,7.643
403.60,9.14059999999,12.2261333333,9.83953333334,10.7748666667,8.17653333333,7.3706,57.7146,10.1041333333,9.81533333331,7.68593333334
403.95,9.15526666666,12.2702666667,9.85346666666,10.8263333333,8.20133333333,7.40673333333,57.7892666667,10.1416666667,9.83433333333,7.70313333333
