wavelength,Back_PhrEryf,Belly_PhrEryf,Breast_PhrEryf,Crissum_PhrEryf,Crown_PhrEryf,DorTail_PhrEryf,Rump_PhrEryf,Throat_PhrEryf,WingTip_PhrEryf
261.76,6.1514,4.64913333333,3.14973333333,4.33906666667,5.12106666667,6.02493333333,3.54153333333,5.553,8.05179999999
262.13,5.9536,4.32213333333,2.71166666667,3.87503333333,4.74133333333,5.753,3.03473333333,5.09693333333,7.6294
262.51,6.02383333333,3.9955,2.46573333333,3.51946666667,4.76653333333,5.52136666667,2.98213333333,4.8894,7.48503333333
262.88,6.6003,4.37883333333,2.988,3.94983333333,5.1336,5.74613333333,3.47966666667,5.24673333333,7.88573333334
263.25,6.65363333334,4.5533,3.03266666667,3.9584,5.09213333333,5.49863333333,3.4306,5.36006666667,7.89096666667
263.63,6.42290000001,4.77666666667,3.06793333333,3.88773333333,5.01786666667,4.95816666667,3.2162,5.0276,7.78503333333
264.00,6.79120000001,5.17646666667,3.71766666667,3.82406666667,5.43093333333,5.2778,3.6346,5.22866666667,7.94643333333
264.37,6.09646666666,4.17616666667,2.99493333333,2.90773333333,4.5008,4.39183333333,2.80953333333,4.23893333333,6.73486666667
264.75,5.76320000001,3.89783333333,2.85953333333,3.08536666667,3.9614,4.60046666667,2.47386666667,3.7632,6.2535
265.12,5.3004,3.89823333333,2.57293333333,3.066,3.91753333333,4.89253333333,2.33053333333,3.66406666667,6.2425
265.49,5.02553333333,3.96466666667,2.455,3.0566,3.62593333333,4.5958,2.26693333333,3.58313333333,5.88496666667
265.87,5.6316,4.48106666667,3.1972,3.86796666667,4.20346666667,5.2543,2.9456,4.0618,6.7034
266.24,6.13693333334,4.85013333333,3.4884,4.5029,4.6826,5.54226666667,3.47826666667,4.35273333333,7.2014
266.61,5.71,4.87286666667,3.44366666667,4.47253333333,4.46506666667,5.4675,3.41493333333,4.331,7.0144
266.98,6.25216666667,5.4876,3.8776,4.9573,4.9386,6.23336666667,3.94726666667,4.9478,7.52373333333
267.36,6.2607,5.2633,3.83753333333,4.88626666667,5.2166,6.5307,4.00273333333,4.88613333333,7.68413333333
267.73,6.90446666667,5.81346666667,4.1244,5.45126666667,5.75346666667,7.18976666667,4.54453333333,5.56486666667,8.33873333333
268.10,6.6688,5.52333333333,3.8976,5.85693333333,5.8528,7.0231,4.5312,5.59286666667,8.28196666667
268.48,7.57840000001,6.32673333333,4.81893333333,6.90886666667,7.11033333334,8.0992,5.3684,6.68686666667,9.47090000001
268.85,8.03466666667,6.80896666667,5.2146,7.20416666667,7.69360000001,8.51366666667,5.93653333333,7.40066666667,10.0702666667
269.22,8.49106666666,7.0513,5.4752,7.29376666667,7.81466666667,8.54643333333,6.13413333333,7.8462,10.1342
269.59,8.19536666667,6.85323333333,5.23313333333,6.83776666667,7.56006666666,8.33133333333,5.9712,7.78933333333,10.0911333333
269.97,7.19496666666,5.84296666667,3.9626,5.66173333333,6.5828,7.24436666667,4.91613333333,6.91466666667,9.12086666667
270.34,6.95896666667,5.66506666667,3.95786666667,5.467,6.56113333334,7.29476666667,4.84046666667,6.95726666667,9.20396666666
270.71,6.91913333333,5.18693333333,3.73306666666,5.09303333333,6.34973333333,7.34093333333,4.3818,6.77346666666,9.15059999999
271.09,6.369,4.69246666667,3.41306666667,4.72436666667,5.83013333333,6.82963333333,3.82066666667,6.30513333333,8.53976666667
271.46,6.1958,4.54283333333,3.3162,4.4812,5.46393333333,6.60983333333,3.63226666667,6.29906666667,8.34023333333
271.83,5.9482,4.27386666667,3.35186666667,4.193,5.24986666667,6.50006666667,3.3014,6.16186666667,8.19616666667
272.20,5.69676666667,4.1238,3.20453333333,3.964,4.9324,6.40766666667,3.09686666667,6.01153333333,7.9168
272.58,5.61753333333,4.1488,3.2934,4.00616666667,4.8566,6.30133333333,3.18113333333,5.981,7.84066666666
272.95,5.2566,3.76576666667,2.95933333333,3.63586666667,4.45493333333,5.54973333333,2.57286666667,5.47213333333,7.32246666667
273.32,5.04353333333,3.4865,2.84226666667,3.47856666667,4.23826666667,5.21096666667,2.4476,5.09706666667,7.2242
273.69,5.0214,3.4283,2.77806666666,3.66223333333,4.1196,5.2349,2.29386666667,4.77773333333,7.2076
274.06,5.12463333333,3.6323,2.95546666667,3.99566666667,4.348,5.4253,2.4764,4.92026666667,7.40156666667
274.44,5.6312,4.26676666667,3.48066666667,4.4467,4.612,5.69613333333,2.79046666667,5.28593333333,7.80413333333
274.81,5.9054,4.5575,3.63473333333,4.92673333333,4.76526666667,6.0372,3.18013333333,5.39793333333,7.9701
275.18,5.69143333333,4.19503333333,3.318,4.6674,4.42866666666,5.89626666667,2.98613333333,5.1126,7.68406666667
275.55,6.35006666667,4.7414,3.9336,5.48343333333,5.0198,6.67353333333,3.80546666666,5.70846666667,8.10416666667
275.93,6.51256666667,4.7599,3.99933333333,5.757,5.19093333333,6.71223333333,4.24113333333,5.79386666667,8.22123333333
276.30,7.1368,5.12543333333,4.4456,6.19663333333,5.74106666667,7.12766666667,4.7936,6.17153333333,8.76923333333
276.67,6.94133333333,4.89246666667,4.21753333333,6.07353333333,5.575,6.99206666667,4.51966666666,5.90966666666,8.4916
277.04,7.4062,5.55373333334,4.86333333333,6.683,6.0364,7.73046666667,5.468,6.357,9.06926666667
277.41,7.48003333334,5.75863333333,5.08026666667,6.94926666666,6.36766666667,7.9942,5.72946666667,6.5828,9.30710000001
277.79,7.65993333333,6.05706666667,5.46593333333,7.0669,6.85933333333,8.23793333333,6.0516,7.141,9.5848
278.16,8.51676666667,6.92723333333,6.38466666666,7.68083333333,7.60173333333,9.098,6.777,8.11893333333,10.3703333333
278.53,8.2569,6.57913333333,6.0692,7.50833333333,7.43546666667,8.92523333333,6.7286,8.14586666667,9.92716666667
278.90,8.14226666666,6.54106666667,6.0728,7.1913,7.4718,8.7342,6.7796,8.3462,9.87430000001
279.27,8.8948,7.17873333333,6.68826666667,7.88496666667,8.19426666667,9.38896666667,7.5832,9.17159999999,10.6829333333
279.64,8.67203333334,6.83256666667,6.36366666667,7.55263333333,7.85733333333,9.0374,7.2764,8.80206666667,10.5507666667
280.02,8.52533333333,6.78843333333,6.14506666667,7.2533,7.58613333333,9.1667,6.89573333333,8.5516,10.2817
280.39,8.41223333333,6.79693333334,6.0974,7.03196666667,7.46926666667,9.14763333333,6.83466666667,8.5596,10.1509666667
280.76,8.1962,6.57923333333,5.84233333333,6.5893,6.92906666667,9.0829,6.64666666667,8.40986666667,9.75589999999
281.13,8.36933333334,6.61596666667,5.8938,6.62896666667,7.171,9.3485,6.58813333333,8.5984,9.84773333331
