wavelength,Back_LopPusf,Belly_LopPusf,Breast_LopPusf,Crissum_LopPusf,Crown_LopPusf,DorTail_LopPusf,Patch10_LopPusf,Patch11_LopPusf,Rump_LopPusf,Throat_LopPusf,WingTip_LopPusf
210.28,-397.830761905,-469.666744444,-448.888833333,-465.925888889,-428.888888889,-556.296333334,-484.444555556,-475.185,-511.111,-491.111111111,-485.830201149
210.66,-582.179079365,-640.808122222,-630.302833333,-639.394111111,-601.515,-775.757444444,-663.131333333,-665.151555555,-706.313111111,-666.666666667,-676.497858238
211.03,-424.577587302,-450.680922222,-433.871,-452.329666667,-417.921111111,-551.612666667,-477.777777778,-474.193444444,-491.577111111,-463.441111111,-481.763726054
211.41,-369.632507936,-377.397566667,-352.193,-378.362555556,-342.397666667,-442.982444445,-398.830444445,-387.426888889,-396.198777778,-371.052666667,-394.116528736
211.79,-501.477761905,-504.827633333,-460.345,-505.363888889,-450.574777778,-573.180111111,-527.202888889,-511.877333333,-531.800722222,-488.122777778,-526.569028736
212.17,-634.788460317,-611.1109,-593.750166667,-622.685111111,-560.185222222,-705.092666667,-637.963111111,-618.518555556,-665.046333333,-613.889,-648.714875479
212.55,-901.867539683,-844.052233332,-817.647,-875.163444445,-765.359444445,-987.581666668,-894.771222221,-846.405111112,-931.699333332,-878.431444444,-908.33900958
212.92,-574.158730159,-528.711111111,-491.333333333,-562.666666667,-459.555555556,-619.111111111,-565.777777778,-525.333333333,-582.222222222,-551.555555556,-600.551724138
213.30,-412.698412699,-386.423611111,-355.208333334,-403.472222222,-323.263888889,-453.819444444,-404.166666667,-389.583333333,-414.0625,-390.625,-436.200909962
213.68,-532.253968254,-480.711111111,-444.0,-504.888888889,-392.888888889,-568.0,-509.777777778,-475.555555556,-507.333333333,-461.333333333,-558.850574713
214.06,-1180.95231746,-1150.10096667,-1043.9395,-1138.38388889,-886.868777778,-1321.21211111,-1185.85877778,-1094.94955555,-1196.96977778,-1030.303,-1316.30104215
214.44,-1743.53730159,-1706.19055556,-1609.52366667,-1663.49188889,-1255.55544444,-1973.01588889,-1788.88888889,-1526.98411111,-1752.38088889,-1457.143,-1973.45376437
214.81,-1909.25926984,-2010.55546667,-1899.99983333,-1979.62955556,-1435.18511111,-2251.85177778,-2127.77766667,-1742.59266667,-2103.70366666,-1698.14811111,-2303.22456513
215.19,1501.38888889,1638.47222222,1539.58333334,1588.88888889,1162.5,1787.5,1691.66666667,1458.33333333,1712.5,1379.16666667,1800.74233716
215.57,-2694.84126984,-3086.66666667,-2775.0,-2977.77777778,-2033.33333333,-3394.44444444,-3163.88888889,-2708.33333333,-3230.55555556,-2625.0,-3500.43103448
215.95,838.208650794,971.984088888,869.047666666,923.015777778,636.507888889,1031.74611111,957.142888888,834.920555555,961.904833332,834.920333333,1047.3591341
216.32,618.379174603,748.771866667,621.929666666,674.853666667,482.456222222,765.497,716.374222222,646.198888889,704.093333333,607.602555556,766.777657088
216.70,583.888888889,719.222222222,595.833333333,638.888888889,470.555555556,714.444444444,672.777777778,610.555555556,679.166666667,559.444444444,734.109195402
217.08,485.912825397,600.648122222,520.833166667,535.648111111,382.407333333,601.388888889,564.351888889,518.981555556,585.648111111,467.592444444,613.641544061
217.46,263.022936508,325.959566667,286.7425,290.151555556,213.384111111,323.484777778,306.565666666,265.656666667,318.181666667,244.696888889,331.243565134
217.83,285.436507937,359.194444444,299.166666667,315.555555556,232.222222222,350.555555556,337.222222222,290.0,344.027777778,260.277777778,343.912835249
218.21,319.841333333,388.240788889,329.166833333,342.901333333,255.246777778,381.481444444,364.506222222,311.728555555,369.598666667,289.197444444,373.643074713
218.59,354.015063492,412.908511111,328.9215,366.339666667,272.875777778,402.614333333,388.562111111,322.875777778,382.516388889,310.784333333,398.1406341
218.97,361.463714286,412.006211111,306.9445,357.716111111,270.370555556,395.679,393.827,320.678888889,369.444444444,321.296555555,393.949628352
219.34,453.068698412,514.814733333,391.111333333,451.851888889,357.777777778,505.555555556,490.740777778,389.259222222,475.555444444,410.740777778,485.453241379
219.72,305.079365079,327.066666667,262.666666666,299.555555556,243.777777778,324.222222222,311.333333333,256.666666667,309.777777778,278.222222222,312.567049808
220.10,409.259349206,427.654288889,356.944666667,388.580222222,312.963,432.098777778,413.888888889,335.185222222,416.358,366.975333333,417.651162835
220.47,384.920730159,386.169555556,338.157666667,366.082111111,286.841777778,400.877111111,380.994333333,318.421111111,386.549722222,352.924,392.639551724
220.85,585.84668254,566.1573,502.777666667,533.333333333,400.926,601.851888889,570.370333333,466.203777778,560.879722222,510.185111111,587.228819923
221.23,431.559380952,406.8954,371.5685,377.124111111,313.071888889,438.235222222,416.34,338.888666667,398.856222222,369.281111111,422.898427203
221.61,586.125761905,547.366333333,496.913333333,511.934111111,448.559666667,593.004,572.428,467.078222222,542.386888889,538.271888889,582.006394636
221.98,478.478079365,461.143711111,435.7845,433.006444444,385.620777778,483.986777778,457.843222222,397.058555556,460.130722222,455.882333333,500.586109195
222.36,435.004111111,412.017533333,384.649166666,383.040777778,349.707555556,422.514666667,407.602333333,353.801111111,411.695944445,403.216444444,455.011072797
222.74,461.451396826,439.682466667,423.8095,415.555444444,384.126888889,459.364888889,442.857222222,389.841333333,435.714166667,438.730222222,485.14498659
223.11,726.832809524,675.9259,681.746,631.217,612.169555556,740.211555556,671.957666667,624.867666667,690.211666667,684.656222222,765.444268199
223.49,553.804079365,486.973266667,504.023166667,459.386888889,466.283333333,540.613,488.122555556,480.843,497.701111111,510.345,573.99248659
223.87,1834.52380952,1611.25,1702.08333334,1465.27777778,1588.88888889,1823.61111111,1691.66666667,1573.61111111,1663.88888889,1631.94444445,1910.41666667
224.24,981.058095238,874.296344444,911.111166665,788.888777777,868.148,998.518444446,934.074111111,847.407444445,924.444444446,880.000222222,1046.84540805
224.62,679.894063492,622.2222,642.857166667,561.375777778,622.222111111,700.0,681.481555556,573.015777778,659.788444445,601.058222222,747.363659004
225.00,520.399777778,495.596633333,503.703666666,446.502111111,494.238777778,546.090666667,530.452555556,455.967111111,524.485555556,495.884555555,577.210216475
225.38,548.888888889,550.577777778,552.0,471.111111111,525.333333333,579.111111111,561.777777778,502.666666667,569.333333333,527.555555556,603.67816092
225.75,398.956746032,400.888866667,407.618833333,343.492111111,374.285777778,414.285555555,417.460222222,372.063555555,418.571388889,376.825444445,440.760881226
226.13,540.571428571,519.955555556,514.666666667,445.777777778,486.666666667,552.444444444,562.222222222,477.777777778,547.555555556,499.111111111,574.076628352
226.51,502.292634921,492.674766666,498.148,437.448666667,457.201666667,541.975222222,534.568111111,463.374555556,524.897166667,476.954888889,537.093860153
226.88,521.333333333,526.088888889,531.333333334,454.666666667,489.333333333,585.777777778,556.0,479.111111111,574.666666667,512.444444444,574.191570881
227.26,430.357142857,428.715277778,436.979166666,377.777777778,384.375,453.819444445,452.777777778,376.736111111,470.138888889,416.319444444,442.420977012
227.64,482.823031746,486.190588889,494.642833333,434.127,419.841111111,511.111111111,534.920666666,414.285888889,539.880888889,466.27,506.109837165
228.01,357.104904762,360.026411111,367.063333333,333.862444445,312.169222222,374.338666667,392.328,312.963,391.5345,362.433888889,371.802718391
228.39,395.11615873,394.330455556,397.008666667,380.056888889,343.874666667,403.418555556,422.222111111,333.618444445,409.686666667,408.831666667,403.148668582
228.76,817.813142857,807.4693,824.074166667,780.246777778,704.320888889,841.358,859.259222222,700.0,846.296222222,868.518666667,807.886220306
229.14,1859.12698413,1797.5,1831.25,1758.33333333,1586.11111111,1870.83333333,1927.77777778,1536.11111111,1906.94444444,1893.05555555,1796.14463602
229.52,-14436.5079365,-13486.6666667,-13366.6666667,-13988.8888889,-11966.6666667,-14022.2222222,-15122.2222222,-11333.3333333,-14905.5555556,-14511.1111111,-13916.091954
229.89,-1482.36336508,-1387.28402222,-1361.11116666,-1437.03722222,-1250.61733333,-1449.38266667,-1538.27166667,-1179.01233333,-1539.50616667,-1490.12344445,-1433.92945977
230.27,-444.614571428,-405.119011111,-418.452333333,-438.888888889,-376.190444445,-436.904777778,-478.968222222,-344.841222222,-473.412611111,-432.539777778,-433.3128659
230.65,-268.106238095,-235.6072,-246.124,-264.341,-222.997333333,-256.330777778,-295.090444445,-202.067333333,-286.950944445,-260.206555556,-261.258059387
231.02,-297.98684127,-252.926722222,-269.105666667,-294.850777778,-244.986333333,-267.208888889,-324.119222222,-228.726222222,-311.788833333,-288.346888889,-288.711505747
231.40,-348.863063492,-290.780911111,-328.3785,-352.252222222,-296.096111111,-322.822888889,-372.072111111,-272.071888889,-351.952,-344.744777778,-357.43489272
231.78,-261.022968254,-214.5431,-240.370166666,-264.197555556,-217.284,-236.049444444,-276.790111111,-200.246777778,-255.926111111,-250.617111111,-271.575189655
232.15,-169.868650794,-131.858211111,-146.839,-163.41,-139.271888889,-150.383111111,-180.842888889,-127.011777778,-165.613,-149.425444444,-175.138704981
232.53,-102.620095238,-72.6373,-86.9476666667,-94.2436666667,-78.8486666666,-87.6838888889,-109.638555556,-76.7067777778,-99.4646666668,-78.5808888889,-107.679128352
232.90,-131.332857143,-96.7734333332,-112.785166667,-122.222333333,-103.652888889,-114.155111111,-135.921,-104.109555555,-124.733555556,-101.37,-140.576323755
233.28,-170.11384127,-123.263577778,-137.760166667,-157.465111111,-137.847,-140.798333333,-171.353888889,-141.666222222,-155.468555555,-132.985777778,-172.120222222
233.66,-182.344349206,-137.521322222,-148.717833333,-169.401666667,-154.187888889,-153.504333333,-180.170777778,-154.017111111,-165.555444444,-148.034111111,-181.753400383
234.03,-178.515507937,-133.740144444,-149.999833333,-168.544555556,-146.166,-149.139111111,-174.960777778,-148.67,-162.989,-142.097,-169.18944636
234.41,-269.467888889,-224.161288889,-241.503,-257.080666667,-230.719,-234.204777778,-268.191777778,-245.098111111,-257.734277778,-232.897444444,-257.854515326
234.78,-278.349206349,-230.644444445,-254.0,-265.555555556,-239.777777778,-240.0,-268.666666667,-252.444444444,-268.444444444,-241.111111111,-264.191570881
235.16,-230.492952381,-191.228055556,-215.497,-226.315777778,-201.949333333,-198.635555555,-223.391777778,-215.204777778,-227.777722222,-194.152,-227.774396552
235.54,-233.932349206,-202.830266667,-219.496833334,-243.605777778,-216.142666667,-209.433888889,-230.817666667,-229.140333333,-244.3395,-207.966333333,-238.491300766
235.91,-299.858873016,-256.963066667,-293.333333333,-304.197666667,-281.975444445,-269.135888889,-290.864222222,-299.506111111,-310.493777778,-275.555444445,-294.193264368
236.29,-430.521460317,-366.761755556,-424.285833333,-440.0,-403.174555556,-383.809555556,-399.047444445,-407.619,-436.507888889,-405.079333333,-429.108005747
236.66,-428.662063492,-364.634944445,-424.285666667,-440.0,-415.555666667,-386.984111111,-395.238,-398.412444444,-443.650777778,-409.841444445,-424.920591954
237.04,-407.293047619,-336.486588889,-400.4505,-411.411444445,-389.189111111,-357.958,-371.471555556,-358.859111111,-425.525388889,-373.273333333,-386.5901341
237.41,-425.940952381,-373.3017,-444.761833333,-439.047555555,-411.745888889,-398.730222222,-396.508,-378.730222222,-452.381,-403.491888889,-415.681323755
237.79,-294.73015873,-264.355555556,-316.666666666,-306.666666667,-290.0,-279.777777778,-277.333333333,-267.555555556,-313.333333333,-280.222222222,-286.954022988
