wavelength,Back_TanCucm,Belly_TanCucm,Breast_TanCucm,Crissum_TanCucm,Crown_TanCucm,DorTail_TanCucm,Patch10_TanCucm,Patch11_TanCucm,Rump_TanCucm,Throat_TanCucm,WingTip_TanCucm
783.43,42.7690666667,35.8150666666,31.5829333333,40.512,18.1138,12.2125666667,17.8892666667,14.4408666667,45.8880666667,21.4707666667,18.5893
783.74,43.9851333333,36.8998666667,32.761,41.4892666667,19.1203333333,13.2405333333,19.0992,15.13,47.0958666667,22.8827333333,19.6424
784.05,44.2458,37.4195333333,33.3971333333,41.7983333333,19.4998666667,14.0783333333,19.6647333333,15.7543333333,47.7999333333,23.8442,20.0744333333
784.36,43.9636,36.8248,32.9578666667,41.2228666667,19.2438666667,13.7356,19.3081333333,15.3821333333,47.3801333333,23.8535,19.4368666667
784.67,43.2849333333,35.9528666667,32.4261333333,40.7568,18.7976666667,13.2340333333,18.8566666667,14.9758,46.9941333333,23.7251333333,19.2967333333
784.98,42.8110666667,35.7672666667,32.2079333333,40.4524,18.4382666667,12.8217666667,18.5891333333,14.685,46.9358666667,23.5514,19.1332
785.29,43.9755333333,36.9038,33.5677333333,41.2790666667,19.7442,14.2099333333,19.9359333333,15.8432666667,48.1428666667,25.0359333333,20.2637666667
785.60,44.0223333333,36.9284666667,33.1142,40.9561333333,19.6046666667,13.9076,19.4978666667,15.2456666667,47.7724,24.8397,19.8638333333
785.91,43.7666666667,36.5702666667,32.3756,40.7330666667,19.0690666667,13.2183333333,18.9405333333,14.2750666667,47.2338,24.1708,18.9005666667
786.22,43.3967333333,36.1006,31.9577333333,40.3122,18.7407333333,12.7831666667,18.3597333333,14.0846,46.9682666667,24.1693666667,18.4099
786.53,44.0454,36.9608,32.7553333333,40.9442,19.4891333333,13.6713333333,19.1072666667,15.0980666667,47.6676,24.8814,18.9627333333
786.84,44.0050666667,36.7156,32.3862,40.8442666667,19.3823333333,12.9755333333,18.5636666667,14.7698,48.1132,24.4453666667,18.5816666667
787.14,43.1946666667,35.8718,31.466,39.8587333333,18.597,12.1699333333,17.6129333333,14.2469333333,47.4590666667,23.3612666667,17.8148666667
787.45,43.146,35.5304666667,31.2808666667,39.8852,18.5269333333,12.1622666667,17.3983333333,13.9576,47.6203333333,22.9162666667,17.9299666667
787.76,43.589,36.1306666667,31.8437333333,40.6442,18.9234,12.9179333333,18.0138,14.5180666667,48.4366666666,23.1735333333,18.5568333333
788.07,43.7478666667,36.5768666667,32.0823333333,40.7515333333,19.2243333333,13.0134,18.2738,14.8604666666,48.3538666667,23.1733333333,18.5745666667
788.38,43.2655333333,36.0513333333,31.9622666667,40.5232666667,18.7839333333,12.5897333333,17.7954666667,14.341,47.9409333333,22.4879333333,17.9941
788.69,42.7696,35.7920666667,32.0699333333,40.4081333333,18.5665333333,12.4805333333,17.4344,13.9649333333,47.5656,22.2036,17.3104333333
