wavelength,Back_TanMexf,Belly_TanMexf,Breast_TanMexf,Crissum_TanMexf,Crown_TanMexf,DorTail_TanMexf,Patch10_TanMexf,Patch11_TanMexf,Rump_TanMexf,Throat_TanMexf,WingTip_TanMexf
637.23,6.13306666667,64.2436,18.4830666667,56.8460666667,4.46926666667,6.46753333333,7.404,17.5485333333,22.5363333333,13.7953333333,7.90633333333
637.56,6.0892,64.2709333333,18.4504,56.8582,4.41553333333,6.4118,7.33126666667,17.4599333333,22.4714666667,13.7216,7.846
637.90,6.02866666667,64.2606666667,18.3767333333,56.8014,4.3792,6.37053333333,7.25753333333,17.3780666667,22.417,13.6518,7.7718
638.23,5.9488,64.0923333334,18.2650666667,56.6948,4.29466666667,6.3178,7.13266666667,17.2264,22.3850666667,13.5468,7.74153333333
638.56,5.85753333333,64.0737333333,18.1428666667,56.6788666667,4.19746666667,6.22746666667,7.009,17.1088666667,22.3039333333,13.4800666667,7.6606
638.89,5.82913333333,64.0633333333,18.0821333333,56.7188,4.20493333333,6.17566666667,6.96126666667,17.0921333333,22.2984,13.4661333333,7.64213333333
639.22,5.80493333333,64.1272,18.0349333333,56.7477333333,4.1518,6.133,6.9064,17.05,22.2622666667,13.4104666666,7.5844
639.55,5.8088,63.8775333333,17.9428,56.5814666667,4.11913333333,6.12,6.90473333333,16.9733333334,22.1964,13.3645333333,7.59106666667
639.88,5.70213333333,63.859,17.8216,56.4855333333,3.985,5.98493333333,6.77486666667,16.8578666667,22.0740666667,13.2235333333,7.46846666667
640.21,5.69453333333,63.9015333333,17.801,56.5430666667,3.9692,5.94986666667,6.75166666667,16.7909333333,22.0847333333,13.1707333333,7.44473333333
640.54,5.65433333333,63.9626666667,17.7972,56.6147333333,3.9342,5.89566666667,6.75386666667,16.7942,22.0948,13.1764666667,7.45106666667
640.87,5.65826666667,64.1095333334,17.8227333333,56.7052,3.9294,5.88126666667,6.7964,16.7918,22.1189333333,13.1985333333,7.46413333333
641.20,5.59046666667,64.0080666667,17.7143333333,56.6011333333,3.87093333333,5.85346666667,6.73326666667,16.7404666667,22.0344666667,13.1465333333,7.39153333333
641.53,5.59673333333,64.0912666667,17.6700666667,56.6554,3.8404,5.8138,6.71186666667,16.7056,22.0067333333,13.1237333333,7.4162
641.87,5.62933333333,64.2445333333,17.6771333333,56.7459333333,3.85526666667,5.79826666667,6.7574,16.7538666667,21.9941333333,13.1311333333,7.39066666667
642.20,5.60853333334,64.1938,17.6766666667,56.7052,3.8316,5.75326666667,6.73726666667,16.6803333333,21.9394,13.0815333333,7.3408
642.53,5.6208,64.1973333333,17.6838,56.6375333333,3.79953333333,5.78046666667,6.7534,16.6282666667,21.886,13.0558,7.32106666667
642.86,5.60853333334,64.2364666667,17.6926666667,56.7086,3.81266666667,5.78673333333,6.7622,16.6584,21.8907333333,13.0555333333,7.35906666667
643.19,5.5428,64.3809333333,17.6258666667,56.8505333333,3.78573333333,5.72733333333,6.70373333333,16.5956,21.8288,13.0002666667,7.29586666667
643.52,5.55713333333,64.2899333333,17.5990666667,56.8633333333,3.7818,5.71746666667,6.75266666667,16.5644,21.8177333333,12.9966666667,7.314
643.85,5.5086,64.2127333333,17.5264666667,56.7354,3.71273333333,5.67486666667,6.727,16.5133333333,21.7120666667,12.9528,7.26973333333
644.18,5.51253333333,64.0527333334,17.5124666667,56.5828,3.71646666667,5.71046666667,6.7022,16.4797333333,21.6446,12.9103333333,7.26266666667
644.51,5.5168,63.9091333333,17.4853333333,56.5199333333,3.74233333333,5.74886666667,6.6648,16.4614,21.5854666667,12.8856666667,7.25973333333
644.84,5.57453333333,64.0589333333,17.5726,56.6708,3.8036,5.78793333333,6.69333333333,16.5142666667,21.6195333333,12.922,7.31653333333
645.17,5.6306,64.0518666667,17.6330666667,56.7090666667,3.9136,5.9,6.74526666667,16.5374666667,21.6735333334,12.9508666667,7.4078
645.50,5.6334,64.1254666667,17.6606666667,56.7746666667,3.9634,5.92333333334,6.75666666667,16.588,21.7080666667,12.9771333333,7.43993333333
645.83,5.65593333333,64.1816,17.6312666667,56.806,4.00786666667,5.96486666667,6.76146666667,16.6173333333,21.7536666667,12.9966666667,7.49846666667
