wavelength,Back_DigGlom,Belly_DigGlom,Breast_DigGlom,Crissum_DigGlom,Crown_DigGlom,DorTail_DigGlom,Patch10_DigGlom,Rump_DigGlom,Throat_DigGlom,WingTip_DigGlom
653.41,7.52666666667,17.3002916667,15.02454,15.5724166667,5.75286666667,8.26686666667,18.2782666667,10.4582,6.4374,12.7976
653.74,7.34546666667,17.0824166667,14.9215866667,15.4351666667,5.53473333333,8.13473333333,18.1910666667,10.35,6.32016666667,12.5885333334
654.06,7.26973333333,17.1186666667,14.8470666667,15.4164166667,5.50093333333,8.1343,18.1826666667,10.2982666666,6.2983,12.6075333333
654.39,7.2586,17.0439166667,14.77798,15.4171666667,5.40053333333,8.0823,18.1724,10.2744,6.28096666667,12.5396
654.72,7.1244,17.07325,14.7130533333,15.3370833333,5.2854,8.00336666667,18.1435333334,10.2162666667,6.2165,12.4885333333
655.05,7.3246,17.2977916667,14.8756133333,15.519,5.47133333333,8.20416666667,18.3472666667,10.4204,6.43386666667,12.6694666667
655.38,7.33666666667,17.341875,14.87542,15.485,5.39006666667,8.19456666667,18.3854,10.4090666667,6.437,12.6244666667
655.71,7.33906666667,17.4571666667,14.93466,15.4869166667,5.36726666667,8.16943333333,18.4154666667,10.4219333333,6.40483333333,12.5970666666
656.04,7.41573333333,17.628,15.0295066667,15.5519166667,5.3964,8.19483333333,18.5144666667,10.4973333333,6.4028,12.6711333333
656.37,7.4172,17.6886666667,15.0733333333,15.5205,5.40986666667,8.17956666667,18.5321333334,10.5451333333,6.4086,12.7222666667
656.69,7.4052,17.704875,15.1105733333,15.5303333334,5.35566666667,8.12533333333,18.5136,10.531,6.3557,12.7026
657.02,7.47113333333,17.8275,15.2511733333,15.6463333333,5.47646666667,8.21723333333,18.5756,10.64,6.4056,12.7883333334
657.35,7.474,17.920125,15.3306133333,15.6249166666,5.4736,8.19903333333,18.5724666667,10.6302666667,6.39686666667,12.828
657.68,7.54893333333,18.0099583333,15.4410533333,15.68825,5.46433333333,8.1744,18.6120666667,10.6746666667,6.45136666667,12.8514
658.01,7.55153333333,18.104,15.5251133333,15.7105833333,5.45886666667,8.1755,18.6794666667,10.6994,6.47513333333,12.8924666667
658.34,7.57726666667,18.1311666667,15.48532,15.74925,5.472,8.18313333333,18.6786,10.6983333333,6.5022,12.9241333333
658.66,7.5308,18.1390416667,15.5081666667,15.7176666667,5.4202,8.1047,18.5872,10.6740666667,6.42656666667,12.8756
658.99,7.5416,18.1785833333,15.5531466667,15.7570833333,5.46993333333,8.1043,18.5636,10.7116666667,6.44633333333,12.9464
659.32,7.5204,18.11725,15.5220933333,15.7198333333,5.44266666667,8.05313333333,18.5072666667,10.6917333333,6.4084,12.9203333333
659.65,7.5682,18.09475,15.59058,15.77675,5.53266666666,8.11053333333,18.5286,10.8029333333,6.49473333333,13.0330666667
659.98,7.6596,18.185375,15.67994,15.8985,5.64553333333,8.21913333333,18.6208666667,10.9027333333,6.6125,13.1250666667
660.31,7.65879999999,18.200125,15.6402133333,15.8259166667,5.6554,8.17193333333,18.5390666667,10.8865333333,6.60743333333,13.1252666667
660.63,7.64013333334,18.2564583333,15.6076666667,15.8473333333,5.64546666667,8.17086666667,18.6086666667,10.9046666667,6.60786666667,13.1333333333
660.96,7.77886666666,18.3995833333,15.7199333333,16.0008333333,5.78433333333,8.31573333333,18.7033333333,11.057,6.72146666667,13.3012666667
661.29,7.76853333333,18.295,15.6915133333,16.03075,5.8294,8.31976666667,18.7209333333,11.0762666667,6.6916,13.31
661.62,7.86653333333,18.3264166667,15.7439066667,16.0713333333,5.9066,8.40193333333,18.7288666667,11.1492,6.7148,13.3485333333
661.94,7.94193333334,18.3647916667,15.8906266667,16.1401666667,5.96526666667,8.46583333333,18.8313333333,11.2284666667,6.74383333333,13.3599333333
662.27,7.82193333334,18.206125,15.7337466667,16.062,5.8652,8.342,18.7656,11.1654,6.61553333333,13.2744
662.60,7.63653333333,18.0840833333,15.5889866667,15.893,5.66033333333,8.1602,18.6378666667,10.9897333333,6.40166666667,13.0542
