wavelength,Back_TanJohf,Belly_TanJohf,Breast_TanJohf,Crissum_TanJohf,Crown_TanJohf,DorTail_TanJohf,Patch10_TanJohf,Patch11_TanJohf,Patch12_TanJohf,Rump_TanJohf,Throat_TanJohf,WingTip_TanJohf
351.83,7.14049999999,16.058,18.9590833333,14.4976666667,5.249,9.90040104168,19.6110833333,4.51583333333,20.8018333333,16.43175,5.26229166667,7.90608333333
352.19,6.70875,15.7357222222,18.7293333333,14.168,4.77716666667,9.44192187499,19.2319166667,4.10108333333,20.4994166666,16.1136666667,4.84883333333,7.43516666667
352.55,6.52341666667,15.6304444445,18.7356666667,14.0615833333,4.72175,9.455828125,19.1841666667,4.086,20.5033333333,16.005,4.70466666667,7.323
352.92,6.74541666666,15.9938888889,18.9896666667,14.3096666667,4.95958333333,9.71802083333,19.60825,4.26966666666,20.7700833333,16.1115833333,4.94658333333,7.38391666667
353.28,6.34325000001,15.6477222222,18.8099166667,13.9145,4.64983333333,9.37871874999,19.28925,3.931,20.5328333333,15.6688333333,4.541875,6.97983333333
353.65,6.32883333334,15.4697777778,18.7466666667,13.9186666667,4.54333333334,9.43147916667,19.2636666666,3.85966666667,20.5341666666,15.6750833334,4.44170833333,6.91583333333
354.01,6.29733333333,15.4027777778,18.7159166667,13.9028333333,4.59133333333,9.42753124999,19.2144166667,3.852,20.47875,15.6809166666,4.39891666667,6.87166666667
354.38,6.32966666666,15.4459444444,18.7679166666,13.93575,4.41975,9.35703125001,19.2420833333,3.80691666666,20.4790833333,15.6301666667,4.31566666667,6.82066666666
354.74,6.31783333334,15.5668333333,18.83175,13.95475,4.441,9.32758854166,19.3508333333,3.73533333333,20.5145833333,15.6690833334,4.349375,6.80358333334
355.11,6.413,15.5932777778,18.9390833333,14.0134166667,4.53758333333,9.37278125001,19.5509166667,3.77958333333,20.7314166666,15.71025,4.45916666667,6.8515
355.47,6.42708333333,15.6697777778,19.0406666667,13.9403333333,4.52091666667,9.40094791667,19.5809166667,3.70433333333,20.7748333333,15.70825,4.46245833334,6.8365
355.83,6.42991666666,15.6925,18.9850833333,13.9229166667,4.5005,9.46485416666,19.625,3.73966666667,20.8835,15.65175,4.50983333333,6.97108333333
356.20,6.537,15.8778888889,19.1301666666,14.0553333333,4.53758333333,9.59435937501,19.8505,3.94625,21.133,15.8058333333,4.629125,7.13691666667
356.56,6.69008333334,16.0670555556,19.1491666667,14.2058333333,4.63791666667,9.65742708333,19.9715,3.974,21.298,15.9276666667,4.74120833333,7.19566666667
356.93,6.62208333333,16.0519444444,19.1161666666,14.1610833333,4.60883333333,9.58378645833,19.8693333333,3.83933333333,21.3509166667,15.8660833333,4.620375,7.18133333333
357.29,7.14116666666,16.4805,19.4686666666,14.71,5.01358333333,9.97803124999,20.31875,4.30708333333,21.8219166667,16.3698333333,5.13625,7.60891666667
357.66,7.12983333333,16.6622222222,19.5281666667,14.6820833333,5.0285,9.94898958332,20.3764166667,4.19466666667,21.9335833333,16.2665833333,5.09408333333,7.52833333333
358.02,7.05908333334,16.7829444445,19.48925,14.62225,4.89083333333,9.89683854168,20.2960833333,4.02708333333,22.0315833333,16.2404166666,5.01129166667,7.37441666667
358.38,7.24283333334,16.9614444444,19.6478333333,14.7911666667,5.1355,10.0319947917,20.4593333333,4.21658333333,22.2741666667,16.349,5.18758333334,7.54975
358.75,7.30291666667,17.0376111111,19.6496666667,14.8436666667,5.18425,10.0920572917,20.482,4.30466666666,22.3598333333,16.3694166667,5.223875,7.57566666667
359.11,7.50266666667,17.1798888889,19.7803333333,14.9440833333,5.3385,10.2412447917,20.5175,4.51216666667,22.5135833333,16.48375,5.37783333333,7.77
359.48,7.54349999999,17.2762222222,19.8595,15.0101666667,5.33483333333,10.275453125,20.5753333333,4.448,22.59275,16.5245833334,5.40654166667,7.79691666667
359.84,7.83033333333,17.5106666667,20.0191666667,15.2588333333,5.52458333333,10.43715625,20.7426666667,4.66891666666,22.825,16.6935,5.64754166667,7.926
360.20,7.75258333333,17.4900555555,19.9574166666,15.2708333333,5.52783333333,10.4292395833,20.6063333333,4.58166666666,22.8719166667,16.5330833333,5.65054166667,7.8685
360.57,7.63574999999,17.4878333333,19.9005833333,15.2254166667,5.36458333333,10.3036875,20.5674166667,4.45641666667,22.83875,16.4253333333,5.50979166667,7.79233333333
360.93,7.66958333333,17.5387222222,20.0479166666,15.2911666667,5.32608333333,10.3430625,20.62375,4.45791666667,22.96325,16.4660833333,5.55129166666,7.821
361.29,7.30800000001,17.3417777778,19.7388333333,14.9795,4.95,9.98166145834,20.3676666667,4.08716666667,22.7421666667,16.0798333333,5.16204166666,7.44775
361.66,7.36283333334,17.3236666667,19.8086666667,15.076,5.022,9.99494270833,20.4154166666,4.14483333333,22.8011666667,16.16575,5.27595833333,7.55716666667
362.02,7.55541666667,17.4583333333,20.061,15.2808333333,5.19616666667,10.1113541667,20.5841666667,4.30625,22.9176666667,16.242,5.348875,7.66875
362.39,7.53841666666,17.4158888889,20.0043333333,15.2424166667,5.19425,10.092375,20.5425,4.27866666667,22.8515833333,16.17725,5.354125,7.61991666667
362.75,7.62366666667,17.6452222222,20.1735,15.38825,5.31258333334,10.2100572917,20.679,4.39508333334,23.0619166667,16.2559166667,5.45966666667,7.78166666667
363.11,7.46341666666,17.6870555555,20.0699166667,15.3515833333,5.20525,10.16453125,20.601,4.23516666667,23.0119166667,16.1039166667,5.3355,7.69466666667
363.48,7.59616666667,17.8217777778,20.1156666667,15.54025,5.40041666667,10.3107395833,20.70375,4.44816666667,23.1451666667,16.1319166666,5.47508333333,7.86158333333
363.84,7.43741666667,17.7968888889,20.03575,15.4206666667,5.28525,10.2266145833,20.61325,4.36058333334,23.0765,15.9851666667,5.3595,7.74225
364.20,7.47925000001,17.871,20.02775,15.4981666667,5.3045,10.2565104167,20.6288333333,4.32891666667,23.0463333333,16.0210833333,5.321,7.78483333334
364.57,7.58624999999,17.9651111111,20.0875,15.6505,5.44625,10.35653125,20.6579166667,4.44333333333,23.198,16.0156666667,5.45295833333,7.82658333333
364.93,7.58899999999,18.0055,19.8959166667,15.6411666667,5.39991666667,10.25403125,20.5939166666,4.48133333333,23.17225,15.9315833333,5.413125,7.74366666667
365.29,7.70774999999,18.0112777778,19.88825,15.6129166667,5.47191666667,10.3040625,20.58725,4.51266666666,23.2579166667,16.0396666667,5.45266666667,7.82908333333
365.66,7.67366666667,18.0702222222,19.79925,15.4939166667,5.307,10.23415625,20.3861666667,4.448,23.1893333333,15.8603333333,5.28541666667,7.6925
366.02,7.68166666668,18.1947777778,19.7516666666,15.549,5.30141666667,10.2424270833,20.45325,4.42075,23.2618333333,15.87,5.36783333333,7.8035
