wavelength,Back_HemFlam,Belly_HemFlam,Breast_HemFlam,Crissum_HemFlam,Crown_HemFlam,DorTail_HemFlam,Patch10_HemFlam,Rump_HemFlam,Throat_HemFlam,WingTip_HemFlam
401.44,3.5156,42.4075333333,26.4321333333,8.12113333333,2.48706666667,5.48426666667,29.7656,5.0582,4.495,5.17946666667
401.80,3.47533333333,42.4611333333,26.4008,8.01719999999,2.44866666667,5.43706666667,29.7288,4.9584,4.4286,5.13946666667
402.16,3.51126666667,42.5392333333,26.4273333333,7.99986666666,2.4568,5.44293333333,29.7662666667,4.94606666667,4.41346666667,5.14
402.52,3.5332,42.5653,26.4256,7.97253333333,2.48213333333,5.47453333333,29.7900666667,4.9114,4.41813333333,5.15726666667
402.88,3.5576,42.6753666667,26.5006666667,7.95026666666,2.50966666667,5.49373333333,29.8845333333,4.90113333334,4.41093333333,5.17693333333
403.24,3.54406666667,42.7414333333,26.51,7.919,2.5032,5.48946666667,29.9248,4.87366666667,4.38606666667,5.16746666666
403.60,3.56206666667,42.7933666667,26.5432666667,7.8742,2.49666666667,5.48153333333,29.9754,4.86886666667,4.37106666667,5.1516
403.95,3.59293333333,42.8768333333,26.6054666667,7.87640000001,2.50746666667,5.51593333333,30.0214,4.87933333333,4.39506666666,5.17333333333
404.31,3.5946,42.9298,26.6204,7.83146666667,2.50246666667,5.5228,30.0672666667,4.8564,4.37786666667,5.16933333333
404.67,3.6296,43.0246666667,26.6812,7.82986666667,2.52713333333,5.55393333333,30.1482666667,4.843,4.37833333334,5.19353333333
405.03,3.64993333333,43.1036,26.7119333333,7.84826666667,2.57133333333,5.5882,30.2138,4.86213333333,4.4138,5.23093333333
405.39,3.64706666666,43.1848333333,26.7502666667,7.8324,2.5834,5.60086666667,30.2661333333,4.84473333333,4.42406666667,5.2418
405.75,3.64853333333,43.2170666667,26.7741333334,7.80926666667,2.57766666667,5.59813333334,30.2904666667,4.82326666667,4.4086,5.234
406.11,3.6022,43.2822333333,26.7859333333,7.76913333333,2.55413333333,5.58066666667,30.3175333333,4.7748,4.36866666667,5.2132
406.47,3.5928,43.3660333333,26.8418666667,7.76446666667,2.55326666667,5.58233333333,30.3716666667,4.75266666667,4.34946666667,5.2216
406.83,3.61286666667,43.4365,26.8568,7.78260000001,2.56786666667,5.58973333333,30.4136666667,4.77766666667,4.35786666667,5.23013333333
407.19,3.61726666667,43.5713333333,26.9245333333,7.77346666667,2.577,5.60066666667,30.4945333333,4.765,4.35126666667,5.23626666666
407.55,3.625,43.6922333334,26.974,7.79660000001,2.59786666667,5.6158,30.5441333333,4.77573333333,4.3678,5.26466666667
407.90,3.629,43.7628666667,26.9996,7.7952,2.60246666667,5.61206666666,30.5744666667,4.75546666667,4.34606666666,5.26566666667
408.26,3.63426666667,43.8630666667,27.0122,7.79459999999,2.6182,5.6172,30.6111333333,4.75013333333,4.338,5.2634
408.62,3.59926666667,43.8098666667,26.9422,7.73613333333,2.58813333333,5.586,30.5095333333,4.705,4.28993333333,5.21273333333
408.98,3.60273333334,43.8855,26.9796,7.72666666666,2.587,5.5896,30.5185333333,4.698,4.27826666667,5.21333333333
409.34,3.61326666667,43.9652666667,27.0006666667,7.74019999999,2.60026666667,5.58786666667,30.5422666667,4.70933333333,4.26053333333,5.20586666667
409.70,3.64113333333,44.0771,27.0312,7.76333333334,2.61646666667,5.6024,30.6264,4.71753333334,4.28006666667,5.21906666667
410.06,3.66286666667,44.1451666667,27.0372,7.78319999999,2.6366,5.60693333333,30.6691333333,4.722,4.30166666667,5.2206
410.42,3.67193333333,44.2436,27.0538666667,7.78633333333,2.636,5.58606666667,30.7262,4.73146666667,4.2898,5.21373333333
410.77,3.67066666667,44.3074333333,27.0813333333,7.78113333334,2.64273333333,5.60353333333,30.7454,4.7146,4.29626666667,5.22813333333
411.13,3.65133333333,44.3472333333,27.0627333334,7.75486666667,2.6316,5.59166666667,30.7377333333,4.6928,4.2894,5.22153333333
411.49,3.67846666667,44.423,27.1269333333,7.7738,2.65393333334,5.60993333333,30.8070666667,4.69333333333,4.2994,5.25166666667
411.85,3.75273333333,44.5673,27.2198666666,7.83513333334,2.72186666667,5.6732,30.9372,4.7514,4.36893333333,5.32766666667
412.21,3.80606666667,44.6946333333,27.3158,7.87933333334,2.76146666667,5.705,31.0198,4.78833333333,4.4054,5.36513333333
412.57,3.85106666667,44.8471,27.4088666667,7.91553333333,2.80586666667,5.7444,31.1412,4.81746666667,4.4386,5.40773333333
412.92,3.86726666667,44.9486,27.4314666667,7.92873333333,2.8284,5.7774,31.1796666667,4.80693333333,4.4524,5.43213333333
413.28,3.89226666667,45.0271,27.4901333333,7.92353333333,2.8442,5.8004,31.2448,4.7976,4.46973333333,5.46093333333
413.64,3.90793333333,45.0866,27.5338666667,7.92786666667,2.8788,5.82153333333,31.259,4.8146,4.48266666667,5.4902
414.00,3.91126666667,45.1186666667,27.5525333333,7.90386666667,2.8902,5.83013333333,31.2427333333,4.78853333333,4.47713333333,5.49886666667
414.36,3.9404,45.2297,27.6478666667,7.89973333333,2.91733333333,5.87166666667,31.2884666666,4.77633333333,4.49766666667,5.53213333333
414.72,3.92733333333,45.2585333333,27.6598666667,7.85419999999,2.90773333333,5.83993333333,31.2788,4.73813333333,4.46586666667,5.5082
415.07,3.96033333333,45.3160333333,27.6948,7.8428,2.92866666667,5.85526666667,31.2935333333,4.73246666667,4.46886666666,5.5252
415.43,3.91886666667,45.3254333333,27.6625333333,7.76086666666,2.8952,5.82153333333,31.2585333333,4.6692,4.41426666667,5.48146666667
415.79,3.88533333333,45.3656333333,27.6658666667,7.68873333333,2.87473333333,5.7968,31.2690666666,4.61853333333,4.3736,5.45513333334
416.15,3.8482,45.3774,27.6534666667,7.61746666667,2.83806666667,5.7798,31.2688666667,4.5532,4.3386,5.4464
416.51,3.8382,45.3949,27.6313333333,7.55966666667,2.8224,5.7596,31.2602666667,4.50133333333,4.3106,5.43766666667
416.86,3.85346666667,45.3985333333,27.6403333333,7.52273333333,2.83913333333,5.77286666667,31.2736666667,4.48513333333,4.30513333333,5.4444
417.22,3.8296,45.3824666667,27.613,7.45853333334,2.81993333333,5.7526,31.2351333333,4.43613333333,4.2646,5.42006666667
417.58,3.8354,45.4057333333,27.6147333333,7.40586666667,2.8202,5.75046666667,31.248,4.402,4.24213333333,5.4278
417.94,3.83266666667,45.4802666667,27.6349333333,7.35346666667,2.81966666667,5.75493333333,31.2842,4.3744,4.21193333333,5.42533333333
418.29,3.81513333334,45.4567,27.5894,7.27326666666,2.796,5.73346666667,31.2428,4.31873333333,4.162,5.39646666667
418.65,3.823,45.5161,27.6091333333,7.22540000001,2.7962,5.7426,31.2774666667,4.2918,4.14533333333,5.41653333333
419.01,3.80453333333,45.4971,27.5859333333,7.16360000001,2.78326666667,5.7312,31.2485333333,4.2522,4.10986666667,5.39366666667
419.37,3.8102,45.5027,27.5902666667,7.11913333333,2.79126666667,5.7364,31.2369333333,4.22313333333,4.08013333333,5.3894
419.73,3.7996,45.5227666667,27.6014,7.07153333333,2.78433333333,5.72706666667,31.231,4.18966666667,4.06033333334,5.38593333334
420.08,3.8024,45.5825666667,27.6213333333,7.02979999999,2.79306666667,5.72726666667,31.2566,4.16646666667,4.04493333333,5.38166666666
420.44,3.8118,45.6021333333,27.6554666667,7.00226666667,2.801,5.72773333333,31.2806666667,4.15286666667,4.0378,5.38846666667
420.80,3.8046,45.6006666667,27.6451333333,6.94679999999,2.79593333334,5.71253333333,31.2552666667,4.12226666667,4.01106666667,5.38446666667
