wavelength,Back_TanNivf,Belly_TanNivf,Breast_TanNivf,Crissum_TanNivf,Crown_TanNivf,DorTail_TanNivf,Patch10_TanNivf,Patch11_TanNivf,Patch12_TanNivf,Rump_TanNivf,Throat_TanNivf,WingTip_TanNivf
801.00,4.99177777778,34.7702222222,22.4576666667,34.2944444444,16.4948888889,9.16944444443,5.15833333333,10.5324444444,7.11011111111,22.1143333333,9.50277777777,11.6015555556
801.31,5.55555555556,35.9136111111,23.0024444444,34.8234444445,16.9315555555,9.64088888889,5.47066666667,11.0011111111,7.441,22.7022222222,10.1908888889,12.301
801.62,6.74577777778,36.6888888889,23.5924444444,34.7435555556,17.3515555555,10.391,6.32077777778,11.9612222222,8.271,23.5622222222,10.8911111111,13.1011111111
801.92,8.45105555555,38.0105555555,25.0525555555,35.9327777778,18.5185555555,11.3618888889,7.31688888889,13.5401111111,9.57533333333,25.0728888889,12.1447777778,14.3127777778
802.23,9.34,39.0710555555,25.926,36.9458888889,19.3585555555,12.4771111111,8.20677777778,14.8958888889,10.4836666667,26.0271111111,13.0844444444,15.3106666667
802.54,9.68261111112,39.8875,26.2774444445,37.7982222222,19.4367777778,13.1183333334,8.56099999999,15.4841111111,10.8962222222,26.4926666667,13.9581111111,15.535
802.84,9.85677777778,39.7235555556,26.1135555555,38.1258888889,19.5902222222,13.2104444445,8.69433333333,15.8216666667,11.4694444445,26.206,14.214,15.3814444445
803.15,10.555,39.9546111111,25.9704444444,38.1321111111,20.0905555556,13.2014444444,9.41188888888,16.5174444444,11.9555555555,26.506,14.2517777778,15.7038888889
803.46,9.14283333333,38.9576111111,24.5396666667,37.1004444445,18.6772222222,11.693,7.98933333333,14.9735555555,10.3281111111,25.4284444444,12.6454444444,14.423
803.76,9.41077777777,39.1529444444,24.5354444445,37.2624444444,19.0007777778,11.7448888889,7.98466666667,15.0083333333,10.6254444445,25.1901111111,12.875,14.7022222222
804.07,9.40344444444,39.5558333333,25.0721111111,37.859,19.6818888889,12.2318888889,7.95166666667,15.5618888889,10.7911111111,25.6377777778,13.2138888889,15.1455555556
804.38,8.73005555554,39.0131666667,24.6302222222,37.0477777778,19.4581111111,11.6724444445,7.21311111111,15.3762222222,9.99888888887,25.0946666667,12.7417777778,14.8472222222
804.68,7.7606111111,37.9583333333,23.5987777778,36.2698888889,18.4253333333,10.8744444445,6.39977777778,14.4455555556,8.97077777778,24.3842222222,11.8531111111,14.1981111111
804.99,8.79844444446,38.5104444444,24.882,37.2016666667,19.6152222222,11.8786666667,7.79977777778,15.4315555555,10.2806666667,24.9448888889,12.8875555556,15.442
805.30,9.02066666668,38.2723333333,24.9713333333,37.5038888889,20.0688888889,12.2191111111,8.34133333333,15.3025555555,10.5571111111,24.898,12.9298888889,15.4278888889
805.60,10.2453888889,38.9046111111,25.6648888889,38.116,21.4801111111,13.2653333333,9.75044444445,16.0484444444,11.8945555556,25.7367777778,13.956,16.2853333333
805.91,11.7985,39.8563333333,26.8254444445,38.6394444444,22.8637777778,14.1053333333,10.887,16.967,12.9852222222,26.9475555555,14.5737777778,17.2827777778
806.21,12.2312777778,40.6435555556,27.5321111111,38.6331111111,23.3577777778,14.6818888889,11.5101111111,17.4544444444,13.4743333333,27.7571111111,15.1625555556,17.8943333333
806.52,12.0739444444,41.0152777778,27.8755555556,39.0896666666,23.4784444444,14.8696666667,11.3171111111,16.95,13.5001111111,28.0301111111,15.5905555556,18.2371111111
806.83,13.5191666667,42.4446111111,29.4765555556,40.71,24.7728888889,16.0901111111,12.5701111111,18.7734444445,15.2536666667,29.4457777778,17.488,19.8958888889
807.13,13.1587222222,42.4800555556,29.6541111111,40.4635555556,24.4881111111,15.4352222222,12.2857777778,18.626,15.0296666667,29.6642222222,17.1915555555,19.6756666667
