wavelength,Back_SalFulm,Belly_SalFulm,Breast_SalFulm,Crissum_SalFulm,Crown_SalFulm,DorTail_SalFulm,Rump_SalFulm,Throat_SalFulm,WingTip_SalFulm
235.16,8.02919999999,0.64540289856,5.13376666667,3.01726666667,14.3553333333,1.67893333333,-0.24326666666,16.3258,25.1096
235.54,13.6603333333,6.58471884058,8.60926666667,8.87520000001,18.6503333333,4.8466,4.62173333332,19.8363666667,26.7688666666
235.91,4.58626666667,-5.10027246377,-3.33336666667,-0.709399999988,8.74706666668,-5.69733333333,-5.91013333334,11.8204333333,20.6382666667
236.29,-0.408133333333,-11.8387594203,-8.45796666667,-5.03393333334,2.63053333333,-7.12020000001,-10.2948,8.25389999999,13.6961666667
236.66,2.62619999999,-1.95689855072,-1.77786666667,2.50493333333,6.26266666667,1.7374,-2.30293333332,13.8384,18.3838
237.04,-0.1156,-1.65702318841,-3.33333333333,1.27173333333,4.39306666667,2.44693333333,-1.6184,11.8304666667,15.2023666667
237.41,-5.05306666667,-5.62163768117,-8.47136666667,-6.19960000001,-1.57113333335,-4.14013333334,-5.68986666667,5.0531,10.0425333333
237.79,-7.09673333333,-6.9397652174,-11.613,-8.04313333333,-3.26886666667,-4.516,-6.49473333334,3.4838,8.23649999999
238.17,-5.15333333333,-3.92280869565,-9.07953333335,-5.48059999999,-1.51313333333,-1.24756666667,-3.3536,4.27396666665,8.07759999998
238.54,1.76373333333,1.03526666666,-3.0688,1.83433333333,5.92586666667,5.83780000001,3.52739999999,9.34730000001,12.4515
238.92,2.37106666667,-0.694611594202,-2.88659999999,1.61500000001,5.0516,6.03093333333,-0.515466666672,8.05846666667,10.8761333333
239.29,9.61233333334,6.21916231884,4.7288,8.18606666667,11.0698,14.0466666667,6.97673333333,12.4651333333,17.2558666667
239.67,9.89353333333,5.99543768115,6.56006666667,7.82346666666,11.3545333333,16.1339,8.37139999999,12.9376,18.3561333333
240.04,13.9510666667,11.0994347826,12.3939333333,12.0720666667,14.4917333333,20.0515666667,13.0758666667,15.6241,20.1543666667
240.42,14.2823333333,13.1129884058,12.4999,12.0602666667,14.6296,19.7915666667,14.2824666667,14.7107666667,21.9793
240.79,15.0432666667,12.0704782609,12.1860666667,11.0172666667,13.7662,18.7012,12.7489333333,13.5283,20.6926
241.17,16.3128666667,13.7544811594,14.4228333333,13.1472,15.5866666667,20.1024666667,14.0036666667,14.6928666667,22.216
241.54,15.2083333333,12.5431652174,13.6459333333,13.1248666667,14.4792666667,21.1373333333,12.4132666667,14.7396,22.8819333333
241.92,13.8674,10.6832869565,13.0664666667,12.039,12.4111333333,19.3449333333,10.6473333333,12.4838333333,20.6798
242.29,13.2096,9.33184057972,11.2838333333,10.8894666667,10.5955333333,18.8322666667,9.11053333333,10.9745666667,20.0077666667
242.67,12.6697333333,9.0800057971,10.3474,9.53720000001,10.2162,18.0092333333,9.07406666667,9.10490000001,19.6372666667
243.05,12.1824,8.52723478261,9.78329999999,8.92373333333,9.38713333332,17.1599666667,10.598,8.66216666667,19.118
243.42,9.05080000001,4.72077971014,6.03646666667,5.3606,5.4822,12.5968,7.33473333335,5.42146666666,15.8163
243.80,5.14946666667,2.0855826087,2.01526666667,2.115,1.82386666667,9.76250000001,4.95013333333,2.04586666667,12.8580666667
244.17,4.83313333334,1.28255072464,0.628799999998,1.78786666667,1.69693333333,9.12129999999,4.15153333333,1.49996666667,12.3786333333
