wavelength,Back_CyaCaem,Belly_CyaCaem,Breast_CyaCaem,Crissum_CyaCaem,Crown_CyaCaem,DorTail_CyaCaem,Patch10_CyaCaem,Rump_CyaCaem,Throat_CyaCaem,WingTip_CyaCaem
822.67,12.1501333334,10.2846666667,10.6951333333,11.2807333333,9.50686666667,9.552,7.46446666667,12.6991333333,6.1776,8.63086666667
822.97,12.1347333333,10.4078666666,10.7578,11.3395333333,9.59066666667,9.55746666667,7.5318,12.7466,6.24313333333,8.75713333333
823.27,12.186,10.3844666667,10.7936,11.3143333333,9.72506666667,9.54866666667,7.5056,12.7699333333,6.2506,8.77120000001
823.58,12.1684,10.3676,10.8318666667,11.2706666667,9.7588,9.53313333334,7.52113333333,12.7445333333,6.1356,8.83039999999
823.88,12.1597333333,10.3468666667,10.8251333333,11.3132,9.69599999999,9.39753333334,7.5014,12.7095333333,6.0896,8.70606666666
824.18,11.7428666667,9.95053333334,10.5004666667,11.002,9.40926666667,9.00646666667,7.00666666667,12.3974666667,5.6404,8.26993333333
824.49,11.8972666666,10.2038,10.5582,11.0586666667,9.569,9.06186666667,7.02106666667,12.5782,5.703,8.29266666667
824.79,12.2091333334,10.5736666667,10.8303333333,11.3239333333,9.7876,9.35266666667,7.21093333333,12.8984,6.036,8.41406666666
825.09,12.2564,10.6573333333,11.0688666667,11.2482666667,9.86473333333,9.42820000001,7.30746666667,13.1014,6.05633333333,8.46999999999
825.39,11.7428666667,10.0656666667,10.7251333333,10.4774666667,9.54933333333,8.9556,6.82173333333,12.6410666667,5.49973333333,7.95886666667
825.70,11.6878,10.1361333333,10.8462666667,10.4301333333,9.46346666667,8.92219999999,6.7136,12.6514666667,5.6154,8.06486666667
826.00,11.7111333333,10.1568,10.9032666667,10.3764666666,9.26806666667,9.08380000001,6.68613333333,12.6352666667,5.59366666667,7.99806666667
826.30,11.4216,9.47693333333,10.3,9.81793333333,8.75546666666,8.6932,6.07306666666,11.9889333333,5.00746666667,7.2242
826.61,11.2948666667,9.42053333333,10.1296666667,9.70293333335,8.61966666667,8.69853333333,6.00033333333,11.8299333333,4.8908,6.98186666667
826.91,10.7933333333,8.75,9.53666666666,9.20666666666,8.12333333334,8.07999999999,5.28666666667,11.3433333333,4.47,6.33
827.21,10.4838666667,8.32153333333,8.94759999999,8.93059999999,7.95946666667,7.78339999999,5.02873333333,11.1470666667,4.18953333333,6.12506666667
827.51,10.5210666667,8.24173333333,8.90053333334,8.78186666667,7.84446666667,7.6564,4.994,11.0473333333,4.10873333333,6.1474
827.82,9.91186666666,7.5948,8.38993333333,8.26053333333,7.14513333333,7.08773333333,4.38566666667,10.6494666667,3.4466,5.59073333333
828.12,9.54853333333,7.3088,8.06793333333,7.9584,6.8026,6.88213333333,4.29086666667,10.3306666667,3.21433333333,5.4504
828.42,9.08833333333,6.573,7.12653333333,7.65973333333,6.0888,6.16606666667,3.7648,9.72733333334,2.7352,4.75786666667
828.72,9.69793333333,7.22333333333,7.35806666667,8.34533333333,6.3144,6.6666,4.3922,10.2629333333,3.3398,5.2142
829.02,9.47826666667,6.6334,6.77566666666,7.9468,5.91746666667,6.24466666667,4.2342,10.0284666667,2.717,4.6278
829.33,9.85653333333,6.6718,6.8598,8.37893333333,6.35333333333,6.42133333333,4.83946666667,10.5403333333,3.06973333333,5.03766666667
829.63,10.7498,7.6392,7.5512,9.32633333334,7.22306666667,7.24673333333,5.78793333333,11.8688,4.136,6.2274
829.93,11.3670666667,8.02080000001,7.87759999999,9.86333333333,7.4284,7.76046666667,6.51033333333,12.9035333334,4.961,6.85533333334
830.23,12.7055333333,9.24593333334,9.07540000001,10.8904,8.48853333333,9.20506666667,8.3386,13.7563333333,6.20266666666,8.24966666667
830.54,13.2972666667,9.6982,9.58326666668,11.2788,8.80020000001,9.51860000001,8.77166666666,13.556,6.42233333333,8.83626666667
830.84,13.7380666667,9.77186666666,9.84566666667,11.56,9.20533333334,10.0074,9.16846666666,13.7894666667,6.468,8.94046666666
831.14,14.9635333333,10.7789333333,10.8806666667,12.5182666667,10.6986666667,11.0772666667,10.1527333333,14.4978666667,7.74366666666,10.0436
831.44,14.8164666667,10.8236,10.9661333333,12.7700666667,10.6951333333,11.0801333333,10.2602666667,14.6666666667,7.41526666667,9.87513333334
831.74,14.2096666667,10.3934,10.7522666667,12.3119333333,10.1104,10.6625333333,9.64806666667,14.2167333333,6.81853333333,9.77239999999
832.04,13.2142,9.61639999999,10.2380666667,11.5277333333,9.29906666667,9.74206666667,8.47226666667,13.5780666667,5.91273333333,9.13353333334
832.35,13.6906666667,10.0184666667,10.7579333333,11.9594,9.77826666667,10.2834666667,8.55833333333,13.7584666667,6.75913333333,9.81520000001
832.65,13.0798,9.66866666667,10.2276,11.2821333333,8.9888,9.89926666667,7.70953333334,13.12,6.10193333333,9.37480000001
832.95,12.9954,10.0455333333,10.3942666667,11.322,8.94626666667,9.92213333335,7.7822,12.9418,5.81386666667,9.27326666665
833.25,12.3582666667,9.56593333332,10.0511333333,10.8422,8.58586666666,9.4948,7.24353333334,12.3227333333,5.2732,8.78006666667
833.55,11.8808,9.0558,9.677,10.4582666667,8.10926666667,9.00080000001,6.65660000001,12.1010666666,4.49773333333,8.44473333333
833.85,11.9912666667,9.3266,10.0554666667,10.7988,8.3948,9.58253333332,7.06273333333,12.3243333333,4.84186666667,8.77146666666
834.16,11.7428,9.38353333333,10.1137333333,10.8339333333,8.30553333333,9.49973333333,6.86973333333,12.2022,4.9842,8.65846666667
834.46,12.2287333333,9.94106666667,10.7510666667,11.6004,8.9446,10.1030666667,7.63866666666,12.8325333333,5.356,9.16053333334
834.76,12.5938,9.89680000001,10.6666666667,11.5622666667,9.33833333333,10.1534,7.56726666667,12.8504,5.33826666667,9.31826666667
835.06,12.9909333333,10.254,11.0885333333,11.9492,9.98959999999,10.6118,8.09213333333,13.1830666667,5.5782,9.62153333333
835.36,13.23,10.3099333333,11.1963333333,11.7564666667,10.2338666666,10.7286,8.52633333334,13.143,5.75853333333,9.72813333333
835.66,13.4786,10.4529333333,11.5505333333,11.8118,10.5518,11.2021333333,8.89653333333,13.5482,5.7724,9.81999999999
835.96,14.2919333333,11.1173333333,12.4806,12.4556,11.4161333333,12.0199333334,9.5052,14.4974,6.73513333333,10.6255333334
836.26,14.2262666667,10.0476,12.3925333333,11.9359333333,11.1792,12.1063333333,9.07966666666,14.2739333333,6.35293333333,10.2998666667
836.57,14.7683333333,10.2691333333,12.6981333333,12.2794666667,11.5545333333,12.5859333333,9.31239999999,14.7085333333,6.65926666667,10.6802
836.87,15.7356666667,11.3664,13.68,13.3575333333,12.4305333333,13.5106,10.6003333333,15.4534,7.90013333333,11.2938
837.17,16.9578666666,12.4728,14.8022,13.9330666667,13.5592666666,14.3504,11.0647333333,16.6885333333,9.70866666667,11.9860666667
837.47,18.6539333333,13.6061333333,15.598,15.1614666667,14.6611333333,15.3614,12.1780666667,17.9082,11.0504,13.2515333334
