wavelength,Back_ParCorm,Belly_ParCorm,Breast_ParCorm,Crissum_ParCorm,Crown_ParCorm,DorTail_ParCorm,Rump_ParCorm,Throat_ParCorm,WingTip_ParCorm
771.32,13.6279333333,57.7140666667,48.2215333333,51.0802666667,53.8379333333,8.4778,14.3398,46.4812,12.4823333333
771.63,13.8980666667,57.9696666667,48.3003333333,51.292,54.033,8.77133333334,14.6418666667,46.5868666667,12.8676
771.94,14.0610666666,58.2602,48.3784666667,51.415,54.457,9.08126666667,14.9226666667,46.8200666667,13.2831333334
772.25,14.7064666667,58.6548666667,48.9918666667,51.9320666667,54.7542666667,9.812,15.4901333333,47.4277333333,14.1391333333
772.56,14.7256,58.8106,49.0452666667,51.9525333333,54.8085333333,9.72553333334,15.4630666667,47.4243333333,14.0451333333
772.87,15.1826666667,59.2776666667,49.5210666667,52.6576,55.6021333333,10.0278666667,15.7362,48.219,14.577
773.18,15.116,59.3170666667,49.363,52.6799333333,55.8373333333,10.1226666667,15.6009333333,48.3251333333,14.7227333333
773.50,14.9242,59.2346,48.9418666667,52.643,55.6686666667,9.85753333333,15.1254,48.1974,14.1857333333
773.81,14.2891333333,58.8736666667,48.4383333333,52.0547333334,55.1446,9.2786,14.4444666667,47.6958,13.5829333333
774.12,14.1410666667,58.7501333333,48.3218666667,51.9545333333,54.9364,9.35339999999,14.2606666667,47.8182666667,13.4930666667
774.43,13.7221333333,58.8929333333,48.2439333333,52.1102666667,54.9136666667,9.01233333334,13.8130666667,47.7797333333,13.0010666667
774.74,13.6516666667,58.9684666667,48.1884,52.2508666666,55.0112,8.72660000001,13.6516666667,47.6471333333,12.9448666667
775.05,13.3852,59.1018,48.3300666667,52.3541333333,55.1815333333,8.43713333334,13.3236,47.5422,12.4870666667
775.36,13.0854,58.5675333333,48.0698666667,52.1162666667,54.5504666667,8.01093333333,12.8960666667,47.3812666667,12.1519333333
775.67,12.9988,58.8177333333,48.3092666667,52.373,54.6613333333,7.72653333333,12.724,47.4054,11.9588
775.98,13.6824,59.0250666667,48.4947333333,52.6416666667,55.0329333333,8.33980000001,13.5343333333,47.8557333333,12.5396
