wavelength,Back_GeoFulm,Belly_GeoFulm,Breast_GeoFulm,Crissum_GeoFulm,Crown_GeoFulm,DorTail_GeoFulm,Patch10_GeoFulm,Rump_GeoFulm,Throat_GeoFulm,WingTip_GeoFulm
238.92,20.2304666667,18.1205333333,16.9858666667,21.3652666667,23.6879333333,19.734,21.383,18.7766,19.7694,22.0922666667
239.29,23.1017333333,21.3271333333,19.5833333333,24.6142,26.3426666667,22.6543333333,24.2284,21.7284,22.4689333333,24.8301333333
239.67,21.2912,17.6726,16.7268,22.2372,23.1832,20.8108666667,21.6666666667,19.2042666667,19.5196,22.0119333333
240.04,18.2948666667,14.4793333333,13.4730666667,19.5108,20.5032,17.624,18.9936666667,16.5060666667,16.7156,19.5107333333
240.42,18.3120666667,15.2156,14.0862666667,18.7005333333,19.4900666667,18.0935333333,19.2714666667,16.1991333333,16.1748666667,18.7372
240.79,15.5486,12.84,11.979,15.8635333333,16.4618,16.4828666667,16.1678666667,13.5116666667,13.4698,16.5984
241.17,17.3812,14.0248666667,13.6838,17.2798666667,17.8792,17.9528666667,17.2060666667,15.3896,14.864,19.0872
241.54,16.7838,12.9696666667,13.5758,16.3877333333,16.6626666667,17.8748666667,16.4767333333,14.4079333333,13.9797333333,18.5454666667
241.92,16.5857333333,12.5319333334,13.6569333333,16.5239333333,16.8168,17.9808666667,16.501,14.551,13.8112,18.7746
242.29,16.7661333333,12.4862,13.9005333333,16.442,16.8250666667,17.8488666667,16.14,14.7993333333,13.8932666667,19.4181333333
242.67,17.5061333333,13.2696,14.6724,17.1094666667,17.6974666667,18.7036,16.9324,15.5651333333,14.5661333333,20.0991333333
243.05,16.1082666667,11.9424,13.2069333334,15.4338,16.2839333333,17.8011333333,15.4128,14.3308666667,12.5325333333,18.8266666667
243.42,15.3116,11.0033333333,12.6012666667,14.4244666667,15.4312666667,17.1066666667,15.0650666667,13.7907333333,11.3974,18.3104666667
243.80,15.6962,11.7124666667,13.633,15.1310666667,16.2138666667,17.4872666667,15.8800666667,14.9063333333,12.1962,19.6322
244.17,16.2992666667,12.4999333333,14.5604,16.0958,16.9948,18.1168,16.7912666667,15.3542666667,13.0969333333,19.9934666667
244.55,14.4961333333,10.4263333333,12.7908,14.677,15.5556666667,16.4598666666,15.0064,14.2829333333,11.6278666667,18.8308
244.92,14.8443333333,10.5210666667,12.9878666667,14.6036,15.8433333333,16.5526,15.2452,14.6716666667,12.2356666667,19.1922
245.30,13.0581333333,9.5042,11.6021333333,13.1155333333,14.5314666667,15.1962,13.9294,13.018,10.8627333333,17.707
245.67,12.8928666667,9.93826666667,11.7002666667,13.1668,14.3646666667,15.2028,13.9941333333,12.9465333333,10.8622666667,18.0285333333
246.05,12.0404666667,9.67193333335,11.1675333333,12.1369333334,13.2706,14.4235333333,12.7254666667,11.9778,10.111,17.1635333333
246.42,11.2858,8.93886666668,10.273,11.2594,12.2721333333,14.0555333333,11.9155333333,11.1097333333,9.33053333334,16.0017333333
246.79,11.1032,8.96160000001,10.1914,10.9942,11.9297333333,13.8293333333,11.5667333333,11.0184666667,9.17933333333,15.967
247.17,11.5348666667,9.58313333333,10.8246,11.6171333333,12.4359333333,14.2382,12.2339333333,11.4411333334,9.78493333333,16.4853333333
247.54,11.3661333333,9.65986666666,10.7772666667,11.5459333333,12.3780666667,14.2287333333,12.0958,11.3907333333,9.89959999999,16.3757333333
247.92,10.6480666667,9.04239999999,10.1976666667,10.8061333333,11.8102,13.6805333333,11.5009333333,10.6858666667,9.24526666667,15.5922
248.29,10.7116,8.97186666667,10.2281333333,10.6094666667,11.7024666667,13.8406,11.4912666667,10.6400666667,9.11466666666,15.4614666667
248.67,11.3620666667,9.86999999999,11.1396,11.3074,12.4401333333,14.6233333333,12.1560666667,11.1944,9.78446666667,16.1054666667
249.04,11.4866,9.95013333334,11.4545333333,11.4939333333,12.4706,14.7952,12.3458,11.3866666667,9.78613333333,16.3244666667
249.42,12.0557333333,10.4472666667,12.2248,11.9278666667,12.8147333333,15.3136666667,12.9687333334,11.9090666667,10.3758,16.8734666667
249.79,11.9204,10.2924,12.3541333333,11.6458,12.9433333333,15.1204,12.6925333333,11.8089333333,10.2526666667,16.5492666667
250.17,12.4141333333,10.3738,12.7362666667,11.9888,13.5438,15.4726,13.3504,12.1908,10.4768666667,16.9200666667
250.54,13.1278666667,11.6119333333,13.8858,12.7900666667,14.5844,16.0548666667,14.5843333333,12.9544,11.4201333333,17.5798666667
250.92,13.8895333333,12.1229333333,14.5778666667,13.4796,15.344,16.6178,15.5733333333,13.6066666667,11.9618666667,18.1454666667
251.29,14.1058666667,12.0901333333,14.6739333333,13.3947333333,15.2264,16.7101333333,15.9374666667,13.666,11.998,17.9381333333
251.66,14.0242,11.7617333333,14.5938,13.3174666667,15.3428666667,16.6402,16.155,13.6181333333,11.8143333333,18.0220666667
252.04,14.4909333333,12.4062,14.9302666667,13.5851333333,15.8359333333,17.1490666667,16.806,14.1425333333,12.4436666667,18.3707333333
252.41,14.8233333334,13.0886666667,14.981,13.6704666667,16.2262,17.0254666667,17.243,14.6382666667,13.0124666667,18.9505333333
252.79,15.4097333333,13.7375333333,15.3322666667,14.0643333333,16.8936666667,17.5137333333,18.3776666667,14.9722666667,13.5494,19.6457333333
253.16,15.2166,13.8167333333,15.1833333333,13.8278666667,17.0222,17.3611333333,18.3944666667,14.639,13.4444666667,19.1832666667
253.54,15.9222,14.8280666666,16.1703333333,14.5178,17.9525333333,18.2966,19.0524666667,15.3864,13.6943333333,19.5601333334
253.91,15.1037333333,14.1572,14.9519333333,13.5903333333,16.9091333333,17.4525333333,18.4341333333,14.8232666667,12.8016666667,18.8488
254.28,14.1066666666,13.7890666667,13.8669333333,12.6858,16.2648666667,16.5948666667,17.9496,13.9149333333,11.9004,18.1054
254.66,13.7762,13.4394666667,13.5828666667,12.9030666667,15.672,16.7695333333,17.5491333333,14.0254,11.7492666667,18.3722
255.03,14.9192666667,14.5068,14.668,13.7072666667,16.6216,17.8272666666,18.6718666667,15.1966,12.6692666666,19.1296666667
255.41,15.1107333333,15.1642666667,15.1242,13.7291333333,16.9415333334,17.9477333333,18.9738666667,15.5198666667,12.8638,19.6177333333
255.78,15.8134666667,15.9792,15.6752666667,13.9343333333,16.9257333333,18.1072,19.4679333333,15.8341333333,13.4368666667,20.2280666667
256.15,14.4643333333,14.4501333333,14.1500666667,12.2234,15.3228,16.5374666667,17.4659333333,13.9826666667,11.3787333333,18.5548666667
256.53,12.4499333333,12.7190666667,12.8365333333,10.5384666667,13.7957333333,15.2312,15.5488,12.1533333333,9.59286666667,16.9495333333
256.90,10.6809333333,11.0523333333,11.4954666667,9.30586666667,11.7302,13.6069333333,13.6788,10.7200666667,7.96986666667,15.1187333333
257.28,9.63366666665,10.0117333334,10.4136,8.52833333334,10.6146,12.9374,12.3345333333,10.1476666667,7.0568,14.5095333334
257.65,8.33713333334,8.17013333333,8.70266666666,7.1052,8.99506666667,11.459,10.7492666667,8.90113333334,6.1864,13.4796666667
258.02,8.63293333334,8.37546666666,9.16560000001,7.89626666667,9.52066666666,12.1436666667,11.2916,9.31206666667,6.8752,13.9368666667
258.40,8.92433333332,8.37039999999,9.27726666667,7.9566,9.15573333333,12.2558666667,11.0907333333,9.42886666666,7.21313333333,13.9972666667
258.77,7.90726666667,7.25706666667,8.14073333333,6.86686666667,8.23080000001,11.2158,9.97826666667,8.33753333333,6.10653333333,13.0464
259.15,6.86226666667,6.40313333333,7.2178,6.09486666667,7.30066666667,10.2844,8.94220000001,7.22353333334,5.4548,12.1838666667
