wavelength,Back_CamPaum,Belly_CamPaum,Breast_CamPaum,Crissum_CamPaum,Crown_CamPaum,DorTail_CamPaum,Rump_CamPaum,Throat_CamPaum,WingTip_CamPaum
790.23,20.8417222222,44.0650666667,21.1094666667,41.5257333333,13.9550666667,17.3816,21.6405333333,16.4083333333,20.4855666667
790.54,21.3066888889,45.1075333333,21.9945333333,42.5488,14.9171333333,17.4707666667,22.1381333333,17.0452666667,21.2050333333
790.85,21.6211111111,45.5943333333,22.7365333333,42.8325333333,15.5791333333,17.7771666667,22.4127333333,17.2282,21.3353333333
791.16,22.0625666667,46.0451333333,23.3980666667,43.1026666667,15.9804,18.3606,22.7869333333,17.2805333333,21.5825333333
791.47,21.7661777778,45.8162666667,23.2646666667,43.1115333333,15.9430666667,17.9316333333,22.7522,16.3444,21.7090333333
791.78,22.4679888889,46.0633333333,24.2852666667,43.3358666667,17.0574,18.7883666667,23.808,16.9892666667,22.1428
792.08,22.9622888889,46.4744666667,24.9266666667,44.0833333333,17.9451333333,19.1646333333,24.6916,17.7421333333,22.8287666667
792.39,22.7849222222,46.1675333333,24.8200666667,43.8220666667,18.0247333333,19.2913666667,24.5947333333,18.0622666667,22.8931666667
792.70,23.2830555556,47.0646,25.93,44.2418,19.043,19.8575333333,25.1235333334,18.7257333333,23.4595666667
793.01,23.1532222222,47.0503333333,26.2561333333,44.1706666667,18.8438666667,19.8865666667,25.3917333333,18.8005333333,23.6951666667
793.32,23.0414111111,47.178,26.411,44.0544,19.0639333333,20.1251,25.5183333333,18.6720666667,24.06
793.62,23.7391222222,47.2927333333,26.5972,44.2322666667,19.5184,20.7625,26.0033333333,18.7052,24.6014666667
793.93,23.3123555555,46.3669333333,26.0829333333,43.491,18.838,20.5098,25.8833333333,17.9546666667,24.1484
794.24,23.3613666667,46.021,25.6481333333,42.9974666667,18.4514666667,20.1784333333,25.5747333333,17.6588,24.2177
794.55,23.3824,45.8703333333,25.3374666667,42.7773333333,18.6656666667,20.2172,25.2805333333,17.683,24.1426666667
794.86,23.7627777778,46.6152,25.4782666667,43.1378666667,19.2488666667,21.2215666667,25.8950666667,18.3949333333,24.6217333333
795.16,23.6400555555,46.7242,25.2548666667,43.2992666667,18.8862666667,21.1267333333,25.2967333333,17.8300666667,24.4208666667
795.47,22.9924888889,46.0949333333,24.3746,42.5701333333,18.1065333333,20.4616,24.4636666666,16.8844,23.8159666667
795.78,23.5260111111,46.5006666667,24.5496666667,42.895,18.262,20.4332666667,24.7264666667,16.6122666667,23.9065666667
796.09,23.1878888889,45.6596666667,23.9038666667,42.4582,17.6402,19.6229,24.0692666667,16.1064666667,23.5399333333
796.40,23.0515111111,45.1426666667,23.6032,41.5344,17.6532666667,19.3362666667,23.7193333333,15.9879333333,22.8059666667
796.70,23.3549555556,45.3282666666,23.7002,41.7676666667,17.8478,19.5979666667,24.1798,16.2347333333,23.0387666667
797.01,24.0769333333,46.1026,24.2144666667,42.7344,18.5095333333,20.1586,24.8036666667,17.1048,23.7361333333
797.32,24.1834777778,46.5111333333,23.8155333333,42.9703333333,18.5068666667,20.1452333333,24.702,16.8844666667,23.8233666667
797.63,24.0021444445,46.2934,23.6652,42.6750666667,18.279,20.0699,24.5930666667,16.8376666667,23.4084333333
797.93,23.3857333333,45.6149333333,23.2392,41.8472666667,17.2265333333,19.5316333333,24.5737333333,16.1278666667,23.0562333333
798.24,23.1612333333,45.1153333333,23.2285333333,41.3154,16.6614666667,18.8837666667,24.0932666667,15.8908666667,22.5078666667
798.55,22.8056777778,44.1507333333,23.1079333333,40.4664,16.1058,18.391,23.8574,15.6341333333,22.1854666667
798.85,23.0537666667,44.1508666667,23.5168666667,40.2776666667,15.9854,18.4644333334,24.0984666667,15.4193333333,22.1749333333
799.16,22.6125111111,43.9602,23.3334,39.8873333333,15.3804666667,18.1083666667,23.8906666667,15.2946666667,22.0792333333
799.47,22.7593555556,44.1796,23.7686666667,39.9784,15.588,19.0942666667,24.4281333333,15.2311333333,22.3115666667
799.78,23.1669666667,44.6238666667,24.2298,40.827,15.5371333333,19.2643666667,25.0846666667,15.2427333333,23.3611
800.08,23.3342777778,44.6723333333,24.5706,41.0732666667,15.7627333333,19.4406,25.3786,15.5480666667,23.5736666667
800.39,22.2336777778,43.7252,23.7768666667,39.7596,14.8497333333,18.4952,24.5609333333,14.3977333333,22.7098
800.70,22.2372111111,43.5473333333,24.375,39.8143333333,14.8591333333,18.7162333333,24.7072666667,14.9663333333,23.0348666667
801.00,22.5334444445,44.226,24.771,40.7013333333,15.2811333333,19.2146,25.3102,15.0435333333,23.5740333333
801.31,23.3700333333,45.2172666667,25.861,41.6928666667,16.6086,20.2145,26.1044,16.0406666666,24.5768666667
801.62,24.2562111111,46.0994666667,26.8012666667,42.5966,17.5439333333,21.2017,27.0701333333,16.8538666666,25.3537333333
801.92,24.9777111111,47.0216,27.0332666667,43.1181333333,18.2490666667,21.7247333333,27.8824,17.7430666667,25.8434666667
802.23,26.3074222222,48.4476,28.3889333333,43.7434,19.3967333334,22.6977666667,28.8517333333,18.9162666667,27.0327333333
802.54,27.0387333333,48.7514666666,29.1814,44.1226,20.2532666667,23.2891,29.5406,19.4937333333,27.5764666667
802.84,26.9732555556,48.7404666667,29.0508666667,43.8490666667,20.1992,22.6800666667,29.3380666667,19.6777333333,27.4955333333
803.15,27.3457888889,49.2936,29.2877333333,44.1688666667,20.9030666667,23.2921666667,29.7274,20.0586666667,27.2442333333
803.46,26.7687777778,48.8592666667,28.5493333333,43.3302,19.7080666667,22.5737333333,28.9365333333,18.9872,26.3718
