wavelength,Back_PooHism,Belly_PooHism,Breast_PooHism,Crissum_PooHism,Crown_PooHism,DorTail_PooHism,Patch10_PooHism,Patch11_PooHism,Patch12_PooHism,Rump_PooHism,Throat_PooHism,WingTip_PooHism
765.39,14.3014666667,61.3804,6.98413333333,34.4184666667,11.0037333333,13.068,43.7906,9.33759999999,49.1906666667,16.7496,44.2217333333,16.0595333333
765.70,14.6354666667,61.7135333333,7.14146666667,34.761,11.2319333333,13.3800666667,44.1758,9.47833333334,49.7258,16.9425333334,44.5352666667,16.232
766.01,14.937,61.8469333333,7.3786,34.9775333333,11.4935333333,13.7581333333,44.3580666666,9.69060000001,50.1242666667,17.1292666667,44.6857333333,16.5459333333
766.32,15.0450666667,62.0821333333,7.60813333332,35.2498666666,11.6866,14.0013333333,44.6347333333,9.84653333333,50.7505333333,17.3504666667,44.9306666667,16.8221333333
766.64,15.0399333333,62.0163333333,7.67386666666,35.3126,11.654,14.0502666667,44.6735333333,9.79746666667,50.9955333333,17.3036666666,44.9990666667,16.9141333334
766.95,14.9252666667,61.9312,7.57446666667,35.3091333333,11.4996666667,13.8490666667,44.443,9.72293333334,51.1604666667,17.1610666667,44.8979333333,16.7956
767.26,14.7844666666,61.9726,7.70786666666,35.1862666667,11.4889333333,13.7097333333,44.3763333333,9.6406,51.2134666667,17.0893333333,44.7465333333,16.7318666667
767.57,14.7996666667,62.1322,7.69673333334,35.2820666667,11.4174,13.7370666667,44.5346666667,9.56239999999,51.568,17.1500666667,44.6896666667,16.7638
767.88,14.5429333333,62.0222666667,7.39573333333,35.1116,11.1193333333,13.5070666667,44.324,9.36586666667,51.8822,16.9713333333,44.5789333333,16.4907333333
768.20,14.7217333333,62.1358,7.71026666666,35.4067333333,11.3386666667,13.8402666667,44.4012666667,9.57526666667,52.2178666667,17.2534,44.6302666666,16.7626
768.51,14.2308,61.6049333333,7.35760000001,34.8646666667,10.971,13.3927333333,43.8224,9.14053333333,51.7567333333,16.7426,44.0265333333,16.3722
