wavelength,Back_SalAlbf,Belly_SalAlbf,Breast_SalAlbf,Crissum_SalAlbf,Crown_SalAlbf,DorTail_SalAlbf,Patch10_SalAlbf,Patch11_SalAlbf,Rump_SalAlbf,Throat_SalAlbf,WingTip_SalAlbf
779.40,16.1501333334,53.3454666667,33.8983333334,52.4656,14.1808,22.5343333333,17.054,32.1591333333,19.9717333333,47.627,24.4632666667
779.71,16.8517333333,54.1881333333,34.6814666667,53.6212,14.8088666667,23.0416,17.7558666667,32.9100666667,20.7439333334,48.1628,25.0802
780.02,17.1264,54.1043333333,34.962,53.659,15.0979333333,23.2488,17.9386666667,32.8881333333,21.0308666667,48.3528666667,25.2359333333
780.33,17.0833333333,54.0168,34.9917333334,53.3792,14.9541333333,23.1999333333,17.8292,32.7624,21.1084,48.2334,25.2790666667
780.64,17.4677333333,54.3351333333,35.6795333333,53.8490666667,15.4513333333,23.7370666667,18.1484,32.9276,21.6402,48.6536,25.783
780.95,17.5669333333,54.4966666667,36.0042,54.0679333334,15.5966,23.8896,18.5223333333,33.1763333333,21.8812,48.7261333334,25.983
781.26,17.8814666667,54.5353333333,36.1381333333,54.2326666667,15.8056,24.2156666667,18.8107333333,33.5082,22.0759333333,48.6957333333,26.3086666667
781.57,18.0059333333,54.1496,36.2585333333,53.7500666667,16.1266,24.3494,19.1496,33.329,22.2788666667,48.6734,26.1989333333
781.88,17.9500666667,53.7391333333,35.9727333333,53.5341333334,16.0281333333,23.9802666667,19.1117333333,33.4701333333,22.2764,48.3878,26.1584666667
782.19,17.9641333333,54.2333333333,35.9195333333,54.0366,15.8539333333,24.1459333333,19.1960666667,33.6564666667,22.5119333333,48.5408666667,26.2472666667
782.50,17.9528,54.3524666667,36.0748,54.6150666667,15.7142666667,24.1790666667,19.2879333333,33.6716,22.4788,48.7584,26.2038
782.81,17.6494,54.3522,35.7835333333,54.2166,15.0904666667,23.8859333333,18.9221333333,33.0298666667,21.9701333333,48.6865333333,25.6748666667
783.12,17.8308666667,54.3155333333,35.9436666667,54.0016666667,15.1568666667,24.1564,19.177,32.9468,22.0464,49.1951333333,25.7798666667
783.43,18.2334,55.165,36.425,54.6536666667,15.2719333333,24.463,19.6419333333,33.1614,22.2827333333,49.7396666667,26.3041333333
783.74,18.7822666667,55.9156666667,36.9108,55.2997333333,15.6124666667,24.7524666667,19.9242,33.4517333333,22.3453333333,50.2628666667,26.6428666667
784.05,18.8776666667,55.9376,36.7194666667,55.3716666667,15.4820666667,24.6378666667,19.9904,33.4964666667,22.1727333333,50.5708666667,26.2973333333
784.36,18.5756,55.7752,36.6232,55.2762666667,15.3632666667,24.3943333334,19.7964,33.6434666666,21.9912,50.3536666667,26.0852
784.67,18.4190666667,55.7710666667,36.4416,55.1981333333,14.836,23.9696666667,19.2951333333,33.1472666667,21.6349333333,50.2008,25.5409333333
784.98,17.7778,55.5057333333,36.1484666667,55.2914666667,14.0757333333,23.5277333333,18.2612666667,32.7603333333,21.0364,50.0299333333,25.2166666667
785.29,17.7561333333,55.7615333333,36.4647333333,55.3378666667,14.4204,23.8794,18.4192666667,32.5654,21.1018666667,50.167,25.3203333333
785.60,18.1692,56.0473333333,37.0638666667,55.4454,15.1492666667,24.4213333333,18.7763333333,33.1556666667,21.5149333333,50.6044,25.7636
785.91,18.8783333333,56.6837333333,37.5625333333,55.6738,16.1059333333,25.1421333333,19.1987333333,33.916,22.151,50.8473333333,26.5112
786.22,19.15,57.1442,38.0229333333,55.7164666667,16.5284,25.6685333333,19.661,34.6226666667,22.5978666667,50.9981333333,27.0486666667
786.53,18.7858,56.5494666667,37.5715333333,55.293,16.3152,25.2273333333,19.2779333333,34.3506666667,22.2879333333,50.4078,26.4698
786.84,17.6627333333,55.5924,36.7518,54.387,15.367,24.3018,18.5323333333,33.6922666667,21.394,49.602,25.4337333333
787.14,16.9080666667,54.8182666667,35.9694,53.7486,14.5610666667,23.8682,18.0320666667,33.1436666667,20.7988666667,48.7610666667,24.8340666667
787.45,16.9482,55.2502,36.0366,53.9588,14.6738666667,24.1778,18.1411333334,33.6685333333,20.9874666667,49.0572,25.2994
787.76,17.4212,55.6368666667,36.4003333333,54.3454,15.1088,24.6782,18.5263333333,33.8527333333,21.1894666666,49.6270666667,25.6102666667
788.07,17.6074666667,55.7041333333,36.7169333333,54.4072,15.8130666667,25.2040666667,19.1356666667,34.333,21.5892,49.8494666667,26.1034
788.38,17.9948,55.994,36.7274,54.4444,16.0112,25.4383333333,19.6441333333,34.7874,21.7752666667,49.9912,26.2325333333
788.69,18.3697333333,55.8194666667,36.6196,54.2619333333,16.1316666667,25.7382,19.9186666667,35.1004666667,21.8358,49.7218666667,26.2172
789.00,19.0616,56.0715333333,37.3982,54.7752,17.074,26.4321333333,20.7336666667,35.6023333333,22.6444,50.0789333333,27.0121333333
789.31,18.8853333333,55.8436,37.425,54.9060666667,16.9972,26.105,20.8338666666,35.4461333333,22.5146,50.1188666667,27.1074
789.62,18.5031333333,55.6472666667,36.9841333333,55.1676666667,16.7044666667,25.5562,20.453,35.0743333333,22.1676,49.9888666667,26.7954
789.92,18.2452666667,55.5075333333,36.5267333333,55.0068666667,16.4771333333,25.4759333333,20.1308666666,34.9526,21.8763333333,49.3956,26.7478
790.23,19.1525333333,55.3392,36.6104,55.0283333333,17.3361333333,26.1168,20.7348,35.2534666667,22.6188,49.2494666667,27.2976666667
790.54,19.668,55.4387333333,36.6984,55.1160666667,17.8946666667,26.4029333333,21.0459333333,35.5525333333,23.0650666667,49.3450666667,27.5534666667
790.85,19.1957333333,54.8219333333,36.3754,54.6418,17.2307333333,26.0194,20.6610666667,34.8080666667,22.6166666667,48.835,27.0596666667
791.16,19.548,54.7834,36.6336666667,54.8398,17.4058666667,26.1628666667,20.8191333333,34.7176666667,22.9332,49.0960666666,27.1610666667
791.47,19.3786,54.7447333333,36.315,54.4074666667,16.9942666667,25.8334,20.3661333333,34.2004,22.5771333333,49.1522,26.8256
791.78,18.7600666667,54.3399333333,36.1244,54.0578,16.6690666667,25.3683333333,19.9952666667,33.7806666667,22.2708,48.6165333333,26.6084666667
792.08,18.185,53.7389333333,35.7566666667,53.5458666667,16.0781333333,24.5549333333,19.3521333333,33.2392,21.9732666667,48.2344,26.2116
792.39,17.1436,53.2222,34.8424,53.0861333333,14.9382666667,23.4974666667,18.1882,32.1826666667,20.8782666667,47.5397333333,25.3041333333
792.70,16.7838,53.1803333333,34.6635333333,52.9050666667,14.5514666666,23.4912666667,17.8746,32.1610666667,20.9172666667,47.3242,24.8674666667
793.01,17.6831333333,53.4878,35.6601333333,53.0992666667,15.8496,24.5939333334,18.8192,32.9396,21.8635333333,47.4789333333,25.8843333333
793.32,18.6126666667,54.3752666667,37.2552,54.0396,16.9396666667,25.5446666667,20.0100666667,34.1198,22.8750666667,48.6302,27.0172666667
793.62,18.7598666667,54.9683333333,37.9599333333,54.4114666667,16.9678,25.9731333333,20.0303333333,34.4013333333,22.9460666667,48.8837333334,27.269
793.93,18.9634666667,55.0792666667,38.2792,54.5561333333,17.263,26.3498666667,20.2515333333,34.2842666667,23.1999333333,49.2076,27.4464666667
794.24,19.2610666667,55.2759333333,38.2073333333,54.6817333333,17.5430666667,26.3769333333,20.6142,34.7116666667,23.6104666667,49.2984,27.7352666667
794.55,18.9012666667,55.3141333333,37.7927333333,54.2892,17.1372666667,26.2676666667,20.7834666667,34.8458666667,23.3899333333,49.1106666667,27.5634666667
794.86,18.8457333334,55.4414,37.8382,54.4975333333,17.1288666667,26.2068666667,20.8363333333,35.285,23.4287333333,49.1123333333,27.4884
795.16,18.9578666667,55.4906666667,37.7016,54.3120666667,17.044,26.4279333333,20.7791333333,35.2083333333,23.3795333333,48.9603333334,27.3582666667
795.47,19.8013333333,56.3905333333,38.5319333333,55.0242666667,17.907,27.3061333333,21.4778,35.7218666667,24.0116666667,49.5349333333,27.8197333333
795.78,19.8424,56.148,38.2795333333,54.6236666667,17.6440666667,27.2736666667,21.2664,35.6749333333,23.9904666667,49.1278,27.5986
796.09,20.3565333333,56.555,38.6552666667,55.1248666667,18.2561333333,27.7120666667,21.6014,36.0372666667,24.3384,49.665,28.1396666667
796.40,19.7754666667,56.2704,38.1616,54.9093333333,17.5691333333,27.2732,20.9597333333,35.6494666667,23.9588,49.2788666667,27.383
796.70,19.0706666667,55.5618,37.2214,53.9686666667,16.9843333334,26.6429333333,20.2464666667,34.803,23.5182,48.4495333333,26.5434
797.01,18.8904,55.6187333333,37.0176,53.7127333334,16.9273333334,26.5575333333,20.1945333333,34.7984,23.5655333333,48.5964666667,26.3489333334
797.32,19.7216666667,56.0413333333,37.8674666667,54.1543333333,18.0136,27.4026,21.288,35.7159333333,24.5908,49.0870666667,27.2660666667
797.63,20.1816,56.3537333333,38.5329333333,54.7908666667,18.681,27.8566666667,21.5484,36.1624,25.0322,49.5054666667,27.6034
797.93,20.0487333333,56.7664,38.7048666667,54.9987333333,18.6803333333,27.889,21.2904666667,35.9824,25.0597333333,49.2622,27.6892666667
798.24,20.1336666667,57.1762,38.7388,55.1088,18.7786,28.1603333334,21.6073333333,35.9001333333,25.4302666667,49.5994,28.0267333333
798.55,20.5502666667,57.4720666667,39.1178666667,55.4202,19.435,28.6742,22.2057333333,36.0844,26.0124,50.2352666667,28.5948
798.85,20.3558666666,57.4536,38.9624,55.4686,19.3734,28.6767333334,22.3258,36.4662666667,25.9248666667,50.2406,28.6816666667
799.16,20.1986,57.4942666667,39.0934,55.7169333333,19.4499333333,28.6734,22.6126666667,37.097,25.8772,50.5220666667,28.7548666667
799.47,18.9659333333,56.9133333333,38.4619333333,54.9286,18.4514,27.7214,21.9174,36.3261333333,24.8999333333,49.7531333333,27.5707333333
799.78,19.4250666667,57.0041333333,38.6761333333,55.0896,18.518,28.059,22.305,36.4715333333,25.2901333333,50.1002,27.885
800.08,19.9627333333,57.5878,39.0308,55.9212,19.1320666667,28.5250666667,22.6092,36.7678666667,25.7295333333,50.7186666667,28.3918666667
800.39,20.0804,57.6686,39.0382666667,56.288,19.5326,28.4340666667,22.7933333333,36.9648,25.8233333333,50.7656,28.6596666667
800.70,19.4999333333,57.8181333333,38.3676,56.2076666667,19.0053333333,27.7328666667,22.1269333334,36.9884,25.0618666667,50.393,28.1890666667
801.00,19.0664,57.1664666667,37.754,55.261,18.6875333333,27.139,21.4826666667,36.2164,24.3108,49.6484,27.6166666667
801.31,18.7029333333,56.0317333333,37.4444,54.6578,18.6535333333,26.7326666667,21.2420666667,35.8284666667,24.0561333333,49.0519333333,27.1448666667
801.62,18.5401333333,55.4371333333,37.2912666667,54.9208666667,18.5179333333,26.378,20.8992,35.5647333333,23.7968666667,48.5818,27.0496
801.92,18.7566666667,55.6456666666,37.2826666667,55.1056,18.5992,26.3515333333,20.8551333333,35.5836666667,23.8311333333,48.6188666667,27.1449333333
802.23,18.2310666667,55.8397333333,37.3322,55.4479333333,18.1561333333,25.9174666667,20.2074,35.2174666667,23.6646666667,48.9310666667,26.9374666667
802.54,18.2957333333,55.8001333333,37.0478,54.9914666667,18.0532,25.7192666667,19.9480666667,34.7256666667,23.7492666667,48.7349333333,26.5916
802.84,19.0816,55.9273333333,37.3136666667,55.0953333333,18.3536,26.32,20.2716,34.9392666667,24.2575333333,48.9543333333,27.0594666667
803.15,18.3478,55.4937333333,37.1404666667,54.3443333334,17.9028666667,25.7596666667,19.977,34.3731333333,23.3448,48.5096,26.6897333333
803.46,17.4126666667,55.1273333333,36.4948666667,53.9076666667,16.9034666667,24.9852,18.9460666667,33.6174,22.2557333333,47.8271333333,25.9029333333
803.76,16.6878666667,54.7623333333,36.0216666667,53.5938,15.9554,24.4748,18.2258,33.0428,21.7318666667,47.5871333333,25.1892666667
804.07,16.0413333333,53.9951333333,35.7135333333,53.4063333333,15.3430666667,24.1348,17.8080666667,32.1008666667,21.0806,47.4621333333,24.7115333333
804.38,16.3984666667,54.5704,36.2460666667,53.9061333333,15.7282666667,24.7470666667,18.629,32.8824,21.7611333333,47.8732666667,25.2346666667
804.68,17.1618,55.1148666667,36.4310666667,54.046,16.2378666667,25.133,18.9975333333,33.3694666667,21.9807333333,48.4964,25.8755333333
804.99,17.7154,55.9203333333,37.2257333333,54.5299333333,16.7663333333,25.8990666667,19.7402,34.1672666667,22.46,49.0601333333,26.3886666667
