wavelength,Back_OrcAbef,Belly_OrcAbef,Breast_OrcAbef,Crissum_OrcAbef,Crown_OrcAbef,DorTail_OrcAbef,Patch10_OrcAbef,Patch11_OrcAbef,Rump_OrcAbef,Throat_OrcAbef,WingTip_OrcAbef
377.63,5.23461904762,7.88133333333,6.52822222222,6.44966666667,4.78933333333,7.43255555555,8.02116666667,5.04422222222,5.07888888889,6.89888888889,7.04077777778
377.99,5.36566666667,7.97694444444,6.62711111111,6.53277777778,4.915,7.53311111111,8.08888888889,5.146,5.13722222222,7.0115,7.01733333333
378.35,5.39861904762,8.00994444445,6.65866666667,6.63111111111,4.92205555556,7.56655555555,8.12566666667,5.20288888889,5.18166666667,7.1025,7.01511111111
378.71,5.45208994709,8.09983333333,6.72955555556,6.66855555556,4.97238888889,7.60855555555,8.23394444445,5.24866666666,5.28855555555,7.13622222222,6.99666666667
379.07,5.5400952381,8.21416666667,6.802,6.74155555556,5.09216666667,7.65838888889,8.27405555555,5.34544444444,5.36633333333,7.21344444445,6.97955555555
379.44,5.59290299824,8.25233333333,6.80122222222,6.77555555556,5.17105555556,7.63022222222,8.29461111111,5.417,5.42788888889,7.21388888889,7.03188888889
379.80,5.62057671958,8.36322222222,6.85033333333,6.84777777778,5.17077777778,7.66216666667,8.30611111111,5.45077777778,5.48988888889,7.303,7.03422222222
380.16,5.53909347443,8.32411111111,6.87677777778,6.81544444444,5.12255555555,7.58088888889,8.22561111111,5.39866666667,5.46977777778,7.34266666667,6.938
380.52,5.38769488536,8.13672222222,6.76166666667,6.63788888889,5.04361111111,7.46905555556,8.056,5.32777777778,5.33022222222,7.19577777778,6.80344444445
380.88,5.29316578483,8.0095,6.66477777778,6.489,4.95533333334,7.34933333333,7.89344444444,5.21388888889,5.17844444444,7.06,6.70377777778
381.24,5.30092945326,8.03911111111,6.69266666667,6.509,5.035,7.41455555556,7.86805555556,5.23866666667,5.12377777778,7.09533333333,6.649
381.61,5.3094973545,8.09061111111,6.79933333333,6.54066666667,5.04844444444,7.40494444444,7.92811111111,5.20055555555,5.14655555556,7.14511111111,6.70822222222
381.97,5.30455379189,8.07127777778,6.81,6.56611111111,5.02433333333,7.36855555555,7.93755555556,5.14144444444,5.10811111111,7.11916666667,6.70433333333
382.33,5.32937742505,8.09416666667,6.81633333333,6.60855555556,5.08177777778,7.4045,7.95133333333,5.16311111111,5.14911111111,7.17005555556,6.67811111111
382.69,5.28405996473,8.11861111111,6.82266666667,6.58288888889,4.99333333333,7.32894444444,7.89961111111,5.09511111111,5.11344444445,7.137,6.66066666667
383.05,5.23958201058,8.06783333333,6.79511111111,6.53633333333,4.9015,7.28605555555,7.83055555556,5.04933333334,5.08766666667,7.12244444444,6.69722222222
383.41,5.10644091711,7.98583333333,6.64777777778,6.42722222222,4.7085,7.19355555555,7.65022222222,4.86044444445,4.91155555555,6.99905555556,6.55922222222
