wavelength,Back_RamCosf,Belly_RamCosf,Breast_RamCosf,Crissum_RamCosf,Crown_RamCosf,DorTail_RamCosf,Rump_RamCosf,Throat_RamCosf,WingTip_RamCosf
408.98,3.86475,7.04941666667,3.34075,4.92766666667,3.87066666666,3.4925,3.05191666667,13.9975833333,3.3865
409.34,3.86416666667,7.06791666667,3.353,4.94566666666,3.87,3.49783333333,3.076,14.0446666666,3.39541666667
409.70,3.82975,7.04975,3.31441666667,4.90725,3.8435,3.45266666667,3.04891666667,14.0355,3.34791666667
410.06,3.80291666666,7.03108333334,3.30125,4.88591666667,3.8155,3.42783333334,3.03075,14.0523333334,3.33291666667
410.42,3.83366666667,7.06083333333,3.33,4.91291666667,3.83183333333,3.43775,3.05358333333,14.0899166667,3.32991666667
410.77,3.80141666667,7.04416666666,3.2845,4.87175,3.78266666667,3.39725,3.00983333333,14.06025,3.28158333333
411.13,3.77725,7.03158333333,3.25191666667,4.85291666667,3.76933333334,3.3745,2.98475,14.0608333334,3.24516666666
411.49,3.74258333333,7.02641666666,3.23033333333,4.82733333333,3.73966666667,3.33508333333,2.96383333333,14.0410833334,3.21516666667
411.85,3.695,6.99666666667,3.18591666666,4.80391666666,3.70266666667,3.29966666666,2.91241666667,14.0375,3.15191666667
412.21,3.67158333333,6.99183333334,3.17925,4.79758333333,3.68833333334,3.292,2.89058333333,14.04175,3.14525
412.57,3.67975,7.0205,3.16816666667,4.80716666667,3.70716666667,3.28833333333,2.89225,14.0855833333,3.14491666666
412.92,3.63791666667,7.01516666667,3.15408333334,4.795,3.69708333333,3.25341666667,2.85733333334,14.0903333333,3.12758333333
413.28,3.63166666667,7.03941666667,3.15125,4.82266666666,3.70016666667,3.22975,2.83833333334,14.1011666667,3.10366666667
413.64,3.64641666667,7.06733333333,3.1645,4.84,3.72683333333,3.241,2.842,14.1448333334,3.10266666667
414.00,3.68783333333,7.13608333333,3.20466666667,4.90183333333,3.77091666667,3.28466666667,2.87075,14.1795,3.12666666667
414.36,3.71175,7.19716666666,3.247,4.95516666667,3.79016666667,3.31508333333,2.87983333333,14.2181666666,3.1595
414.72,3.79566666667,7.31575,3.34516666667,5.04741666667,3.88375,3.39791666667,2.96416666667,14.34175,3.24841666667
415.07,3.86591666667,7.40383333333,3.41833333333,5.11158333334,3.92933333333,3.451,3.02491666667,14.4180833333,3.31441666667
415.43,3.89658333334,7.439,3.43816666666,5.145,3.9585,3.46833333333,3.04691666667,14.4705,3.36058333333
415.79,3.92175,7.48933333333,3.47308333333,5.19233333334,3.99566666667,3.5005,3.08716666667,14.502,3.39766666667
416.15,3.94883333333,7.52183333333,3.49358333334,5.23116666667,4.01941666667,3.50541666667,3.09983333333,14.55725,3.41308333333
416.51,3.96875,7.55141666667,3.51666666666,5.26116666667,4.03616666667,3.52691666667,3.12275,14.5985833333,3.43733333333
416.86,4.0285,7.611,3.56133333333,5.31583333334,4.0605,3.58091666667,3.172,14.6713333334,3.49508333333
417.22,4.04091666667,7.647,3.59258333333,5.32616666667,4.05866666667,3.6175,3.19575,14.68375,3.51641666667
417.58,4.05641666667,7.67275,3.61683333334,5.36383333333,4.0625,3.6375,3.20975,14.71575,3.54691666667
417.94,4.06416666666,7.68425,3.62316666667,5.37216666667,4.05925,3.63216666667,3.2105,14.7495833333,3.53225
418.29,4.08708333333,7.70741666666,3.64433333333,5.39216666667,4.09141666667,3.64783333333,3.238,14.773,3.55133333334
418.65,4.08333333334,7.70183333333,3.63725,5.39208333333,4.08541666667,3.63825,3.22933333334,14.7816666667,3.55425
419.01,4.10141666667,7.71183333333,3.64625,5.4125,4.1045,3.65283333333,3.23375,14.8029166667,3.5525
419.37,4.12341666667,7.72866666667,3.67216666667,5.43991666667,4.11858333333,3.6775,3.249,14.832,3.55975
419.73,4.14141666667,7.74416666667,3.68991666667,5.46125,4.14491666667,3.6895,3.26616666666,14.8630833333,3.57233333333
420.08,4.15566666666,7.75708333334,3.70058333334,5.46958333333,4.15516666667,3.70725,3.288,14.8708333333,3.58841666667
420.44,4.16908333334,7.77416666667,3.71608333333,5.47908333333,4.17208333333,3.72725,3.29791666666,14.8826666667,3.59966666666
420.80,4.17616666667,7.77875,3.71966666666,5.486,4.19683333334,3.73983333333,3.30691666666,14.8846666667,3.60291666667
421.16,4.18908333333,7.78783333333,3.72525,5.49483333333,4.22791666667,3.75291666667,3.31583333334,14.91275,3.62875
421.51,4.17216666667,7.75483333333,3.69508333333,5.47125,4.22391666667,3.73975,3.2895,14.8874166667,3.61341666667
421.87,4.17391666666,7.74091666667,3.69241666667,5.46833333333,4.23875,3.75475,3.29491666667,14.8768333333,3.63891666667
422.23,4.1575,7.70208333333,3.6675,5.44825,4.21166666667,3.74541666667,3.27075,14.8716666667,3.63008333333
422.58,4.15141666666,7.68241666667,3.66641666667,5.43816666667,4.22016666667,3.75616666667,3.26766666667,14.8663333333,3.62466666667
422.94,4.12041666667,7.64116666667,3.63558333334,5.41058333333,4.20016666667,3.73833333333,3.24058333333,14.8435833333,3.61108333334
423.30,4.09941666667,7.59725,3.6185,5.38158333333,4.18933333333,3.725,3.22358333333,14.8224166666,3.60366666667
423.66,4.09891666666,7.57533333333,3.60966666666,5.36691666667,4.18708333333,3.73441666667,3.22141666667,14.8176666667,3.617
424.01,4.08858333334,7.54725,3.59833333333,5.34675,4.19666666667,3.73525,3.205,14.8096666667,3.61041666667
424.37,4.08166666667,7.52,3.58675,5.32841666667,4.196,3.74116666666,3.19658333333,14.80675,3.61283333333
424.73,4.05883333334,7.47133333334,3.5535,5.29841666667,4.17425,3.72125,3.16516666667,14.7854166667,3.59991666666
425.08,4.05616666667,7.43183333333,3.53891666667,5.27666666667,4.17041666667,3.72316666667,3.15641666667,14.7834166666,3.58641666667
425.44,4.06241666667,7.41925,3.54341666667,5.26175,4.17583333333,3.73516666667,3.16533333333,14.7990833333,3.60141666667
425.80,4.04733333333,7.39083333333,3.531,5.23483333333,4.17375,3.73258333333,3.15075,14.79175,3.592
426.16,4.048,7.37875,3.52258333334,5.2255,4.19825,3.73766666667,3.16258333334,14.7945,3.605
426.51,4.02991666666,7.33066666667,3.48883333334,5.19791666667,4.18591666667,3.72841666666,3.13158333334,14.7814166667,3.59691666667
426.87,4.039,7.3185,3.48975,5.18408333333,4.20208333333,3.73975,3.13158333334,14.7871666667,3.6205
427.23,4.03266666667,7.31391666666,3.46516666667,5.17416666667,4.21333333333,3.75308333333,3.11991666667,14.7929166667,3.62466666667
427.58,4.034,7.26975,3.44816666667,5.148,4.21841666667,3.75066666666,3.10325,14.7824166667,3.63058333333
427.94,4.03333333333,7.238,3.43125,5.12508333333,4.20766666667,3.75408333333,3.09508333333,14.7721666667,3.63583333333
428.30,4.02325,7.20333333334,3.40083333334,5.10516666667,4.21341666667,3.751,3.0735,14.7725,3.63825
428.65,4.047,7.21658333333,3.42991666667,5.11191666667,4.24616666667,3.78291666667,3.09566666667,14.81375,3.66875
429.01,4.04991666667,7.19508333333,3.42758333333,5.09991666667,4.252,3.78033333333,3.06833333333,14.8248333333,3.68608333333
429.37,4.06433333334,7.18883333333,3.4425,5.12191666667,4.28758333333,3.81475,3.08416666667,14.8585,3.71433333333
429.72,4.07558333333,7.178,3.42733333334,5.11025,4.28325,3.82183333333,3.08108333333,14.87375,3.7195
430.08,4.06533333333,7.1445,3.4275,5.07741666667,4.27641666666,3.81133333333,3.063,14.8728333333,3.71658333333
430.44,4.0815,7.16666666666,3.42583333333,5.08183333333,4.28366666667,3.81458333333,3.08375,14.89525,3.72858333333
430.79,4.05633333333,7.13183333333,3.40083333334,5.04633333333,4.25916666667,3.79025,3.06691666667,14.873,3.69775
431.15,4.07116666667,7.13416666667,3.40541666666,5.03566666666,4.26758333333,3.79308333334,3.068,14.8943333333,3.70625
431.50,4.05941666667,7.12525,3.39808333333,5.03358333333,4.26283333333,3.794,3.07108333333,14.9016666667,3.69808333333
431.86,4.08841666667,7.15783333333,3.42908333333,5.06966666667,4.3065,3.82875,3.0975,14.9463333333,3.72958333333
432.22,4.11391666667,7.17516666667,3.46633333333,5.089,4.32058333333,3.84508333333,3.12625,14.9618333333,3.74891666667
432.57,4.11191666667,7.16958333333,3.45841666667,5.08258333333,4.319,3.8555,3.13,14.9650833333,3.74308333333
432.93,4.09741666666,7.15691666667,3.4445,5.07191666666,4.30008333333,3.83083333333,3.12675,14.9455,3.72425
433.29,4.08983333333,7.15525,3.43975,5.064,4.28958333333,3.82716666667,3.11441666666,14.9384166667,3.70908333333
433.64,4.09291666667,7.15483333333,3.45225,5.0815,4.30933333334,3.82925,3.12633333333,14.9461666667,3.716
434.00,4.09558333333,7.17375,3.44991666667,5.09808333333,4.31008333333,3.83383333333,3.13016666667,14.9660833333,3.70616666667
434.35,4.11341666667,7.18275,3.48391666666,5.11891666667,4.34725,3.84566666667,3.14575,14.9903333333,3.72233333333
434.71,4.15541666667,7.22383333333,3.5265,5.16966666666,4.378,3.8855,3.18691666667,15.0498333333,3.7615
435.07,4.1655,7.23975,3.55433333333,5.19833333333,4.39608333333,3.9,3.20691666667,15.0694166666,3.77516666667
435.42,4.17716666667,7.27033333333,3.56241666667,5.203,4.39675,3.89358333333,3.20608333333,15.0963333333,3.76808333333
435.78,4.16083333333,7.265,3.54925,5.19091666667,4.372,3.85133333333,3.18933333334,15.1066666667,3.74808333333
436.13,4.15075,7.277,3.543,5.19975,4.36125,3.82941666667,3.18158333333,15.12775,3.74433333333
436.49,4.14475,7.28858333333,3.54791666667,5.20883333333,4.35866666667,3.80541666666,3.17216666666,15.1388333334,3.72858333333
436.84,4.16641666667,7.33558333333,3.56158333333,5.23566666667,4.37358333333,3.81983333333,3.18608333334,15.1760833334,3.74116666666
437.20,4.18366666667,7.38675,3.58133333333,5.25975,4.3895,3.80883333333,3.20308333333,15.2166666667,3.74391666667
437.56,4.20683333333,7.44891666667,3.61166666667,5.28833333334,4.40333333333,3.82325,3.22375,15.2628333333,3.76183333333
437.91,4.23008333334,7.491,3.64241666666,5.31708333333,4.42291666666,3.84383333333,3.23991666666,15.2989166667,3.7835
438.27,4.25858333334,7.55466666667,3.672,5.36391666667,4.43016666667,3.86175,3.26366666667,15.3550833333,3.81041666667
438.62,4.26391666667,7.5965,3.68008333333,5.38375,4.42758333333,3.85291666667,3.26366666666,15.3835,3.80941666667
438.98,4.26875,7.63333333333,3.6955,5.40725,4.432,3.84833333333,3.27216666667,15.4251666667,3.81291666667
439.33,4.27841666666,7.66791666667,3.72325,5.437,4.44758333334,3.85733333333,3.29091666667,15.4578333333,3.83008333333
439.69,4.27241666667,7.69108333333,3.73358333333,5.44833333333,4.43983333333,3.85391666667,3.28666666667,15.4595833333,3.82441666667
440.04,4.283,7.72925,3.75358333333,5.47325,4.459,3.86425,3.30108333333,15.48625,3.82108333333
440.40,4.28666666667,7.76066666667,3.76191666667,5.48883333333,4.46383333333,3.86016666667,3.30391666667,15.5058333334,3.83591666667
440.75,4.28683333333,7.786,3.77475,5.50208333333,4.46508333334,3.85458333333,3.3105,15.5333333334,3.82925
441.11,4.286,7.79508333333,3.77991666667,5.51983333333,4.45558333333,3.85041666667,3.30083333333,15.5488333333,3.825
441.47,4.30083333333,7.82225,3.7915,5.54633333333,4.45441666667,3.85391666667,3.30191666666,15.58975,3.83325
441.82,4.31158333333,7.84433333333,3.80716666667,5.56741666667,4.458,3.85291666667,3.30991666667,15.618,3.83825
