wavelength,Back_HemVerf,Belly_HemVerf,Breast_HemVerf,Crissum_HemVerf,Crown_HemVerf,DorTail_HemVerf,Rump_HemVerf,Throat_HemVerf,WingTip_HemVerf
394.96,9.46833333333,28.9666666666,19.48425,13.769,9.69749999999,7.32591666667,10.4348916667,6.43125,8.15141666666
395.32,9.47875,28.9959166666,19.4959166667,13.7755,9.68225,7.26116666666,10.4024916667,6.37583333333,8.08216666667
395.68,9.42475,29.0174166667,19.5026666667,13.7606666667,9.67016666666,7.21683333333,10.3822833333,6.3535,8.01375
396.04,9.45258333333,29.1235,19.58125,13.8071666667,9.70458333333,7.22308333333,10.3796166667,6.37383333333,8.02325
396.40,9.46558333334,29.1939166667,19.6279166667,13.8336666667,9.75333333334,7.20716666666,10.3480333333,6.36641666667,8.01966666667
396.76,9.49450000002,29.256,19.6829166667,13.91675,9.75608333335,7.20366666667,10.3527,6.38775,8.04391666667
397.12,9.48850000001,29.31775,19.7374166667,13.94475,9.81350000001,7.16475,10.3238916667,6.35616666667,8.04191666667
397.48,9.53291666667,29.3921666667,19.8455833333,13.9855833333,9.85633333334,7.17041666666,10.37225,6.41833333333,8.09266666667
397.84,9.49941666667,29.4483333333,19.80825,13.9615833333,9.83016666666,7.16483333334,10.3477416667,6.39516666667,8.08016666667
398.20,9.49766666668,29.5170833333,19.8408333333,13.9574166666,9.81158333335,7.12141666667,10.318,6.36266666667,8.1045
398.56,9.47133333334,29.5681666667,19.8463333333,13.9815,9.81683333331,7.11916666667,10.303275,6.33191666667,8.12908333333
398.92,9.53591666666,29.65,19.9408333333,14.08525,9.86241666667,7.15083333334,10.3553333333,6.3465,8.21091666666
399.28,9.53316666666,29.6596666667,19.93025,14.081,9.85275000001,7.18208333334,10.3612583333,6.35866666667,8.22983333333
399.64,9.52875000002,29.6524166667,19.96225,14.0873333333,9.85474999999,7.19883333333,10.3592083333,6.3315,8.22808333333
400.00,9.53883333333,29.6935,19.9998333333,14.1230833333,9.86358333334,7.20175,10.3516916666,6.33316666667,8.23933333333
400.36,9.61808333332,29.8061666667,20.1465833333,14.22275,9.97891666667,7.287,10.4739666667,6.41083333333,8.32083333333
400.72,9.58308333335,29.82575,20.171,14.21125,9.96300000002,7.29083333333,10.4844166667,6.38816666667,8.2945
401.08,9.60533333334,29.8455833333,20.1941666667,14.2178333334,9.97174999998,7.32958333333,10.5103416667,6.40141666667,8.30866666666
401.44,9.54366666667,29.80925,20.1146666667,14.1664166667,9.92533333332,7.28033333334,10.4483083333,6.30275,8.23616666667
401.80,9.53458333334,29.87225,20.1478333334,14.1595833333,9.93,7.28016666667,10.45095,6.28875,8.25308333333
