wavelength,Back_EmbDuif,Belly_EmbDuif,Breast_EmbDuif,Crissum_EmbDuif,Crown_EmbDuif,DorTail_EmbDuif,Patch10_EmbDuif,Patch11_EmbDuif,Rump_EmbDuif,Throat_EmbDuif,WingTip_EmbDuif
231.40,62.8986666667,44.9276666667,17.6813333333,58.8403333333,44.9273333333,57.681,60.29,88.406,49.1016,33.0436666667,84.9273333333
231.78,55.238,35.238,3.80966666667,44.4443333333,27.6186666667,56.5076666667,39.6826666667,83.8096666667,39.4284666667,17.143,73.9683333333
232.15,43.75,35.8333333333,-14.1666666667,42.5,12.0833333333,44.5833333333,19.1666666667,78.3333333333,30.9166666667,-1.25,65.4166666667
232.53,49.7776666667,19.5553333333,-22.2223333333,50.6666666667,-2.66666666667,37.778,17.7776666667,81.3333333333,29.9553333333,-16.4443333333,68.4443333333
232.90,51.9046666667,15.7143333333,-26.6666666667,44.762,-14.762,22.857,20.4763333333,80.9523333333,27.619,-14.762,76.1903333333
233.28,56.111,17.2223333333,-30.5556666667,35.0,-32.7776666667,15.5556666667,20.5553333333,86.6666666667,18.6668666667,-16.111,78.3333333333
233.66,56.0186666667,16.204,-14.3516666667,32.8706666667,-24.074,14.3516666667,31.0186666667,84.2593333333,28.0555333333,-12.037,72.6853333333
234.03,53.6796666667,31.6016666667,-1.18423789293e-15,44.5886666667,3.03033333333,39.8266666667,41.5583333333,99.567,35.9309333333,3.46333333333,80.5193333333
234.41,56.5786666667,43.421,-7.45633333333,46.0526666667,-9.21066666667,42.5436666667,50.4386666667,99.5613333333,41.5790666667,7.456,81.579
234.78,39.3333333333,42.0,-3.0,35.0,-14.3333333333,34.6666666667,40.3333333333,67.0,30.8,2.66666666667,58.0
235.16,24.9276666667,27.5363333333,-8.98566666667,25.507,-20.2896666667,28.9853333333,28.6956666667,51.0143333333,14.2608,-3.478,41.449
235.54,22.8206666667,21.7946666667,-7.949,22.3076666667,-16.6666666667,25.3843333333,24.8716666667,36.6666666667,11.3848,-1.02566666667,35.1283333333
235.91,13.534,19.0476666667,-16.5413333333,21.8043333333,-16.2906666667,16.792,30.326,29.8246666667,8.22046666667,-4.51133333333,29.8243333333
236.29,15.8733333333,13.8323333333,-11.338,24.263,-4.76166666667,18.1406666667,34.467,36.2813333333,13.0159333333,-1.134,36.0543333333
236.66,15.5416666667,20.2453333333,-5.52166666667,20.8586666667,1.63566666667,21.4723333333,32.7196666667,36.1963333333,13.4151333333,4.70333333333,34.5603333333
237.04,10.4033333333,15.2866666667,-13.8006666667,17.1976666667,2.76033333333,18.6836666667,28.2376666667,33.333,9.55433333333,4.88333333333,30.361
237.41,-0.704,6.57266666667,-28.8733333333,8.45066666667,-4.22533333333,12.676,22.5353333333,23.9436666667,1.73706666667,-6.338,21.5963333333
237.79,2.237,3.13166666667,-30.2016666667,6.264,-3.57966666667,15.4363333333,18.792,17.0023333333,-1.6108,-6.935,20.8053333333
238.17,4.338,-0.228333333333,-30.8216666667,5.023,-9.36066666667,13.0133333333,18.0366666667,16.6666666667,-0.410866666667,-12.1003333333,22.603
238.54,3.80333333333,-7.60633333333,-28.859,2.90833333333,-5.81666666667,14.094,13.8703333333,17.0023333333,0.8056,-9.17233333333,23.0426666667
238.92,3.60366666667,-15.5403333333,-37.838,3.60366666667,-10.8106666667,8.78366666667,15.3153333333,14.865,-1.98206666667,-12.838,21.3963333333
239.29,5.52033333333,-10.191,-33.5453333333,2.76033333333,-9.55433333333,11.465,16.7726666667,17.41,2.5054,-7.64333333333,27.8133333333
239.67,-3.13233333333,-20.5816666667,-45.19,-11.633,-19.0156666667,3.803,6.26366666667,12.528,-9.0826,-18.5683333333,19.6866666667
240.04,-3.74566666667,-13.296,-35.955,-13.8576666667,-17.79,-0.936333333333,7.678,11.6106666667,-8.08966666667,-16.854,18.7266666667
240.42,0.734333333333,-7.342,-26.4313333333,-10.279,-18.3556666667,3.965,9.398,10.7193333333,-3.0248,-7.636,17.768
240.79,6.227,-3.785,-20.6346666667,-4.15166666667,-10.6226666667,5.61666666667,13.6753333333,12.5763333333,1.90493333333,-1.95366666667,18.8033333333
241.17,6.996,-2.16033333333,-16.564,-4.32066666667,-8.74466666667,4.424,13.1683333333,11.9343333333,1.06986666667,-5.144,16.564
241.54,8.69966666667,-0.344666666667,-11.628,-2.15333333333,-4.65133333333,4.048,13.006,9.905,1.89486666667,-3.962,15.8483333333
241.92,6.506,0.160666666667,-9.95966666667,-3.85533333333,-4.97966666667,2.57033333333,11.3253333333,9.237,1.3174,-4.98,13.253
242.29,3.45366666667,-1.201,-9.309,-5.18033333333,-5.40533333333,1.201,9.83466666667,7.357,-0.375266666667,-4.57966666667,10.3603333333
242.67,3.45766666667,-0.207333333333,-8.368,-3.942,-5.11733333333,1.45233333333,9.88966666667,6.01666666667,0.0138666666667,-4.70266666667,9.54366666667
