wavelength,Back_TanGyrf,Belly_TanGyrf,Breast_TanGyrf,Crissum_TanGyrf,Crown_TanGyrf,DorTail_TanGyrf,Patch10_TanGyrf,Patch11_TanGyrf,Patch12_TanGyrf,Patch13_TanGyrf,Rump_TanGyrf,Throat_TanGyrf,WingTip_TanGyrf
616.28,20.2166666667,29.4868333333,22.90025,27.2520833333,22.3113333333,7.68875,16.4391666667,60.3840833333,45.9053333333,29.1171666667,19.4505,23.9659166667,11.0918333333
616.61,20.0385833333,29.3304166667,22.72425,27.1003333333,22.201,7.57708333334,16.2994166667,60.2690833334,45.9075,29.157875,19.2965833333,23.7910833333,11.00325
616.95,19.93475,29.23025,22.664,26.9858333333,22.1804166667,7.53541666667,16.2100416667,60.2903333333,45.9296666667,29.2161666667,19.1749166667,23.7260833334,11.019
617.28,19.7790833334,29.1553333333,22.5593333334,26.9345,22.1949166667,7.55558333333,16.1541666667,60.218,45.9723333333,29.3351666667,19.0904166667,23.6910833333,11.0435
617.62,19.7430833333,29.1291666667,22.5115,26.8924166666,22.2146666667,7.61945833333,16.1199166667,60.20775,46.0856666667,29.476375,19.1011666667,23.7255833334,11.0835833334
617.95,19.6521666667,29.0549166667,22.4469166667,26.80775,22.17825,7.60441666667,16.04725,60.1344166667,46.1374166667,29.5746666666,19.02925,23.6745,11.0980833333
618.28,19.5385833333,28.963,22.3230833333,26.7324166666,22.1185,7.546375,15.9570416666,60.1516666667,46.2325833333,29.6349166667,18.944,23.6005,11.0539166667
618.62,19.4203333333,28.836,22.2680833333,26.64525,22.1009166667,7.47016666667,15.8627083333,60.1465,46.3453333333,29.6874583333,18.8564166666,23.5384166667,11.0531666667
618.95,19.2443333333,28.7126666667,22.1450833333,26.4711666666,22.02225,7.41054166667,15.6987916667,60.0275833333,46.3175,29.70025,18.72,23.3644166667,10.971
619.28,19.1475833333,28.5843333333,22.0716666667,26.4154166666,22.0070833333,7.42095833333,15.63125,60.0259166666,46.3668333334,29.8179166667,18.65875,23.2868333333,10.98675
619.62,19.16575,28.53975,22.0211666667,26.3999166667,22.0711666667,7.52641666666,15.6239166667,59.9880833333,46.423,29.8796666666,18.6635,23.2816666667,11.0790833333
619.95,19.0276666667,28.3606666666,21.91175,26.2868333333,22.0168333333,7.501875,15.5421666667,59.8881666667,46.3704166667,29.922375,18.578,23.1894166667,11.0829166667
620.28,18.9945,28.34725,21.9088333333,26.2554166667,22.0864166667,7.656375,15.5345833333,59.8988333333,46.47625,30.0458333333,18.6191666667,23.2071666667,11.2199166667
620.62,18.87275,28.25675,21.7993333333,26.1871666667,22.0625,7.690375,15.5015,59.75875,46.523,30.0761666667,18.58125,23.1524166667,11.24375
620.95,18.7363333333,28.1305833333,21.69175,26.0585,21.9623333333,7.641625,15.3965,59.6864166667,46.5231666667,30.069,18.4890833333,23.0486666667,11.23525
621.28,18.57375,28.02125,21.6046666667,25.95875,21.94,7.62520833333,15.3319583333,59.6529166667,46.5945833334,30.1761666667,18.4304166667,22.94925,11.2425
621.62,18.4530833333,27.921,21.5249166667,25.8745833333,21.9275833334,7.64495833333,15.249625,59.5445833333,46.5926666667,30.2761666667,18.3671666667,22.9026666667,11.25825
621.95,18.3599166667,27.8538333333,21.44575,25.7870833333,21.9505833334,7.66154166667,15.186,59.4676666667,46.6165,30.3657083333,18.314,22.8625,11.31025
622.28,18.3135,27.8115,21.3929166667,25.7535,21.9576666667,7.72229166666,15.1727083334,59.3814166667,46.6271666666,30.4321666667,18.30125,22.8205,11.34575
622.62,18.2915833333,27.7834166666,21.3745833333,25.7391666667,22.0265,7.79983333333,15.2415833333,59.3823333333,46.70225,30.60725,18.3465833333,22.8570833333,11.44325
622.95,18.1608333333,27.66525,21.24675,25.6050833333,21.9883333333,7.77416666666,15.1477083333,59.1951666667,46.686,30.559375,18.25425,22.7714166667,11.4230833333
623.28,17.8714166666,27.4925,21.05225,25.3828333333,21.81325,7.59875,14.9349583334,59.01525,46.6280833333,30.5147083333,18.0751666667,22.594,11.2889166667
623.62,17.7830833333,27.464,20.9685833333,25.3286666667,21.7994166667,7.60254166667,14.8378333333,58.9515833334,46.6894166667,30.628125,18.0425833333,22.5664166667,11.3216666667
623.95,17.61875,27.298,20.81075,25.2326666666,21.7171666667,7.49383333333,14.7190833333,58.835,46.6963333333,30.6785,17.9334166667,22.4738333334,11.2443333333
624.28,17.4611666666,27.16075,20.6723333334,25.1301666666,21.646,7.48679166667,14.603125,58.6590833333,46.6980833333,30.7497916667,17.8476666667,22.3755,11.2114166667
624.62,17.3321666667,27.0285,20.5969166667,25.0506666667,21.6101666667,7.48345833333,14.57425,58.5094166667,46.7288333333,30.8125,17.8058333334,22.3360833333,11.236
624.95,17.295,27.0229166666,20.5909166667,25.0473333333,21.6346666667,7.534125,14.5475416667,58.4454166667,46.8185,30.9015416667,17.7870833333,22.36525,11.2745
