wavelength,Back_CisLevf,Belly_CisLevf,Breast_CisLevf,Crissum_CisLevf,Crown_CisLevf,DorTail_CisLevf,Patch10_CisLevf,Patch11_CisLevf,Rump_CisLevf,Throat_CisLevf,WingTip_CisLevf
776.30,53.9880666667,68.3495333333,5.32033333333,54.9122666667,3.60993333333,3.90966666667,32.7062666667,34.4582,58.6154,4.25546666667,7.19213333333
776.61,53.5325666667,67.9082,4.357,54.418,2.66573333334,3.10633333333,32.2884666667,33.9378,57.9893444445,3.195,6.61973333334
776.92,53.9815333333,68.1377333333,4.0878,54.7665666667,2.63093333333,3.13993333333,32.4940666667,33.9132666667,58.1918111111,3.2202,6.72339999999
777.23,54.4570666667,68.6113333334,4.46193333333,55.4531,3.04233333334,3.3216,32.8743333333,34.2703333333,58.6026666667,3.719,7.1872
777.54,55.3253666667,69.2686666667,5.15193333333,56.3628,3.89360000001,4.3542,34.055,35.2184666667,59.6787111111,4.68193333333,8.16706666667
777.85,55.4106333333,69.4908666667,4.45246666667,56.5034333333,3.39093333334,3.93373333333,34.097,35.1873333333,59.6782333333,4.12113333333,7.85773333333
778.16,55.0982333333,69.2702,4.06806666667,56.3808666667,2.8946,3.30193333333,33.8570666667,34.5697333333,59.4319888889,3.53946666667,7.49080000001
778.47,55.4975333333,69.8038666667,3.9854,57.1177,3.28426666666,3.65213333333,34.0883333333,34.8332666667,59.8094666667,3.8186,7.49493333333
778.78,55.4855666667,69.8976666667,3.17113333333,56.8989,2.78140000001,2.9264,33.7927333333,34.6466,60.0141,3.24086666667,6.68166666666
779.09,54.2023,68.5869333333,3.38246666667,55.9700333333,2.89500000001,3.26946666667,33.1906,34.1259333333,59.0563222222,3.294,6.83399999999
779.40,53.4165,68.0039333333,3.49266666667,55.6871666667,2.934,3.55633333333,32.8140666667,33.8868666667,58.4562333333,3.51206666667,6.92626666667
779.71,53.3504666667,67.9832,3.4862,55.545,2.8254,3.4468,32.6133333333,33.6883333333,58.4771777778,3.71313333333,7.01673333333
780.02,53.7250666667,68.2187333333,4.0306,56.1739666667,3.4096,4.22753333333,32.8700666667,34.1463333333,58.9184111111,4.67106666667,7.75079999999
780.33,53.97,68.6115333333,3.63413333333,56.173,3.41866666666,3.7844,32.7368666667,33.9500666667,59.0001,4.4512,7.54886666667
780.64,53.4082666667,67.8388666667,3.56133333333,55.7149,3.47599999999,3.92193333333,32.6872,33.9494666666,58.6609,4.60806666667,7.47793333333
780.95,53.3791,68.0951333333,3.52073333333,55.6357666667,3.28766666666,3.63233333333,32.2592666666,33.8248,58.6169333333,4.3718,7.4824
781.26,53.5748,67.7383333333,4.68926666667,55.7535666667,4.30693333333,4.6794,32.5584666667,34.3445333333,58.5266555555,5.34326666667,8.15080000001
781.57,53.2956,67.3110666667,4.83873333333,55.3701,4.77840000001,5.28686666667,32.3966,34.4814666667,58.2610777778,5.6596,8.19733333334
781.88,52.724,66.8883333334,5.13586666667,54.9144,5.00999999999,5.78053333333,32.4271333333,34.1592666667,58.1235777778,5.84113333333,8.58993333333
782.19,52.6611666667,66.5709333333,5.5186,55.0880666667,5.58926666667,6.44513333333,32.8902,34.1792,57.8952555556,6.3948,8.9326
782.50,52.9482,66.9318,5.7282,55.3888666667,5.72299999999,6.7024,32.9662,34.2005333333,58.0871111111,6.31993333333,8.98240000001
782.81,53.8250333333,67.9089333333,6.33013333333,55.9523,6.40773333334,7.42746666667,33.7732,34.9688666667,58.8354333333,6.53726666667,9.70493333333
783.12,53.6856333333,67.8892,6.74433333333,55.8766333333,6.9464,7.80106666666,34.0118,35.0842666667,58.6827222222,6.72373333333,10.4171333333
783.43,53.8212333333,68.3807333333,6.47686666667,55.9204333333,6.788,7.72686666667,34.1456666667,34.9315333333,58.6428222222,6.10233333333,9.79953333333
783.74,53.1942333334,68.1005333333,5.9336,55.8561333333,5.93886666667,7.405,33.7454,34.6280666667,58.6152222222,5.3934,9.35239999999
784.05,52.7895,68.1549333333,5.88753333333,55.046,5.58973333333,7.0724,33.2954666667,34.3129333333,58.3828888889,4.854,9.07466666666
784.36,52.7501333333,67.8606,4.81473333333,54.649,4.61033333333,6.07526666667,32.6147333333,33.7978,57.8955555555,3.89166666667,8.08740000001
784.67,52.6664666667,67.9666,4.636,54.6415,4.26773333333,5.72393333334,32.3682,33.6067333333,57.6997222222,3.58153333333,7.81053333333
784.98,52.7711666667,68.0044666666,4.3508,54.8256666667,3.76606666667,5.4076,32.2821333333,33.4906,57.6138666667,3.30526666667,7.50413333333
785.29,52.7241666667,67.6892666667,4.28633333334,54.8113333333,3.86146666666,5.42053333333,32.1096666667,33.6407333333,57.2551777778,3.31386666667,7.35966666667
785.60,52.6639,67.808,3.25986666667,54.7119,2.72319999999,4.4916,31.3785333333,33.209,57.1563888889,2.35033333333,6.66093333333
785.91,52.9216666667,68.0238,2.41906666667,54.8552666667,2.23733333334,4.01473333333,31.2037333333,33.3956666667,57.2241777778,2.07826666667,6.43386666666
786.22,52.3921,67.2695333333,1.60613333333,54.2349333333,1.5272,3.2066,30.4143333333,32.6570666666,56.5332333333,1.69626666667,5.48906666667
786.53,52.9047333333,67.6592,1.2352,54.1821666667,0.727533333334,2.89913333333,30.1183333333,32.8088,56.9805222222,1.31413333333,4.77726666667
786.84,52.7072,67.5477333333,1.40766666667,53.4830333333,0.798,2.62133333333,29.7422,32.9122,56.7628,1.7234,5.03193333333
787.14,53.7235333333,68.0813333333,2.54206666667,54.2439,2.17886666667,3.72893333333,30.553,34.1408666667,57.6087555555,3.008,6.02706666667
