wavelength,Back_HetRubm,Belly_HetRubm,Breast_HetRubm,Crissum_HetRubm,Crown_HetRubm,DorTail_HetRubm,Patch10_HetRubm,Rump_HetRubm,Throat_HetRubm,WingTip_HetRubm
818.72,9.13866666667,26.6273333333,20.7096666667,8.34966666667,11.0126666667,3.386,78.1393333333,65.1873333333,21.795,12.8863333333
819.02,10.557,27.424,22.8073333333,10.3106666667,12.496,5.35566666667,78.64,67.621,23.8226666667,13.9733333333
819.33,9.786,26.3273333333,21.5733333333,10.481,11.5653333333,4.94866666667,78.1486666667,67.3063333333,23.464,11.954
819.63,10.277,26.3776666667,21.5403333333,11.143,11.817,5.92066666667,79.4706666667,67.894,23.6823333333,11.769
819.93,10.313,26.1876666667,21.1006666667,11.8566666667,12.6683333333,7.126,78.167,67.1416666667,23.5353333333,11.817
820.24,10.56,26.097,21.0213333333,12.1476666667,13.6213333333,8.23533333333,78.0123333333,66.7976666667,23.3956666667,12.3116666667
820.54,11.416,26.1396666667,21.4333333333,12.8413333333,14.2533333333,9.278,77.0606666667,66.2496666667,23.2886666667,13.1103333333
820.85,11.8883333333,26.6573333333,21.7306666667,13.3403333333,14.7003333333,9.76233333333,77.298,66.6666666667,23.6053333333,13.626
821.15,12.285,27.265,21.9533333333,14.0846666667,15.4126666667,10.4653333333,77.132,66.6173333333,24.137,14.1636666667
821.45,12.4566666667,27.717,22.118,14.679,15.981,10.9373333333,77.101,66.467,24.5486666667,14.401
821.76,12.6873333333,27.9883333333,22.2876666667,15.0323333333,16.4933333333,11.1876666667,77.0726666667,66.509,24.7513333333,14.6136666667
822.06,12.5806666667,27.7926666667,22.2443333333,15.0646666667,16.674,11.2506666667,76.521,66.2476666667,24.7573333333,14.734
822.36,12.536,27.8796666667,22.0886666667,15.098,16.8246666667,11.2586666667,76.739,66.1683333333,24.728,14.8873333333
822.67,12.6183333333,28.0636666667,22.19,15.233,16.996,11.294,76.657,66.1383333333,24.6606666667,14.9376666667
822.97,12.715,28.1786666667,22.291,15.272,17.054,11.2963333333,76.318,66.0636666667,24.6556666667,15.018
823.27,12.9126666667,28.6016666667,22.496,15.3916666667,17.0633333333,11.1773333333,76.8096666667,66.4756666667,24.7203333333,15.2643333333
823.58,13.1666666667,28.9443333333,22.6363333333,15.5393333333,17.117,11.1656666667,76.4413333333,66.5103333333,24.9423333333,15.4576666667
823.88,12.9066666667,28.9453333333,22.5036666667,15.3703333333,17.0046666667,10.9823333333,76.723,66.6743333333,24.8953333333,15.2656666667
824.18,12.6163333333,28.8533333333,22.4353333333,15.2813333333,16.7893333333,10.88,76.3456666667,66.2283333333,24.8813333333,14.9133333333
824.49,12.8703333333,28.6926666667,22.6143333333,15.2916666667,16.9223333333,10.7476666667,76.3046666667,66.3673333333,25.0073333333,14.9636666667
824.79,12.8123333333,28.3046666667,22.432,14.7766666667,16.5063333333,10.538,76.052,66.2823333333,24.482,14.7446666667
825.09,12.56,27.854,22.0473333333,14.1953333333,15.878,10.1063333333,75.663,66.211,23.8693333333,14.406
825.39,12.802,28.0966666667,22.0796666667,14.0103333333,15.8736666667,10.0453333333,76.1203333333,66.6916666667,23.6786666667,14.149
825.70,12.9763333333,28.093,22.3666666667,14.119,15.9443333333,10.192,76.2016666667,66.43,23.5223333333,14.1056666667
826.00,13.2336666667,28.1936666667,22.7843333333,14.0293333333,16.026,10.5216666667,76.6626666667,66.815,23.688,14.704
826.30,12.9826666667,27.8966666667,22.5003333333,13.7906666667,15.626,10.0243333333,76.1433333333,66.626,23.7743333333,14.448
826.61,12.8733333333,27.3896666667,22.364,13.654,15.8176666667,10.2163333333,75.8833333333,66.105,23.8976666667,14.3113333333
826.91,12.5673333333,27.2993333333,22.4166666667,13.5663333333,15.7716666667,9.98733333333,76.335,65.9313333333,24.0256666667,14.052
827.21,13.1633333333,27.9286666667,22.7053333333,14.0546666667,16.3256666667,10.2383333333,76.654,65.831,24.279,14.5703333333
827.51,13.824,28.286,23.2523333333,14.164,16.716,10.322,77.499,66.3123333333,24.5996666667,15.4403333333
827.82,14.0373333333,28.6786666667,23.2436666667,14.1256666667,16.556,10.4726666667,77.817,66.5343333333,24.9226666667,15.6283333333
