wavelength,Back_IncLaem,Belly_IncLaem,Breast_IncLaem,Crissum_IncLaem,Crown_IncLaem,DorTail_IncLaem,Patch10_IncLaem,Patch11_IncLaem,Rump_IncLaem,Throat_IncLaem,WingTip_IncLaem
828.42,36.1485,76.2094166667,37.8625833333,59.9468333333,19.3804166667,13.8268333333,56.9518333333,57.6135,25.64125,12.24525,24.8175833334
828.72,36.0955,76.18075,37.84875,59.9606666666,19.3241666667,13.6398333333,56.7308333333,57.3710833334,25.6883333333,12.0653333333,24.5475
829.02,35.9419166667,76.60575,37.9271666667,60.1406666666,19.323,13.2503333333,56.7460833333,57.1689166666,25.5133333333,11.9464166667,24.3094166667
829.33,35.8673333333,76.6023333333,37.7459166667,60.3750833333,19.1785833333,13.023,56.8741666666,57.25125,25.5836666667,11.5710833333,23.9421666666
829.63,36.0551666667,76.0039166667,37.7331666666,59.86575,19.1118333333,13.0648333333,56.52075,57.1825,25.77625,11.7584166667,23.5358333333
829.93,35.7574166667,75.3104166667,36.98475,59.1246666667,18.7753333333,13.18925,56.02775,56.8055,25.8403333333,11.6645833333,23.1514166667
830.23,35.6354166667,75.6971666667,36.8460833333,59.2825,18.2566666666,13.0836666667,55.9719166667,56.8333333333,26.0676666666,11.69275,22.9364166667
830.54,35.8324166667,75.9454166667,36.712,59.54925,18.2468333333,13.2871666667,56.1750833334,57.295,26.3698333334,11.678,22.8064166667
830.84,35.96225,75.7650833333,36.3925833333,59.5325,17.82,13.1696666667,55.7839166667,57.7101666667,26.3925,11.6205,22.5185
831.14,36.8583333333,76.51375,36.8450833333,60.42925,18.4999166667,13.7915833333,55.6856666667,58.7105833334,27.076,12.4003333333,23.4381666667
831.44,37.3725,76.333,37.158,59.8911666667,18.5580833333,14.7319166667,55.6685,58.33025,26.8428333333,12.96225,24.0333333334
831.74,37.3548333334,76.31125,37.0089166666,59.95075,18.0098333333,14.6145,55.8158333333,58.3390833333,26.5283333333,12.1933333333,23.89175
832.04,37.6133333333,76.7319166667,37.4954166667,60.6403333333,18.30775,14.699,56.041,59.23,26.6256666666,12.7885833333,24.5651666667
832.35,37.4375833333,76.5768333334,37.6444166667,60.5763333333,18.3540833334,14.45025,56.0399166667,59.467,26.4373333333,13.0951666667,24.6898333333
