wavelength,Back_DacVenf,Belly_DacVenf,Breast_DacVenf,Crissum_DacVenf,Crown_DacVenf,DorTail_DacVenf,Patch10_DacVenf,Patch11_DacVenf,Rump_DacVenf,Throat_DacVenf,WingTip_DacVenf
792.70,17.3295833333,37.7979166667,29.8846185897,41.31425,18.15625,19.008,16.7924166667,37.07625,22.432,31.5919583334,18.592625
793.01,17.4761666667,38.1220833333,30.8486826923,42.3314166667,18.8267083333,19.64025,16.8455,37.9858333334,23.0233333333,32.2171666667,19.2526666667
793.32,17.4334166667,37.89175,31.1458083334,41.48975,19.0555,19.8431666667,16.99525,37.7821666667,23.2389166666,32.2547083333,19.5104583333
793.62,16.9038333333,36.7884166667,30.3831557692,40.32025,18.0005833333,19.0889166667,16.11625,37.0766666667,22.8828333333,31.56775,18.851625
793.93,16.2795,36.0521666666,29.6474762821,39.941,17.53375,17.98825,15.6565833333,36.3805,21.96975,30.4291666667,17.7737083333
794.24,16.29375,36.6396666667,30.3657217949,40.4120833333,18.3749583333,18.1161666667,16.2765833334,37.29225,22.2701666666,30.5486666667,17.408375
794.55,16.6414166667,36.8905,30.4231371795,40.6998333333,18.5334166667,18.071,16.4565,37.8153333333,22.2670833333,30.2179166667,18.00375
794.86,15.4145,36.5566666667,29.9989314102,40.2876666666,17.9864583334,17.69875,16.14225,37.58025,21.5480833334,29.6446666667,17.2165833334
795.16,14.7621666666,36.9700833333,29.793275,40.3653333333,17.5714583334,16.477,15.8394166667,37.9955833333,20.8291666667,29.8044583333,16.9597916667
795.47,13.258,35.9358333333,28.7409057692,39.6513333333,16.0314166666,14.8265,14.75625,37.215,19.60225,29.17975,15.2689583333
795.78,13.5165833333,36.2913333333,29.3030429487,40.6196666667,16.5096666667,15.41875,15.26175,37.9668333333,20.253,29.6509583333,15.7722083333
796.09,13.5109166666,36.1929166667,28.6709724359,40.3468333333,16.4255833333,15.4483333333,15.516,37.0979166667,19.9239166667,29.179375,15.89675
796.40,13.1133333333,36.38375,27.8712685898,39.7070833333,15.8741666667,14.6811666667,14.724,36.7416666667,19.2910833333,28.962125,15.4353333333
796.70,12.58025,35.8121666667,26.7553102564,38.6209166667,14.8222083333,13.6631666667,14.0270833333,35.48225,18.2149166666,27.851,14.9956666667
797.01,12.6004166667,36.0106666667,27.1358025641,39.2990833333,15.1145833333,13.8388333333,14.6838333333,35.4335833333,18.0555,27.8069583333,15.1313333333
797.32,12.5806666667,36.4509166667,27.3215384615,39.3560833333,15.214125,14.0926666667,14.594,36.0943333333,18.3231666667,28.397875,15.6045833333
797.63,12.7400833334,37.04575,27.3853692308,39.3603333333,14.9134166667,14.2403333333,14.90075,36.3255833333,18.3985833333,28.5022916667,16.1050833333
797.93,13.4915833334,37.1468333333,27.9913435898,39.5301666667,15.372875,14.98975,15.5515,36.5339166667,18.7095833333,29.1155833333,16.4790833333
798.24,14.2894166667,36.5989166667,27.9747948718,39.3824166667,15.4737083334,15.24525,15.5920833333,35.8968333334,18.9255,29.4162083333,16.599
798.55,15.0644166667,36.1579166667,28.0731788462,39.2385,15.7830833333,16.2949166666,15.8985,35.2493333333,19.6895,29.373125,17.2365416667
798.85,15.4363333333,35.9251666667,28.1159314103,38.8205833334,15.7275833333,16.7321666666,15.7563333333,35.3591666667,19.9475,29.1625416667,17.3804583333
799.16,15.0990833333,35.5116666667,27.3838051282,37.9125,15.12375,16.18825,15.0825833333,34.6945833333,19.4966666667,28.383,17.1866666667
799.47,15.5075833334,35.8045833334,27.8191948718,38.0198333334,14.8900833333,16.5643333333,15.1925,35.3614166667,19.9985,28.6552916667,17.4889166666
799.78,15.6423333333,35.9073333333,27.9829320513,37.5173333333,14.6134583333,16.9850833333,16.00375,35.3046666667,20.136,28.538125,17.2607916667
800.08,16.7103333334,37.25075,29.4080282051,39.1045833333,16.0063333333,18.223,17.3574166667,37.4255833333,21.7034166667,30.1679166667,18.0484166667
800.39,15.8543333334,37.0208333333,28.6874685897,38.2348333333,15.0830416667,16.7854166667,16.2286666667,37.2216666667,21.3946666667,29.8330416667,17.1001666667
800.70,16.0618333333,36.981,28.9244538461,37.60375,15.344,17.2535,16.2603333333,36.8454166667,21.4338333334,30.0514166667,17.2804583333
801.00,16.0709166667,36.2393333333,28.2943583333,37.4130833333,14.2830416667,16.5383333333,15.3741666667,35.73525,20.8011666667,29.5653333334,16.2084166667
801.31,15.4775833333,35.8416666667,27.3834974359,36.8359166667,13.875,16.0814166667,14.6784166667,34.8663333333,20.5313333333,28.8739166667,15.5380416667
801.62,14.90975,36.4726666666,27.1452929487,36.4535833333,13.349625,15.5530833334,14.1225,35.5413333333,19.9693333333,27.9378333333,15.0732083333
801.92,13.92975,36.7543333333,26.9798807693,36.3359166667,12.239625,14.1545,12.9594166667,35.5799166667,18.7805833334,27.7267083333,13.7459166667
802.23,12.9338333333,36.6374166667,26.6350910257,36.2713333334,11.6164583333,13.2163333333,12.4424166667,35.1215833333,17.9528333333,27.16975,13.1586666667
802.54,12.3393333333,36.8895,26.8297660257,36.2896666666,11.6966666666,12.69275,11.95375,35.7646666667,17.395,26.590875,11.7020416667
802.84,12.7676666667,37.4570833333,27.1916916667,36.5145,13.3460416667,12.7999166667,12.3393333333,35.6041666667,17.60925,26.6280416667,12.1410833333
803.15,13.70625,38.3376666667,28.4762230769,37.5896666667,15.1812916667,13.738,13.6219166666,36.48325,18.4155,27.702375,13.6216666667
803.46,13.20425,37.7063333334,27.9488480769,36.4675833333,14.675875,13.3099166667,13.0453333333,35.29225,17.6514166667,27.0066666667,13.2570833333
803.76,12.6820833333,37.8749166667,27.2945826923,36.3754166667,14.5029166667,13.45325,12.4786666666,35.058,16.6025,26.0123333333,12.9069583333
