wavelength,Back_TanFlom,Belly_TanFlom,Breast_TanFlom,Crissum_TanFlom,Crown_TanFlom,DorTail_TanFlom,Patch10_TanFlom,Patch11_TanFlom,Patch12_TanFlom,Rump_TanFlom,Throat_TanFlom,WingTip_TanFlom
809.88,8.14814814814,34.1252222222,13.6653333333,35.9768888889,54.1123333333,11.807589372,9.09344444443,11.5707777778,3.43577777778,34.7508888889,16.7305555556,13.027
810.19,9.8994074074,35.2406666667,14.7208888889,37.3014444444,54.9282222222,12.8420676329,10.164,13.3641111111,5.59411111111,35.7655555556,17.8955555556,14.3434444444
810.49,11.0231481482,37.248,16.0933333333,39.3961111111,57.2558888889,13.7092608696,11.48,14.9994444445,6.76144444444,37.4851111111,18.7952222222,15.5990555555
810.80,10.1147407407,35.5553333333,15.3735555555,37.9467777778,55.4516666667,12.7975652174,10.7993333333,14.1131111111,6.57588888889,36.4003333333,18.0376666666,14.2105
811.10,10.2472222222,34.8987777778,15.6916666667,37.439,54.1312222222,12.7795797102,11.5858888889,13.6257777778,7.10811111111,35.7197777778,17.475,13.305
811.41,10.5919259259,35.9115555555,15.5737777778,37.7045555556,54.9013333333,13.5504927536,12.4067777778,13.5321111111,7.62988888889,36.5396666667,17.8248888889,14.1211666667
811.71,10.4916296296,36.7866666667,15.5661111111,38.21,54.5801111111,14.3552657005,12.8905555556,13.7473333333,8.69911111111,36.6943333333,18.2285555556,15.5925555555
812.02,10.0896666667,36.3575555556,14.8507777778,37.7886666667,54.5834444444,14.5215652174,12.1911111111,13.5143333333,8.22177777776,36.4114444445,17.6454444444,15.3907222222
812.32,9.25225925926,36.4744444444,14.0446666667,38.0518888889,54.8775555556,13.7064009662,12.37,12.481,7.98400000001,36.2806666667,17.1994444444,14.854
812.63,8.9211111111,35.2932222222,13.6644444444,37.0876666667,53.8302222222,13.2325458937,11.7323333334,11.194,7.757,34.755,16.563,14.272
812.93,9.30814814815,35.2573333333,14.4291111111,37.8503333333,53.9385555555,13.2707342995,12.3937777778,10.888,7.75133333333,34.3371111111,17.3008888889,14.4501666667
813.24,10.2685185185,35.7638888889,14.8888888889,37.8472222222,53.8194444444,13.4353864734,12.7638888889,10.7361111111,8.22222222223,34.2916666667,17.4861111111,14.8541666667
813.54,9.35407407408,35.7062222222,15.061,37.6242222222,53.7651111111,12.4614637681,12.1625555556,10.1733333333,6.83433333335,34.2427777778,17.1781111111,13.8678333333
813.85,8.43074074073,34.4457777778,14.3501111111,35.8117777778,52.1897777778,11.0657246377,11.1815555555,8.80166666667,5.74566666666,32.9531111111,16.3921111111,12.9559444444
814.15,8.15588888888,34.6603333333,14.0421111111,36.2933333333,53.2515555556,10.3515410628,10.8048888889,8.36988888889,4.65144444444,33.1,15.9522222222,13.5900555556
814.46,6.81592592592,34.1753333333,12.8253333334,35.318,52.8193333333,8.71125603866,8.32966666667,6.54044444443,2.31544444444,32.0102222222,14.9,12.3289444444
814.76,7.44707407408,33.7036666667,12.948,34.9926666667,52.0444444444,8.12749758454,8.44455555556,7.31844444445,2.34066666667,31.911,15.022,11.963
815.07,7.87922222221,33.9725555556,13.1811111111,35.5708888889,52.9832222222,7.35542512078,8.52344444446,7.44288888888,1.14166666667,32.816,14.6115555556,11.2023888889
815.37,7.60055555554,33.7753333333,13.0163333334,36.1376666667,52.7055555555,6.62538164251,8.71822222221,7.011,0.85366666667,32.9064444444,14.891,11.1644444445
815.68,9.13155555557,34.0554444444,14.6035555556,35.6764444445,52.4462222222,8.34525603866,9.35744444445,8.00177777778,1.69455555555,33.1712222222,15.7383333333,12.1499444444
815.98,10.3174074074,35.9787777778,16.064,37.0075555556,53.88,9.40751207729,10.7437777778,9.86177777779,2.86577777778,34.9942222222,17.2841111111,13.2714444445
816.29,9.80955555556,35.4581111111,15.3172222222,35.6447777778,52.8137777778,8.86976811595,10.3217777778,9.23066666666,2.45488888889,34.6254444444,16.48,12.6398888889
816.59,8.93503703706,34.8032222222,15.0311111111,35.3364444444,53.1776666666,8.81394202898,10.2607777778,9.90055555557,2.01755555556,34.9331111111,16.155,12.2424444444
816.89,9.18955555554,34.4501111111,14.8241111111,34.6873333333,52.6103333333,9.73725120774,10.3714444444,9.89666666668,2.74988888889,34.9245555555,16.0664444444,12.856
817.20,9.37629629629,35.3297777778,15.1588888889,35.2747777778,53.3802222222,10.9477874396,11.1937777778,10.4364444444,3.511,36.1418888889,16.9625555556,13.9541666667
817.50,9.49851851851,35.8853333333,15.7628888889,35.1276666666,53.2827777778,11.7790772947,11.8022222222,11.1643333333,3.81444444444,36.6694444444,17.6634444444,14.5333333333
817.81,9.82329629631,37.1058888889,16.4857777778,36.3696666667,54.6124444445,12.8310676328,12.8813333333,12.2997777778,5.11622222222,37.9586666667,18.695,15.5490555556
818.11,9.64766666667,37.7852222222,17.2894444444,36.3546666667,54.9884444445,13.2505169082,12.5908888889,12.8377777778,5.66044444444,37.9331111111,18.9542222222,15.8713333333
818.41,9.41503703703,37.2748888889,17.4384444445,35.9883333333,54.7134444444,13.5554444445,12.4561111111,12.4444444445,5.57877777778,37.4152222222,19.0408888889,16.2981111111
