wavelength,Back_DigPluf,Belly_DigPluf,Breast_DigPluf,Crissum_DigPluf,Crown_DigPluf,DorTail_DigPluf,Rump_DigPluf,Throat_DigPluf,WingTip_DigPluf
216.70,196.666666667,153.666666667,-23.0,73.9999999999,221.0,115.666666667,169.0,64.0,23.3333333335
217.08,261.2745,181.862583333,-91.1764166665,64.2157500002,301.470666667,127.451,200.98025,45.5880833335,9.31358333325
217.46,154.166666667,83.8541666667,-210.416666667,-56.2499999998,189.0625,21.3541666669,100.520833334,-90.625,-92.7083333333
217.83,127.5,11.6666666666,-439.166666667,-238.333333333,140.833333333,-101.666666667,55.8333333332,-265.0,-297.5
218.21,352.777666668,-66.6666666667,-1558.33325,-888.888999998,291.66675,-588.888833333,191.666666667,-1091.66666667,-1125.00008333
218.59,875.000000001,-933.333333333,-4975.0,-3224.99999999,800.0,-2625.0,-224.999999998,-4091.66666666,-3641.66666666
218.97,-17.3610833333,168.055583333,503.47225,352.083499999,1.38883333325,294.4445,104.86125,444.444583333,400.000083333
219.34,27.3333333332,111.0,270.0,238.666666667,56.6666666667,183.0,87.3333333333,258.666666667,237.333333333
219.72,10.4165833335,191.666666667,518.749999999,479.861083333,88.1944166665,347.916666667,131.250166667,504.166750001,493.0555
220.10,-208.333333335,879.166666668,2975.0,2720.83333334,333.333333335,2025.0,758.333333334,2895.83333333,2737.5
220.47,97.2223333333,-256.944416667,-961.111249999,-897.22225,-83.3333333342,-709.722250001,-229.166666666,-883.333250001,-879.166666667
220.85,10.0000000002,-78.3333333334,-290.833333333,-302.916666667,-22.9166666667,-235.0,-89.1666666668,-284.166666667,-280.416666667
221.23,35.0695000002,-16.6666666669,-173.264,-217.361083334,22.91675,-136.111083333,-37.4999999999,-195.139,-195.486166667
221.61,95.6140000001,55.0439166666,-37.5000833333,-63.5964166667,90.1315000001,-15.3509166667,50.6579166666,-46.4911666668,-50.6578333332
221.98,109.523833333,65.2381666666,-22.6189999998,-52.8571666666,117.14275,-5.71416666665,55.71425,-42.1429166666,-30.4761666665
222.36,118.981583333,76.1574166666,-0.69449999985,-40.9721666666,126.1575,19.2130833332,55.7869166668,-21.0649166667,-6.71291666675
222.74,173.55075,111.594083333,3.9855,-47.4638333335,193.840583334,50.0000833333,101.811583333,-22.1015833332,-8.69575
