wavelength,Back_ParGulf,Belly_ParGulf,Breast_ParGulf,Crissum_ParGulf,Crown_ParGulf,DorTail_ParGulf,Rump_ParGulf,Throat_ParGulf,WingTip_ParGulf
252.41,6.76586666667,9.07703333333,5.12206666667,7.56676666667,1.945,10.6178,4.83586666667,2.9139,10.9
252.79,7.24053333334,9.60003333333,5.37203333333,8.48626666667,2.5294,11.2272,5.27746666667,3.70716666667,11.0343666667
253.16,6.98606666666,8.75166666667,4.40536666667,7.51476666667,1.96053333333,10.4405333333,4.5594,2.35316666667,10.0184
253.54,7.69969999999,9.78396666667,4.94516666667,7.81326666667,2.65933333333,10.6594,5.17226666666,3.02556666667,10.8755333333
253.91,8.72193333334,11.0911666667,5.7585,8.50893333334,3.55753333333,11.2182,5.79206666667,3.9984,11.6629666667
254.28,7.94653333334,10.8117,5.7835,7.89763333333,3.3976,10.5777333333,5.4436,4.38276666667,10.7664666667
254.66,6.99246666667,10.5561666667,5.70123333333,7.9976,2.7018,9.80539999999,4.83113333333,4.0289,9.90063333333
255.03,7.32833333333,11.1397666667,6.0539,8.65613333333,3.60293333333,10.0899333333,5.80886666667,4.50556666667,9.92240000001
255.41,9.03099999999,12.7123,7.97506666667,10.1988,5.4162,11.2962,7.55273333333,6.50516666667,11.2009333333
255.78,9.97086666667,12.9454,8.61903333333,10.7592666667,6.19940000001,11.9982666667,7.59293333333,6.97520000001,11.8482
256.15,11.8415,14.6724666667,10.6794333333,12.4247333333,8.01773333333,13.454,9.64199999999,9.54976666667,14.2821
256.53,10.5588,13.2744333333,9.09866666666,10.3383666667,6.66666666668,12.1368666667,8.46113333333,8.15443333332,12.9359
256.90,10.0635333333,12.397,8.58796666666,9.2097,6.07486666667,11.7754,7.78293333333,7.80526666667,12.4157
257.28,10.0771,11.9367666667,8.61039999999,9.14046666667,5.81753333333,11.8596,7.586,8.22796666667,12.7122
257.65,10.1777,11.7962,8.77143333332,9.33583333333,6.305,12.2606666667,7.90766666667,8.54686666667,12.8344333333
258.02,9.41659999999,10.9641,7.96489999999,8.8771,5.72453333334,12.1773333333,7.28566666667,8.05783333334,12.4761333333
258.40,10.2498,11.5642333333,8.36293333333,9.58313333333,6.26153333333,13.0789333333,8.2026,8.46156666667,13.4441333333
258.77,9.38796666666,10.6412333333,7.12376666667,8.57523333334,5.35973333333,12.1878,7.21253333333,7.47743333334,12.595
259.15,9.11753333334,10.3245666667,6.98933333334,8.41113333333,4.89066666667,11.9168666667,6.7148,6.87243333333,12.2525333333
259.52,7.98603333334,9.39936666667,5.90173333333,7.10816666667,3.71666666667,11.1499333334,5.70153333333,5.65713333333,11.2216
259.89,8.1064,9.45026666667,6.13923333333,7.70216666667,3.91186666667,11.3807333333,6.069,5.9157,11.3664
260.27,7.70813333333,8.96776666667,5.62206666667,7.32893333333,3.321,10.9748666667,5.60493333333,5.11293333333,10.8324
260.64,8.04756666666,9.35526666666,5.9152,7.83246666667,3.70066666667,11.285,5.7522,5.51133333333,11.3137666667
261.01,7.92613333334,9.4751,5.8519,8.04256666667,3.6868,11.2942666667,5.77466666667,5.38756666667,11.2791
261.39,8.08636666667,9.84850000001,6.1649,8.35243333333,3.99873333333,11.5832666667,6.19553333333,5.53933333333,11.4378666667
261.76,7.3656,9.27416666666,5.62536666667,7.87430000001,3.2272,10.9241333333,5.50026666667,4.9041,10.7894
