wavelength,Back_HemAtrm,Belly_HemAtrm,Breast_HemAtrm,Crissum_HemAtrm,Crown_HemAtrm,DorTail_HemAtrm,Patch10_HemAtrm,Rump_HemAtrm,Throat_HemAtrm,WingTip_HemAtrm
229.89,-2.57133333334,3.52383333333,1.76191666667,0.857166666667,-2.23799999999,0.9405,0.595166666665,-1.59525,1.33341666668,4.35733333334
230.27,-2.61158333333,3.94108333333,2.04183333333,0.617333333335,-1.51941666667,1.67383333333,1.44816666667,0.21375,1.40083333333,4.72458333333
230.65,-1.84916666667,4.54125,3.13675,0.56175,-1.03,3.42933333334,2.78558333333,0.374500000002,1.82591666666,4.89233333333
231.02,-3.06033333333,3.90766666667,1.34175,-1.22391666667,-2.825,3.43687499999,1.24758333333,-0.894500000002,0.188250000009,3.15433333333
231.40,-6.89166666667,-0.0977500000007,-1.90608333333,-3.98333333334,-6.13383333332,0.158874999999,-2.5415,-3.81241666667,-4.27675,-0.415416666666
231.78,-10.6108333333,-3.3385,-5.6935,-7.91933333332,-9.49783333332,-2.536125,-5.22775,-7.03933333333,-7.73799999999,-2.66575
232.15,-15.1643333333,-8.02166666666,-9.77883333333,-12.35825,-14.3423333333,-6.47679166667,-8.07816666667,-10.686,-12.5284166667,-5.52716666666
232.53,-22.99875,-15.0918333333,-17.1261666667,-19.6850833334,-20.899,-13.3859166667,-16.3056666667,-17.84775,-20.899,-12.5984166666
232.90,-21.4506666667,-15.4628333333,-17.22225,-18.8271666667,-20.06175,-13.7190416667,-16.3889166667,-16.7900833333,-20.74075,-12.8704166667
233.28,-26.84475,-20.51525,-19.84725,-21.3740833333,-24.4909166667,-18.400125,-20.3245833333,-20.9605833333,-24.8409166666,-16.6985
233.66,-28.4295833333,-20.8975,-21.02575,-22.6281666667,-25.7691666667,-18.5415833333,-23.205,-21.7306666667,-24.1025,-16.1539166667
234.03,-22.4471666667,-16.4319166667,-15.3169166667,-17.78175,-21.4495833333,-14.333875,-19.16075,-16.9308333333,-19.7476666667,-11.79575
234.41,-16.8015833333,-13.0529166667,-11.7314166667,-13.3224166666,-17.1791666667,-11.5696666667,-16.2621666666,-13.5113333334,-15.8035833333,-7.84783333333
234.78,-14.7808333333,-13.1498333333,-10.7034166667,-11.7738333333,-15.4176666666,-11.6972916667,-15.9275833334,-11.4423333333,-13.5830833333,-6.47291666667
235.16,-16.7940833333,-15.9785,-13.2264166667,-13.5830833333,-17.50775,-14.5515416667,-17.7370833333,-13.3026666667,-15.95325,-7.89991666665
235.54,-17.0398333333,-15.6963333333,-13.2836666667,-14.4029166667,-17.4875833333,-15.87075,-17.0148333333,-14.5521666667,-15.8954166667,-8.93041666665
235.91,-14.5070833333,-13.6854166667,-11.3379166667,-11.9951666667,-15.4929166667,-14.1550416667,-15.0705,-12.58225,-13.7558333333,-6.73725
236.29,-12.4214166667,-11.6128333333,-9.27675,-9.83808333334,-12.82575,-11.2759166667,-13.2300833334,-11.02875,-11.59025,-5.50325
236.66,-9.08699999997,-7.429,-6.00766666667,-6.24466666667,-10.2713333333,-7.24575,-8.87158333335,-7.55816666667,-7.60125,-2.69175
237.04,-9.54849999999,-7.24833333334,-6.27175,-6.77083333333,-10.0043333333,-6.4565,-8.46358333332,-7.18316666667,-6.44541666666,-3.0165
237.41,-8.24925,-5.91941666667,-6.71708333334,-6.48625000001,-9.73974999999,-5.45754166667,-8.71108333333,-6.19216666667,-5.89850000001,-2.62383333333
237.79,-6.40875000001,-4.19741666667,-5.15966666667,-5.07783333333,-7.63725,-4.248625,-6.75683333333,-4.99608333333,-5.07774999999,-1.61766666667
238.17,-7.43466666667,-4.7385,-6.18875,-6.39299999999,-8.844,-4.75920833333,-8.35383333333,-5.821,-5.59641666667,-3.43141666667
238.54,-8.29316666666,-3.69483333333,-5.42183333333,-6.42566666668,-9.77925,-3.72479166667,-8.21266666668,-5.6425,-4.99991666666,-3.996
238.92,-6.44658333333,-0.923666666669,-3.38058333333,-4.34341666667,-8.235,-1.30695833333,-5.9945,-4.14716666667,-2.86958333332,-1.2775
239.29,-6.73349999999,-0.446250000002,-3.683,-4.81766666667,-8.57508333333,-1.31141666667,-6.58491666667,-4.55733333334,-2.43675,-2.30641666667
239.67,-6.12133333334,0.617166666668,-2.86341666667,-3.60091666667,-7.33891666666,-0.257208333333,-6.65291666667,-3.37775,-1.38883333333,-1.11441666666
240.04,-5.06566666667,2.22008333333,-0.985083333333,-2.314,-5.81625,1.67295833333,-5.48791666667,-2.07941666667,0.109583333332,0.171833333334
240.42,-3.73425,3.02033333333,0.0685833333335,-1.26316666667,-4.57175,2.43691666667,-4.654,-1.34541666667,0.494166666667,1.77108333333
240.79,-2.58458333333,3.29716666667,0.495166666669,-0.398416666667,-3.611,3.14,-4.10625,-0.809166666668,0.543583333335,3.79225
