wavelength,Back_SpoColm,Belly_SpoColm,Breast_SpoColm,Crissum_SpoColm,Crown_SpoColm,DorTail_SpoColm,Patch10_SpoColm,Patch11_SpoColm,Patch12_SpoColm,Rump_SpoColm,Throat_SpoColm,WingTip_SpoColm
186.39,-215.6522,-116.521733333,-106.087,-144.057933333,-139.420266667,-133.333333333,-128.115866667,-43.4782666667,-118.260933333,-116.135340741,-64.0579333333,-99.1304
186.77,-89.7101333333,-37.9711333333,-42.4638666667,-51.7390666666,-52.8986666667,-46.0869333333,-39.7101333333,3.62313333336,-33.3333333334,-34.0418962963,-11.4493333333,-32.8986
187.15,-74.4444000001,-29.2223333333,-31.7778,-43.5555333334,-38.4444666667,-38.9998666667,-25.8889333333,2.11119999997,-30.4444,-23.5679629629,-6.66666666665,-21.3334
187.53,-47.6444666667,-12.9778,-11.8222666667,-21.5112,-19.9111333333,-21.8667333333,-6.22226666667,13.2444666667,-13.6001333333,-5.92594814816,2.40006666667,-2.22220000001
187.91,-28.2963333333,0.51846666668,4.37046666666,-5.33346666666,-2.4446,-4.88893333333,10.3704,23.4814,0.66673333332,10.6090592593,14.7407333333,10.6666666667
188.29,-16.2615333333,8.90973333333,11.5264666667,2.36766666668,8.16186666668,3.05293333333,17.1339333334,27.4143333333,10.5918666667,18.3454666666,21.9315333333,18.3177333333
188.67,-1.17659999999,20.0,21.4566,16.4705333333,18.8796,14.1176666667,28.4592666667,36.3024666667,24.3136666667,28.4282814815,31.8766666667,26.4425333333
189.05,11.5286666667,28.1202,29.4235333333,26.1654666667,28.3708666667,24.5112,35.9398,43.2582,31.0776666667,35.2659925926,39.2482666667,35.2381333333
189.43,16.0,30.8266666667,32.8,30.9866666667,30.9333333333,29.28,40.7466666667,50.9333333333,33.3333333333,40.717037037,44.16,41.0666666667
189.81,24.2328666667,35.0264666667,37.6719333333,37.3016,36.4022,35.2381333333,45.7143333333,54.3916666667,37.5131333333,47.7307333333,49.5238666667,48.5185333333
