wavelength,Back_SpoPlum,Belly_SpoPlum,Breast_SpoPlum,Crissum_SpoPlum,Crown_SpoPlum,DorTail_SpoPlum,Patch10_SpoPlum,Rump_SpoPlum,Throat_SpoPlum,WingTip_SpoPlum
261.39,10.3382766667,9.90433333333,7.39899999999,8.87339999999,7.24763333333,11.1592666667,10.9097666667,9.77228888887,7.357,9.09489999999
261.76,10.4570566667,9.86226666667,7.50233333333,8.97433333333,7.42876666667,11.0398,11.1063,9.87033333334,7.46439999999,9.16426666667
262.13,10.6129233333,10.1924666667,7.72680000001,9.19233333333,7.58946666667,11.1326,11.3928666667,9.96411111111,7.87193333333,9.08960000001
262.51,10.5702266667,10.5974666667,7.85646666667,9.63819999999,7.93863333333,11.4637333334,11.7434333333,10.4147111111,8.15240000001,9.08983333334
262.88,9.96472666667,10.7366666667,7.49526666666,10.0185333333,7.6029,10.9821333333,11.3045666667,10.1147111111,8.09719999999,8.41013333333
263.25,9.57861666666,10.9239333333,7.6006,10.0711333333,7.45853333333,11.0998,11.3231333333,10.1432444445,8.02706666667,8.21650000001
263.63,9.60940000001,10.7200666667,8.15886666668,10.193,7.27913333333,10.6088,11.1545666667,9.95548888889,7.98813333334,7.63546666666
264.00,9.60319,10.6424,8.08886666667,10.4726,7.1395,10.5211333333,11.0868666667,9.86131111111,8.28293333333,7.64846666665
264.37,9.61611,10.405,8.64973333333,10.2869333334,7.40506666667,10.3460666667,11.0548333333,9.84804444445,8.24486666667,7.85653333334
264.75,11.3131966667,11.5472,9.95393333333,11.7066,8.3313,11.2368666667,12.2683333333,11.4326,9.4508,9.13210000001
265.12,10.63821,10.9028666667,9.5962,11.8684666667,8.0607,10.8282666667,11.4523333333,10.8614888889,9.03860000001,8.60586666667
265.49,11.23864,11.4952666667,10.6168,13.0753333334,8.73433333333,11.6808,11.9670333333,11.8151555555,10.1652,9.43166666665
265.87,12.4103833333,12.5275333333,11.5798666667,14.4391333333,10.1226,13.1438666667,13.3333333333,13.3490888889,10.9638666667,10.9636
266.24,11.8546133333,11.783,10.9456666667,13.6356,9.33726666666,12.4728666667,12.6279666667,13.3695555555,9.9844,10.6823666667
266.61,10.7139266667,10.1020666667,9.32273333335,11.6307333333,7.45753333333,11.0103333333,11.1162333333,12.1025111111,8.35426666667,9.47026666667
266.98,11.3829533333,10.0036666667,9.21793333332,11.2721333333,7.5531,11.3513333333,11.1315666667,11.9903777778,8.67033333333,9.78003333333
267.36,10.8546033333,9.50473333333,8.45806666667,10.2634666667,7.2147,10.4178,10.1931666667,10.7925777778,8.10693333333,9.04113333334
267.73,10.1479666667,8.6358,7.30933333334,9.12153333332,6.47873333333,9.45640000001,9.5896,10.0876222222,7.2822,8.56756666666
268.10,10.6461933333,9.28719999999,8.33013333333,9.37953333333,7.175,10.2046666667,10.3894,11.0428666667,7.47866666667,9.3696
268.48,9.55339333333,8.87126666667,7.63979999999,8.83146666667,6.3092,9.64573333334,9.88079999999,10.7094444444,6.77273333333,8.89773333332
268.85,9.95492666666,9.60706666667,8.25133333333,9.23386666665,7.17083333333,10.5042666667,10.5893333333,11.3206444444,7.5768,9.47626666668
269.22,9.41035333334,9.3036,7.71760000001,8.53646666667,6.5473,9.85799999999,9.8936,10.6662,6.86,9.03929999999
269.59,8.44686333333,8.39253333333,6.36513333333,7.2056,5.28713333333,8.94439999999,8.43423333333,9.15613333334,5.7876,7.91146666666
269.97,9.17078999999,8.9408,6.754,7.7132,5.9003,9.38313333333,8.972,9.28777777778,6.5794,8.52966666667
270.34,10.17248,10.1104666667,7.68126666667,9.06606666667,7.32613333333,10.4924666667,9.96703333334,9.86766666665,7.62153333333,9.61496666665
270.71,10.9982166667,10.9510666667,8.88893333333,10.2658666667,8.566,11.5968,10.8654,10.6521333333,8.60333333333,10.7569333333
271.09,10.5835066667,10.7952666667,8.87226666667,10.0914666667,8.33190000001,11.5323333333,10.8284666667,10.6068,8.6782,10.7952
271.46,10.8804633333,10.8572,9.27593333333,10.346,8.53303333334,11.7730666667,11.1821333333,11.0863555556,8.92966666667,11.302
271.83,10.5130033333,10.5328,8.88180000001,9.87473333333,8.28896666667,11.2698,10.7393333333,10.7262666667,8.67806666667,10.8517
272.20,10.3276933333,10.3317333333,8.15213333333,9.607,7.86880000001,11.0412,10.3265666667,10.1241777778,8.591,10.6279666667
272.58,10.4810566667,10.2970666667,7.86026666666,9.47006666668,7.84056666667,10.8966,10.3318333333,9.81682222222,8.38533333333,10.2253666667
272.95,9.72014000002,9.24899999999,6.8926,8.5126,7.1108,10.1914666667,9.42316666667,8.67604444445,7.35393333333,9.50413333335
273.32,10.18125,9.5266,7.064,8.46206666667,7.3756,10.2869333333,9.47270000001,9.01477777778,7.97153333333,9.85036666666
273.69,10.33029,9.82086666666,7.6772,8.5062,7.65516666667,10.4440666667,9.75726666667,9.24057777778,8.29026666667,10.1888333333
274.06,9.25109666667,9.08593333333,7.01013333333,7.495,6.6642,9.34853333334,8.6136,8.30813333333,7.20186666667,9.00260000001
274.44,9.10203333334,8.95913333335,7.0624,7.35526666667,6.39936666667,9.28806666667,8.41696666666,8.21726666667,7.27833333333,8.61996666666
274.81,8.53337666667,8.04453333334,6.3434,6.44406666667,5.59893333333,8.71753333333,7.7423,7.33617777778,6.6242,7.72133333333
275.18,8.71042666667,8.45893333333,6.656,6.62353333333,5.72743333333,8.73406666666,7.75176666667,7.28926666667,6.61813333333,7.75963333333
275.55,8.63450666666,8.04126666667,6.21413333334,6.54366666666,5.62446666667,8.57213333334,7.54116666667,6.92928888889,6.59946666667,7.16126666667
275.93,8.90642999999,8.91346666667,6.88793333333,7.3362,5.82996666667,9.23693333333,7.89513333333,7.47244444444,7.3192,7.87516666667
276.30,8.44464,8.74093333333,6.77193333333,7.514,5.35483333333,9.0914,7.57226666667,7.31135555555,7.2684,6.93816666667
276.67,8.53717666665,8.9792,6.91366666667,7.88473333334,5.4456,9.38506666666,7.39933333333,7.41788888889,7.73766666667,7.2992
277.04,9.06518999999,9.61393333335,7.70173333333,8.5088,5.79523333333,9.58479999999,8.0935,8.18331111111,8.29826666667,7.76313333332
277.41,9.43399999999,10.1002,8.28026666667,9.25779999999,6.51056666667,10.1767333333,8.98103333334,8.63182222222,8.6398,8.13306666667
