wavelength,Back_LanFulf,Belly_LanFulf,Breast_LanFulf,Crissum_LanFulf,Crown_LanFulf,DorTail_LanFulf,Patch10_LanFulf,Rump_LanFulf,Throat_LanFulf,WingTip_LanFulf
796.70,13.4158888889,40.5392222222,26.3196666667,34.187,9.33277777778,24.2353333333,14.1982222222,23.033,32.5011111111,17.3566666667
797.01,12.9416666667,40.3904444444,26.4551111111,33.9554444445,9.22355555556,24.2885555556,14.3787777778,22.8086666667,32.6112222222,17.1242222222
797.32,12.5062222222,40.1157777778,26.4506666667,34.1847777778,9.52988888889,24.3687777778,14.5668888889,22.9804444444,32.6322222222,16.9994444444
797.63,12.2084444445,39.7302222222,26.2434444445,34.0553333334,9.05333333334,24.3592222222,14.4755555556,22.5038888889,32.4524444444,16.7856666667
797.93,12.7013333334,39.9841111111,26.726,34.5694444445,9.54244444443,24.8897777778,14.6677777778,23.0824444445,32.6898888889,17.2628888889
798.24,13.1278888889,40.4473333333,27.4662222222,35.218,10.1796666667,25.5004444444,15.5703333333,23.4985555556,33.4873333333,17.8585555556
798.55,12.8241111111,40.2591111111,27.2342222222,34.9046666667,9.80800000001,25.0224444444,15.3412222222,23.2426666667,33.363,17.337
798.85,12.7518888889,39.9641111111,26.8151111111,34.6071111111,9.81511111111,24.5298888889,15.4492222222,22.9414444444,32.8913333333,16.9925555556
799.16,13.1397777778,40.5265555555,26.984,35.54,9.911,24.8625555556,15.5633333333,23.2831111111,33.434,16.9802222222
799.47,13.0387777778,39.8762222222,26.4928888889,35.3002222222,9.63,24.432,14.8723333333,22.6688888889,32.8476666667,16.745
799.78,13.0274444445,39.1135555556,26.0153333333,35.1156666667,9.44722222222,24.5564444444,14.4308888889,22.5771111111,32.6394444445,16.6548888889
800.08,12.7543333333,38.7765555556,25.6294444444,35.2331111111,8.87444444444,24.0578888889,13.9971111111,22.0458888889,31.8823333333,16.0253333333
800.39,12.6457777778,38.5012222222,25.2837777778,35.2111111111,8.03322222222,23.7162222222,13.4215555555,21.6915555556,31.3986666667,15.6012222222
