wavelength,Back_CyaCysm,Belly_CyaCysm,Breast_CyaCysm,Crissum_CyaCysm,Crown_CyaCysm,DorTail_CyaCysm,Patch10_CyaCysm,Rump_CyaCysm,Throat_CyaCysm,WingTip_CyaCysm
424.73,3.1116,55.2926666667,53.0799333333,5.79153333333,69.0744666667,4.2822,13.395,65.8942666667,60.8676666667,3.4452
425.08,3.12806666667,55.0834666667,52.8644,5.80486666666,68.9574666667,4.29933333333,13.3831333333,65.7654,60.5952,3.4586
425.44,3.13693333333,54.7968,52.5602,5.80706666667,68.7512666667,4.30633333333,13.35,65.5614,60.2197333333,3.47166666667
425.80,3.154,54.5962,52.346,5.8112,68.6568,4.32626666667,13.3370666666,65.4365666666,59.9608666667,3.50326666667
426.16,3.17606666667,54.3952,52.1216,5.83,68.5261333333,4.34006666667,13.3338,65.2828666667,59.6899333333,3.5202
426.51,3.17766666667,54.1432666667,51.8654,5.83366666667,68.4264,4.3482,13.3280666667,65.1166333333,59.3828666667,3.52473333333
426.87,3.1726,53.8381333333,51.5655333333,5.8208,68.2629333333,4.34026666667,13.3108,64.9153,59.0284666667,3.51473333333
427.23,3.20986666667,53.5896,51.3342,5.8578,68.1859333333,4.36986666667,13.3334666667,64.7401333333,58.7352,3.53926666667
427.58,3.25693333333,53.3148666666,51.0795333333,5.92346666667,68.1132666667,4.41313333333,13.3882,64.5341333334,58.409,3.57933333333
427.94,3.28733333333,53.0064666667,50.7856,5.94986666667,67.9923333334,4.44,13.4211333333,64.3436666667,58.0624666667,3.61206666667
428.30,3.3116,52.7403333333,50.5411333333,5.98946666667,67.9666666667,4.4732,13.4699333333,64.2175,57.7950666666,3.64386666667
428.65,3.31213333334,52.4458,50.2482,5.98986666667,67.8605333333,4.47893333333,13.4879333333,64.0297666667,57.4469333333,3.63046666667
429.01,3.27506666667,52.0761333333,49.892,5.96573333333,67.7366666667,4.43446666667,13.459,63.7461,57.0305333333,3.60446666667
429.37,3.22493333333,51.7515333333,49.5990666667,5.92666666667,67.6744,4.39486666667,13.447,63.5276666667,56.7112666667,3.5454
429.72,3.2156,51.4207333333,49.2950666667,5.92873333333,67.5559333333,4.38686666667,13.4654,63.313,56.3405333333,3.5206
430.08,3.22873333334,51.0450666667,48.9536666667,5.92026666667,67.4486,4.403,13.4942,63.0741,55.9504666667,3.51926666667
430.44,3.19726666667,50.7036,48.6334,5.89226666667,67.3391333333,4.3606,13.4903333333,62.8459666667,55.5913333333,3.4772
430.79,3.1878,50.4439333333,48.3787333333,5.89046666667,67.3247333333,4.37286666667,13.5281333333,62.6877666666,55.3068,3.47986666667
431.15,3.16933333333,50.1361333333,48.0770666667,5.86633333333,67.2256,4.3516,13.5491333333,62.493,54.9716666667,3.47066666667
431.50,3.11786666667,49.8048666667,47.7546666667,5.80213333333,67.1126666667,4.301,13.5339333333,62.2524,54.5696666667,3.41573333333
431.86,3.1166,49.5097333334,47.4762,5.80573333333,67.0472,4.30546666667,13.5789333333,62.0492666667,54.2438666667,3.4236
432.22,3.14533333333,49.2396666667,47.1991333333,5.8316,66.9860666667,4.31713333333,13.6357333333,61.8410333333,53.8747333333,3.44473333333
432.57,3.1512,49.0521333333,47.0136,5.84473333334,67.0420666666,4.311,13.6836666667,61.7636333334,53.6359333333,3.44413333333
432.93,3.15933333333,48.8256666667,46.7548666667,5.8454,66.9574666667,4.31373333333,13.7022666667,61.6215666667,53.3442,3.439
433.29,3.20613333333,48.546,46.4810666667,5.87786666667,66.8039333333,4.35073333333,13.7578,61.3655666667,52.9821333333,3.49066666667
433.64,3.2424,48.3182,46.2458666667,5.91673333333,66.7384,4.3962,13.8257333333,61.1629,52.6608,3.54233333333
