wavelength,Back_CatAnam,Belly_CatAnam,Breast_CatAnam,Crissum_CatAnam,Crown_CatAnam,DorTail_CatAnam,Patch10_CatAnam,Patch11_CatAnam,Rump_CatAnam,Throat_CatAnam,WingTip_CatAnam
818.72,20.0746511905,29.6752666667,22.3068666666,26.0470666667,14.1919,12.9265666667,58.8243333333,23.6207333333,19.36996,19.2834333333,11.2131333334
819.02,19.8726833333,29.8974666667,22.2315333333,25.6673333333,14.2916666667,12.7310333333,58.2615,23.8330666667,19.74132,19.4353666667,11.3554
819.33,19.135025,29.4289333333,21.7681333333,25.3836,13.5604666667,11.6574333333,58.4409,23.5174666667,19.38604,18.6925,10.6936666667
819.63,18.9405809524,29.3301333333,21.9333333333,25.1641333333,13.6669333333,11.4184666667,58.3293,23.5146666667,19.14888,18.2873333333,10.4858666667
819.93,18.2690702381,28.6793333333,21.4496,25.1647333333,13.5757666667,11.0564666667,57.5923,22.9556666667,18.6177333333,17.8606,10.0502666667
820.24,18.1043154762,28.8316,21.3608666667,25.3804,13.4175,10.9178333333,58.5867,22.9350666667,18.8746533333,18.0033333333,9.76999999999
820.54,18.143547619,29.2064666667,21.3693333333,25.8178666667,13.4136333334,10.7193,58.5833666667,22.9027333334,18.8162933333,18.3135333333,9.77746666667
820.85,18.5071571429,29.6305333333,21.5888,26.1144,13.5674333333,11.0041333333,58.9064333333,23.1859333333,19.1306133333,18.6059,10.1122
821.15,18.420977381,29.5978666667,21.4964666667,26.1687333333,13.4471,10.9036,58.8912333333,23.2395333333,18.984,18.5652,9.94193333334
821.45,18.4054035714,29.4038,21.3854666667,26.1724666667,13.3545333333,10.7566,59.0705666667,23.1995333333,18.8929333333,18.5392,9.91313333332
821.76,18.2747583333,29.2046666667,21.2603333333,26.22,13.3586666667,10.7428,58.8476666667,23.0935333333,18.77704,18.5523,9.79713333334
822.06,18.1610321429,29.1284666667,21.1007333333,26.119,13.2951666667,10.7078,58.6508333333,22.9039333333,18.6327066667,18.4426,9.72340000001
822.36,18.3306095238,29.2927333333,21.2482,26.3073333333,13.4060666667,10.8921,58.9947333333,23.0607333333,18.8037333334,18.6169,9.87633333333
822.67,18.6351595238,29.5359333333,21.5919333333,26.6908,13.7261,11.3065,59.1267,23.4244666667,19.12876,19.0623,10.2131333333
822.97,19.0875714285,30.0156666667,21.9809333333,27.2450666667,14.1367666667,11.6581666667,59.5861666667,23.8858,19.55184,19.6321333333,10.7116
823.27,19.15735,30.1701333333,22.0738,27.2949333333,14.1344666667,11.7678,60.0089333333,24.0778666667,19.7065066667,19.7453,10.7624666666
823.58,19.3502261905,30.3216666667,22.2354666667,27.4296,14.3447,11.8663666667,60.1888333333,24.2680666667,19.8310666667,19.9488,10.8549333333
823.88,19.5616642857,30.3983333333,22.3530666667,27.4754666667,14.5332666667,12.0589333333,60.3453,24.4812,19.9253066667,20.0449,10.9273333333
824.18,20.0018571429,30.8166666667,22.856,27.9874666667,14.9587,12.5423666667,60.9227,24.9196,20.36044,20.5277,11.3564
824.49,20.3352321429,31.1600666667,23.3028,28.2861333333,15.3682,12.8655,61.328,25.231,20.82064,20.9323,11.7702
824.79,20.7708571429,31.6687333333,23.7859333333,28.7041333333,15.8248333333,13.2725666667,61.6875666667,25.664,21.3304933333,21.3389666667,12.2524666667
825.09,20.5876904762,31.5594666667,23.5917333333,28.3347333333,15.4802333333,12.9455666667,61.6196,25.2452,21.03488,20.8576,12.0850666667
825.39,20.2135869047,31.2118666667,23.2357333333,28.2155333334,15.0864666667,12.5289666667,61.5754666667,24.9575333333,20.6250666667,20.5507666667,11.5110666667
825.70,19.6877023809,30.734,22.662,27.8114,14.4301666667,11.9214333333,61.3046333333,24.3278666667,19.95576,19.9291333333,10.7372666667
826.00,19.3700761905,30.3574666667,22.3222,27.6099333333,13.8696333333,11.1321666667,61.2938,23.8406,19.5076,19.4944666667,10.0850666667
826.30,19.0337047619,29.843,21.8728666667,27.3116,13.5092333333,10.7794,60.9347666667,23.3314,19.23492,18.9204333333,9.4394
826.61,19.3784119048,30.0679333333,22.1316666667,27.7726666667,13.6393333333,10.7895666667,61.0224,23.3732666667,19.39972,19.0123666667,9.56706666667
826.91,19.7708488095,30.543,22.5194,28.3187333333,13.8919666667,11.2891,60.9248333333,23.7064,19.7306133333,19.5141666667,10.0574
827.21,19.6372619048,30.4873333333,22.3782,28.32,13.671,11.0871333333,60.8356666667,23.6413333333,19.7974133333,19.2786666667,9.94913333333
827.51,18.6923023809,29.7488,21.5428,27.5528666667,12.9673333333,10.2512333333,59.8349666667,22.9959333333,18.8848133333,18.4517333333,9.06353333334
827.82,18.7403321429,29.6706666667,21.1389333333,27.3291333333,12.8383333333,10.3423333333,59.5998666667,23.0002,18.9554666667,18.3399333333,9.03786666667
828.12,18.2724238095,28.9577333333,20.4949333333,26.7484666667,12.4312333333,10.0524666667,58.9712,22.5870666667,18.5146,17.8726333333,8.61873333334
828.42,18.5272011905,29.746,20.7258,27.3716666667,13.027,10.3418333333,59.6769,23.1717333333,19.1155733333,18.4331,8.83580000001
828.72,18.5325583333,30.0066666667,20.7738,27.3816666667,13.1048,10.4345666667,59.6107,23.1046666667,19.1626933333,18.3027333333,8.87980000001
829.02,18.7667642857,30.3308666667,21.2196,27.7283333333,13.5727666667,10.7728,59.6172333333,23.5211333333,19.58224,18.9309333333,9.31366666667
829.33,19.1396404762,31.4082,21.8646,28.0858,14.2712,11.7106,60.4978333333,23.9328666667,20.2310266667,19.5765333333,9.89546666668
829.63,19.4744857143,31.9964666667,22.2507333333,28.4454,14.4094666667,12.4473333333,60.8739333333,24.4035333333,20.5320933333,19.9047333333,10.5307333333
829.93,19.1039357143,31.9715333333,21.9308666667,28.0827333333,14.2345333333,12.4357,60.4776333333,24.4513333333,20.4199333333,20.3116333333,10.3318666667
830.23,17.1996357143,30.5456666667,20.0822666667,26.405,12.5337,10.396,59.6749666667,22.7204,19.01944,18.2736666667,8.3632
830.54,17.3078928571,30.8888,20.4444,26.8571333333,13.0435333333,10.9681666666,59.5874,23.0633333333,19.2809066666,18.7500333333,8.93653333333
830.84,19.6002773809,32.5646666667,22.0389333333,28.8268666667,15.3560333333,13.1473,61.0072666667,24.9757333333,21.39468,20.6349666667,10.9223333333
831.14,19.5258226191,32.2505333333,22.4242,28.8485333333,15.0302666667,12.8564333333,60.9091666667,25.0424666667,21.29456,20.2141333333,10.5130666667
831.44,20.8061535714,33.7863333333,23.7621333333,30.0404666667,15.4085333333,13.3010666667,62.7752333333,25.9951333333,22.22976,21.4522333333,10.9546666667
831.74,20.9021297619,33.2561333333,23.5683333333,29.4952666667,14.8593,13.2292666666,62.1887666667,25.9036666667,21.9499466667,21.2986666667,10.6975333333
832.04,21.9421607143,33.5568,24.5260666667,30.2846666667,15.6756,13.9208666667,63.0594666667,26.5800666667,23.02832,22.0216666667,11.8702
832.35,21.5602440476,32.6103333333,23.7281333333,29.9436666667,15.4061,13.6450666667,62.0465,26.0232666667,22.53796,21.1675666667,11.3432
832.65,20.9822940476,31.4336,22.8798666667,29.3334666667,14.9010333333,13.0592333333,60.3500333333,25.5219333333,21.6400666667,20.6181333333,11.0624
832.95,20.7647761905,31.2484,22.9554,29.2728,15.2375666667,12.8550666667,60.4581,25.5039333333,21.6287733333,20.7103,10.922
833.25,20.8990142857,31.4262666667,23.1226666666,29.5138666667,15.2702,13.0606666667,60.4266,25.5052,21.7029733333,20.397,11.1507333333
833.55,21.432402381,31.7843333333,23.8229333333,30.0544,15.9051,14.0455666667,60.6268666667,25.9930666667,22.1300666667,20.9944666667,11.9348
833.85,21.3418,31.8908,23.7869333333,29.9898666667,15.8282,13.8353666667,61.1494,25.9734666667,22.2498533333,21.1621,11.5850666667
834.16,20.5552166666,31.5755333333,23.0901333333,29.2501333333,15.0404333333,12.9509,60.5269666667,25.1064666667,21.7436133333,20.5878,10.9928
