wavelength,Back_SalAurm,Belly_SalAurm,Breast_SalAurm,Crissum_SalAurm,Crown_SalAurm,DorTail_SalAurm,Patch10_SalAurm,Patch11_SalAurm,Patch12_SalAurm,Rump_SalAurm,Throat_SalAurm,WingTip_SalAurm
227.64,-1098.88893333,-919.999999999,-1275.5556,-970.0,-1304.4444,-1105.65641212,-742.222266667,-945.555399999,-561.666733333,-1085.5554,-1031.11113333,-1008.51858519
228.01,-180.196066667,-158.823466666,-222.941066667,-174.1176,-220.392133333,-186.818306061,-135.294133333,-155.686133333,-87.9411666667,-191.568733333,-173.7254,-172.047777778
228.39,-75.3921333334,-68.4314,-93.3333999999,-82.3528666667,-96.1763333333,-73.5516272727,-55.8824666667,-70.0980000001,-30.5883333333,-89.0196666667,-71.8627333333,-75.5663703704
228.76,-37.3832,-34.3300666667,-49.1588,-44.8598,-50.4049333333,-36.6099121212,-25.9188666667,-36.7602,-7.91283333334,-50.1557333333,-38.1309333333,-38.4976592593
229.14,-23.3332666667,-21.4647333333,-34.091,-31.1616666667,-33.0302666667,-22.8053030303,-16.2120666667,-24.2928666667,0.530299999999,-37.1717333333,-23.8384,-23.7822148148
229.52,-26.4414666667,-25.1352,-34.8197333333,-32.2973333333,-34.0090666667,-27.4242515152,-19.7298,-30.8108666667,-3.26573333333,-38.7387333333,-25.4054,-26.7066740741
229.89,-23.9522,-21.5568666667,-32.0958,-28.2235333333,-28.5828666667,-24.1045454546,-18.3233333334,-29.2614,-1.83626666667,-35.0898666667,-21.6366666667,-24.6263037037
230.27,-16.6120666667,-14.8633333333,-26.0838666667,-20.3644,-18.2149333333,-17.3868969697,-12.6410666667,-21.3480666667,3.66116666667,-26.9217333333,-15.3370666667,-18.2432592593
230.65,-13.3003333333,-10.6467333333,-20.9618,-15.1906666667,-13.3664,-13.7735636364,-10.0165333333,-20.3317333333,5.655,-22.5207333333,-12.1724666667,-13.2706
231.02,-10.4891333333,-7.00299999999,-16.4526,-11.4984,-10.7033333333,-9.94442424243,-7.8288,-15.6881333333,5.32103333333,-18.0428,-9.02146666667,-9.42566666666
231.40,-13.4855333333,-6.51453333333,-16.4688666667,-12.481,-11.4763333333,-12.0202121212,-10.2283333333,-16.2252666666,2.45053333333,-18.5692,-10.1977333333,-11.2868888889
231.78,-10.8445333333,-3.437,-12.2962666667,-8.32600000001,-6.60746666667,-9.22700909091,-7.55553333335,-13.0667333333,3.2443,-16.1482666667,-7.64440000001,-7.44360000001
232.15,-11.5232666667,-3.80086666666,-10.7993333333,-7.5416,-7.42079999999,-9.1127969697,-6.57613333335,-14.1478,2.23243333333,-16.1990666666,-7.08893333332,-7.43754814814
232.53,-15.3976,-4.53473333333,-14.1793333333,-9.40793333332,-12.3180666667,-14.1426212121,-9.81373333333,-17.5974,0.152266666666,-20.0675333333,-9.91546666667,-10.3215111111
232.90,-11.6574666667,0.109333333333,-10.8924,-5.57373333333,-10.1639333333,-12.2750727273,-8.08733333332,-13.7706666667,4.31703333333,-15.2639333333,-4.99079999999,-7.1120222222
