wavelength,Back_HemVerm,Belly_HemVerm,Breast_HemVerm,Crissum_HemVerm,Crown_HemVerm,DorTail_HemVerm,Rump_HemVerm,Throat_HemVerm,WingTip_HemVerm
218.21,-2008.33333333,-3358.33333333,-4516.66666666,-1708.33333333,-3016.66666666,-5491.66666666,-5158.33333333,-3625.0,-3225.0
218.59,-189.285583333,-334.523916667,-495.238000001,-102.380916667,-333.333333333,-660.714333334,-608.33325,-427.380833333,-316.66675
218.97,-445.833333333,-750.0,-989.583333332,-320.833333333,-662.5,-1245.83333333,-1154.16666667,-808.333333334,-689.583333332
219.34,225.833333333,354.166666667,480.833333333,210.0,345.0,547.5,528.333333333,387.5,371.666666666
219.72,170.37025,248.611,278.70375,152.777833333,218.981416667,339.35175,323.611083333,270.833333333,268.9815
220.10,208.333333333,292.261833334,316.07125,179.166583333,257.142916667,420.833333334,406.5475,349.404666667,305.952333334
220.47,155.246916666,184.876583333,204.320916667,151.85175,172.22225,253.703916667,250.925916667,231.172916667,191.0495
220.85,104.960333333,114.087416667,125.0,97.8174999998,118.254,163.6905,155.158833333,157.539583333,115.476166667
221.23,99.2753333334,112.499916667,127.71725,104.529,118.478166667,147.644833333,141.485416667,152.174,113.586916667
221.61,206.349333333,206.349166667,268.253916667,209.127083333,235.3175,286.508,278.571333333,306.34925,226.190166667
221.98,202.536166666,189.492833334,254.347833333,201.811583333,222.101583333,266.66675,253.623,274.275333333,206.1595
222.36,150.2525,144.949666667,173.98975,144.191916667,163.131333333,180.050583333,178.78775,190.656666667,144.191833333
222.74,125.0,119.444583333,139.814833333,120.555583333,121.110916667,135.555583333,142.962916667,148.518583333,109.999833333
223.11,165.83325,153.611083334,182.222083333,162.77775,167.222083333,178.888916667,192.22225,213.611083333,136.66675
223.49,630.208333333,555.208333333,669.791666666,602.083333334,622.916666666,682.291666666,713.541666667,778.125000001,481.25
223.87,476.85175,382.4075,539.814666666,429.62975,509.259166667,468.518583333,555.5555,592.5925,299.074166667
224.24,-4033.33333333,-3325.0,-4716.66666666,-3500.0,-4375.0,-3891.66666667,-4766.66666667,-4541.66666667,-2491.66666667
224.62,-371.296333333,-289.81475,-431.481416667,-300.0,-376.852,-316.666583333,-453.70375,-362.963083333,-187.037
225.00,-91.9445833333,-76.9444166666,-123.888833333,-76.6667500001,-94.1666666666,-76.3889166668,-135.833416667,-86.9444166666,-52.2222500001
225.38,-53.1530833334,-50.6756666667,-80.4055000001,-46.3965833332,-51.3512499999,-50.901,-102.027,-54.72975,-28.15325
225.75,-98.5119166666,-102.976166667,-139.583416667,-94.6429166667,-96.7261666667,-99.107,-162.2025,-90.4762500002,-71.4286666667
226.13,-58.5526666667,-71.7104166667,-94.7370000001,-59.6491666667,-59.2105833332,-58.3333333333,-115.35075,-58.7719166667,-55.7018333333
226.51,-31.6090833333,-35.0575,-64.0804166667,-36.3505833333,-31.1781666667,-34.4826666667,-72.4138333333,-40.5171666667,-33.908
226.88,-18.4830833333,-21.7949166667,-48.3975,-23.9316666667,-26.17525,-27.1368333333,-53.3119166667,-27.88475,-23.5041666667
227.26,-17.1568333333,-16.2745,-43.1373333333,-19.7059166667,-21.1765833333,-23.4315,-47.2548333333,-18.1371666667,-18.8235
227.64,-6.77083333334,-9.72225,-29.2535,-10.59025,-11.02425,-10.9374166667,-32.6388333334,-8.68058333333,-9.5485
228.01,-5.97224999998,-9.51400000001,-25.6944166666,-13.47225,-10.4860833333,-12.0138333333,-25.9721666667,-8.40283333333,-10.5554166667
228.39,-11.4418333333,-13.3598333333,-32.53975,-20.83325,-17.4603333334,-16.0053333333,-30.9525,-17.7249166667,-14.9470833334
228.76,-5.18883333333,-5.92249999999,-21.6459166667,-12.4215,-11.68775,-12.1069166667,-21.174,-14.5700833333,-8.70016666665
229.14,-0.23025,-0.46025,-13.2135,-7.09016666666,-4.97233333334,-6.62983333333,-12.61525,-9.48433333333,-3.13066666667
