wavelength,Back_NemPilf,Belly_NemPilf,Breast_NemPilf,Crissum_NemPilf,Crown_NemPilf,DorTail_NemPilf,Patch10_NemPilf,Rump_NemPilf,Throat_NemPilf,WingTip_NemPilf
563.99,20.1544666667,57.5756666667,45.5250666666,43.9611333333,18.4323333333,17.0880666667,21.5774666667,21.695,45.5455333333,10.5448
564.33,20.1836,57.6518,45.5928666667,43.9991333333,18.4780666667,17.1172666667,21.5886,21.7258666667,45.6018,10.5994666667
564.67,20.1698,57.6082,45.5577333333,43.9641333333,18.4455333333,17.1126,21.5605333333,21.7084,45.5264666667,10.6085333334
565.01,20.1760666667,57.6195333333,45.602,43.9902,18.4506666667,17.1296,21.5446,21.73,45.528,10.6550666667
565.35,20.1645333333,57.6179333334,45.6288666666,43.9759333333,18.4548,17.1768,21.5328666667,21.7327333333,45.5197333333,10.6705333333
565.69,20.1939333333,57.63,45.6557333333,43.9993333333,18.4981333334,17.2054666667,21.5318666667,21.7564,45.4978666667,10.7242
566.03,20.2273333333,57.6669333333,45.7260666667,44.0459333334,18.5026,17.2340666667,21.5218666667,21.7906,45.5358666667,10.7644666667
566.37,20.2313333333,57.6679333333,45.7766,44.0454666667,18.5115333333,17.276,21.5144666667,21.8042,45.5552666667,10.7920666667
566.71,20.2301333333,57.7406,45.8512666667,44.0828,18.512,17.2848,21.4977333333,21.8020666667,45.6318,10.8019333333
567.05,20.1905333334,57.7518,45.8742,44.0862666667,18.4856666667,17.2512,21.4699333333,21.7630666667,45.6515333333,10.7781333333
567.39,20.2167333333,57.7870666667,45.9244666667,44.1497333333,18.4866666667,17.2576,21.4716666667,21.7751333333,45.7013333333,10.801
567.73,20.1506666667,57.8681333333,45.9647333333,44.1801333333,18.4015333333,17.1602666667,21.3775333333,21.6888,45.7408,10.7326
568.07,20.1305333333,57.9429333333,46.0464666667,44.2424666667,18.3780666667,17.1566666667,21.3486666667,21.6552,45.8128,10.7094
568.41,20.1274666667,57.9991333333,46.1128,44.305,18.3732666667,17.1466666667,21.3293333333,21.6429333334,45.8882666667,10.7268
568.75,20.0645333333,57.9955333333,46.1036,44.2850666667,18.301,17.0862,21.2733333333,21.5827333333,45.8546,10.6772
569.09,20.0416666667,57.9988,46.1139333333,44.2923333333,18.2834666667,17.0523333333,21.2471333333,21.5791333333,45.8782,10.6856
569.43,20.0454,58.071,46.2068666667,44.3435333333,18.2884,17.0658666667,21.2492,21.5732666667,45.9787333333,10.7011333333
569.77,20.0758666667,58.0586666667,46.2472,44.3663333333,18.3114666667,17.0686,21.2531333333,21.5760666667,45.9826,10.7365333333
570.11,20.0288666667,58.0776666667,46.2682666667,44.4175333333,18.291,17.0464,21.2260666667,21.5670666667,45.9529333334,10.7327333333
570.45,20.0648,58.1218666667,46.3447333333,44.458,18.3192,17.1031333333,21.2302,21.5969333333,45.9954666667,10.7973333333
570.79,20.0027333333,58.0636,46.3277333333,44.4390666667,18.2428666667,17.0498666667,21.1435333333,21.5491333333,45.9180666667,10.7512
571.13,19.9460666667,58.0255333334,46.2945333333,44.4012,18.1618666667,17.0002666667,21.0482666667,21.4796,45.8696,10.7429333333
571.47,19.9635333333,58.0429333333,46.3201333333,44.4281333334,18.1935333333,17.0548666667,21.0524666667,21.527,45.895,10.7949333333
571.81,19.9391333333,57.9912666667,46.2974,44.3923333333,18.185,17.0498666667,21.0219333333,21.5117333333,45.8710666666,10.8134666667
572.15,19.9428,58.0183333333,46.3808666667,44.4372666667,18.1927333333,17.1114666667,21.0076666667,21.5248,45.9065333333,10.8722666667
572.49,19.9557333333,58.0382,46.448,44.4689333333,18.2157333333,17.1548,21.0048,21.5647333333,45.957,10.9133333333
572.83,19.99,58.1344,46.5383333333,44.5546666667,18.2321333333,17.1991333333,20.9962,21.5963333333,46.0274666667,10.9451333333
573.17,19.9776,58.213,46.5968,44.6114,18.2163333333,17.2112,20.9714,21.6164,46.0399333333,10.9703333333
573.51,19.8982,58.2653333333,46.6381333333,44.6246,18.1722666667,17.1920666667,20.9251333333,21.5793333333,46.0568,10.9292666667
573.85,19.9551333333,58.3644666667,46.7295333333,44.6798,18.2152666667,17.2280666667,20.9273333333,21.6362,46.1588666667,10.9891333333
574.19,19.9269333333,58.3058666667,46.7066,44.6742666667,18.1949333333,17.2103333333,20.9188,21.6374666667,46.0954,11.0131333333
574.53,19.974,58.4103333333,46.8072,44.7656666667,18.2432,17.2700666667,20.9576,21.6929333333,46.2106666667,11.0868
574.87,20.0078666667,58.4949333333,46.8969333333,44.8204,18.3174,17.3438666667,21.0136666667,21.7698666667,46.2610666666,11.1436666667
575.21,20.0067333333,58.5088666667,46.9528,44.8214,18.3236666667,17.3580666667,20.9948,21.7592666667,46.2593333334,11.1466666667
575.55,20.0072,58.5678666667,47.0038,44.87,18.3248,17.3718,21.0000666667,21.7822,46.2855333333,11.1662
575.89,20.0671333333,58.639,47.0405333333,44.8956,18.4050666666,17.4023333333,21.0586,21.8547333333,46.3438,11.2324
576.22,20.1335333334,58.763,47.1586,45.0008,18.4630666667,17.4674,21.1204666667,21.9184666667,46.4644,11.3084
576.56,20.1126666667,58.7592666667,47.1662,44.9778,18.4336666667,17.464,21.0990666667,21.8981333333,46.4534666667,11.3172666667
576.90,20.0641333333,58.6513333333,47.1098,44.8813333333,18.3902666667,17.4273333333,21.0287333333,21.8634666667,46.4058666667,11.2718
577.24,20.1369333333,58.7008,47.1244,44.9384,18.431,17.4720666667,21.0514,21.9178666667,46.4796,11.3464
577.58,20.0774666667,58.6614,47.1068666667,44.9122666667,18.3628666667,17.4156666667,20.9916666666,21.8436,46.4486666667,11.3033333333
577.92,20.0764666667,58.7873333333,47.1825333333,44.9863333333,18.3530666667,17.4294,20.9603333333,21.8524666667,46.5589333333,11.292
