wavelength,Back_CyaCaef,Belly_CyaCaef,Breast_CyaCaef,Crissum_CyaCaef,Crown_CyaCaef,DorTail_CyaCaef,Patch10_CyaCaef,Rump_CyaCaef,Throat_CyaCaef,WingTip_CyaCaef
206.12,1873.33333333,1140.0,2375.55546667,1928.88893333,1353.33336667,877.777866667,1402.2222,1400.00006667,2873.33326667,1533.3334
206.50,549.697066667,324.242466667,658.787999999,544.848466667,385.4545,208.484666667,356.9696,320.606133333,752.727266667,388.484933333
206.87,564.444533333,291.8518,711.111133333,577.7778,409.259166667,128.888866667,317.777866667,277.7778,782.962866667,361.481333333
207.25,443.030333333,212.121266667,563.030333333,468.4848,300.3031,96.3636666667,270.909133333,209.696933333,661.818133333,288.484866667
207.63,1003.33333333,381.666666667,1253.33333333,1040.0,613.333333333,35.0000000008,655.000000001,308.333333333,1566.66666666,470.0
208.01,300.952466667,100.9524,350.4762,313.333266667,165.952333333,2.3810000002,195.714333333,110.952466667,424.761866667,126.666666666
208.39,257.5,94.5833333333,306.25,279.166666667,163.541666667,12.0833333334,171.25,110.0,346.666666667,106.666666667
208.77,167.5362,72.7535333334,209.855066667,219.1304,125.362233333,23.4783333334,129.5652,70.4348666667,252.4638,102.318866667
209.14,163.678266667,77.7012666667,193.563133333,202.298733333,114.712666667,49.1952666667,133.333333333,86.8965333332,224.138,112.873533333
209.52,336.190466667,164.761933333,411.9048,401.428533333,231.428533333,110.9524,289.047666667,180.952466667,428.571466666,239.999933333
209.90,-4073.33333333,-1786.66666667,-5206.66666666,-5153.33333333,-2550.0,-653.33333333,-3146.66666667,-1720.0,-4893.33333333,-2526.66666667
210.28,309.4118,194.5098,388.235133333,405.098133333,257.254933333,143.5294,281.568733333,187.450866667,366.6666,230.5882
210.66,263.077066666,181.282,309.487066667,321.0256,231.5385,172.8206,261.025666667,208.461666667,303.5896,230.5128
211.03,306.172866667,223.703666666,354.320933333,371.605,255.9259,220.000066667,320.7408,263.950466667,341.9752,284.4444
211.41,382.2222,279.365066667,426.3492,473.650733333,325.555566667,271.1112,399.682666667,337.777933334,419.6826,374.9206
211.79,460.416666667,320.833333333,525.0,591.25,387.083333333,312.916666667,471.25,407.916666667,501.666666667,478.75
212.17,379.666666667,262.333333333,434.666666667,483.666666667,347.0,279.333333333,387.666666667,315.333333333,406.666666667,397.666666667
212.55,572.380933333,406.1904,661.4286,728.571333333,517.381033333,410.9524,598.0952,454.285666667,631.904866667,606.190466667
212.92,-1492.0,-998.666666666,-1793.33333334,-1826.66666667,-1324.0,-1060.0,-1508.0,-1166.66666667,-1645.33333333,-1556.0
213.30,-793.333533333,-562.9632,-947.407400001,-985.925866667,-701.111,-563.703666667,-788.148066665,-585.925933333,-835.555799999,-808.148066667
213.68,-2531.1112,-1786.6666,-2808.88893333,-3008.88893333,-2065.55546667,-1748.88893333,-2380.0,-1784.44446667,-2708.8888,-2562.2222
214.06,1394.44446667,1067.77773333,1516.66666667,1606.66666667,1161.11093333,1072.22226667,1380.0,1097.7778,1630.00006667,1403.33333333
214.44,-621.6666,-448.889,-653.333266667,-704.444333333,-480.0001,-441.666733333,-605.000066667,-496.111066667,-715.555533333,-628.333399999
214.81,-311.111133333,-228.055533333,-323.333333333,-361.1112,-245.694566667,-223.3334,-294.722333333,-263.055533333,-377.5,-303.611
215.19,-1158.09533333,-865.7142,-1163.80953333,-1301.90466667,-954.761766667,-855.238133333,-1067.61906667,-1005.7142,-1429.5238,-1115.23806667
215.57,8586.66666668,6453.33333333,8880.00000001,9606.66666667,7203.33333333,6599.99999999,8033.33333333,7646.66666667,10566.6666667,7993.33333333
215.95,389.4872,313.077,389.230866666,433.333266667,343.461566667,322.051333333,362.564066667,347.692333333,471.281933333,358.461533333
216.32,412.345666667,324.4444,389.382733333,448.1482,355.5555,340.7408,381.2346,370.123466667,492.345733333,363.9506
216.70,915.757666667,689.090866667,833.939399999,973.333333333,758.787966667,731.5152,825.454600001,801.818199999,1075.1516,761.818266667
217.08,400.714333333,308.333333333,355.9524,424.285733333,348.9286,314.999933333,361.904733333,339.5238,445.9522,323.0952
217.46,410.952333333,322.1428,379.2858,442.381,370.000066667,320.714333333,378.333333333,365.476133333,470.476,344.761666667
217.83,299.2594,245.5556,278.148133333,331.666733333,274.536966667,233.703666667,280.1852,275.000066666,356.8518,251.4814
218.21,337.142866667,271.9048,320.238133333,387.380866667,317.1428,259.2858,315.238066667,302.619,406.6666,275.7142
218.59,260.0,213.5,248.333333333,296.333333333,245.166666667,203.333333333,244.333333333,229.666666667,307.166666666,209.833333333
218.97,223.252,175.447133333,208.780466667,260.1626,203.8212,160.162666667,205.365933333,183.252133333,258.536666667,176.910733333
219.34,-1810.0,-1273.33333333,-1555.0,-2105.0,-1567.5,-1103.33333333,-1483.33333333,-1275.0,-2048.33333333,-1235.0
219.72,-385.9648,-267.368333333,-323.157933333,-415.4386,-317.193033333,-216.491333333,-295.789466667,-257.8948,-425.964866667,-264.561466667
220.10,-241.9048,-159.761933333,-215.714333333,-250.4762,-198.690466667,-121.904666667,-188.571466667,-154.761866667,-267.619066667,-165.238066667
220.47,-240.5128,-162.564133333,-223.333333333,-249.4872,-198.9745,-115.897333333,-194.6154,-155.128066667,-277.179533333,-168.974266667
220.85,-808.889000001,-588.888866667,-762.222200001,-836.296200001,-708.1481,-468.148133333,-663.703666667,-588.8888,-970.3704,-617.777800001
221.23,-928.333333335,-678.333333333,-881.666666667,-978.333333334,-788.750000001,-589.166666667,-778.333333333,-747.500000001,-1112.5,-745.833333334
221.61,-930.0,-679.166666667,-859.999999999,-914.166666667,-740.0,-590.833333333,-764.166666667,-708.333333334,-1130.0,-710.0
221.98,-316.8,-218.933333333,-302.666666667,-297.066666667,-262.4,-202.933333333,-265.6,-230.666666667,-362.666666667,-242.666666667
222.36,-472.0,-323.666666667,-444.666666667,-437.666666667,-403.5,-316.666666667,-394.333333333,-353.333333334,-518.0,-369.0
222.74,-203.076866667,-136.410266667,-193.5042,-191.111066667,-179.9145,-132.8204,-166.324733333,-155.897533333,-233.162333333,-171.794933333
223.11,-279.555533333,-201.111,-277.1112,-267.111133333,-257.888966667,-201.333266667,-239.111,-227.111066667,-315.5556,-249.3334
223.49,-1173.33333333,-913.333333333,-1227.5,-1184.16666667,-1145.41666667,-930.000000001,-1085.0,-1000.0,-1300.83333333,-1095.83333333
223.87,-1126.66666667,-855.833333334,-1180.83333333,-1180.83333333,-1117.91666667,-908.333333334,-1037.5,-979.166666665,-1230.83333333,-1035.83333333
224.24,-598.6666,-440.000066667,-592.8888,-645.333333333,-566.666666667,-488.444466667,-549.333266667,-527.999933333,-643.999933333,-531.555533333
224.62,-290.666666666,-213.111133333,-284.4444,-306.2222,-266.6667,-228.888933333,-254.4444,-242.2222,-299.7778,-255.5556
225.00,-313.827266667,-230.370333333,-297.777733333,-334.074066667,-283.950633333,-248.148,-273.086333333,-259.506066667,-299.2592,-277.283933333
225.38,-248.3334,-194.6296,-234.4444,-261.111266667,-227.222233333,-198.8888,-222.037,-213.5186,-243.5184,-225.0
225.75,-207.317066667,-156.9106,-195.447066667,-217.8862,-194.7967,-171.5448,-187.4796,-175.772533333,-193.333466667,-191.219466667
226.13,-196.969733334,-156.515266667,-184.394066667,-217.272733333,-186.6668,-167.878933333,-178.788,-180.1516,-188.333333333,-179.545533333
226.51,-131.428533333,-108.677066667,-120.317466667,-146.137666667,-123.2804,-114.074133333,-123.0688,-120.423133333,-126.878333333,-123.703666667
226.88,-104.957133333,-89.9146000001,-99.2307333333,-117.008466667,-96.8376333332,-94.2734,-103.5898,-94.7862666668,-101.7094,-93.7606666667
227.26,-65.1110666667,-58.8334,-61.9444666667,-74.8334,-61.6388666667,-58.3889333333,-67.5,-58.1666666666,-65.3887333333,-55.6666666667
227.64,-41.727,-37.5100666667,-37.0280666667,-44.257,-35.5823,-34.5783333333,-40.4818,-37.47,-43.0923333333,-31.4458666666
228.01,-29.3839333333,-25.7503333333,-25.9084,-30.2054,-25.1342666667,-22.4642666667,-28.6256,-25.5291333333,-30.9004,-20.0632
228.39,-23.4293333333,-21.6461333333,-22.8806,-24.5541333333,-21.7695666667,-17.7779333333,-23.3197333333,-20.6583333333,-25.4594666667,-16.1591333333
228.76,-23.1373333333,-23.3088666667,-24.1176666667,-25.6862666667,-22.5490333333,-19.7549333333,-25.5147333333,-22.9658,-26.1766,-17.4019333333
229.14,-20.576,-21.5725333333,-23.4552,-22.9234,-20.0885666667,-17.9402,-24.2302666667,-21.4175333333,-23.4994666667,-14.3521333333
229.52,-15.4866666667,-16.2318666667,-19.1718,-17.8260666667,-14.9379666667,-13.2504666667,-19.3582666666,-16.6873333333,-18.0537333333,-9.93786666667
229.89,-14.6432666667,-15.2493333334,-17.9082,-17.7322666667,-15.0244333333,-12.004,-18.1622666667,-16.6178,-18.1621333334,-8.89533333332
230.27,-14.0402,-13.8682,-16.4279333334,-16.1796,-13.9540666667,-10.9073333333,-17.2110666667,-15.6065333333,-17.727,-7.66000000001
230.65,-12.0905333333,-12.2033333333,-14.8964,-14.3315333333,-12.1846,-9.67973333333,-15.3859333333,-13.8232,-15.5554666667,-5.83806666667
231.02,-14.5797333333,-13.7299333334,-16.2417333333,-15.5050666667,-14.4853666666,-11.8414,-16.6571333333,-15.4484666666,-16.6196,-7.28986666667
231.40,-12.7029333333,-11.3084666667,-14.2884,-12.875,-12.5215666667,-9.01626666666,-13.1232666667,-14.1547333333,-14.8043333333,-5.3676
231.78,-14.2828666667,-12.4444,-16.3233333333,-15.2728,-15.5152,-10.5657333333,-15.4749333333,-15.616,-15.9595333333,-7.9192
232.15,-21.7807333334,-21.484,-24.6347333333,-23.4931333334,-23.1621,-20.1598,-24.3606666667,-24.4292,-23.1964666667,-16.1413333333
232.53,-26.2094,-25.8725333333,-29.0493333333,-28.1348,-27.3888,-25.5356,-28.6642666667,-28.5680666667,-28.5198,-21.0830666667
232.90,-28.4848,-26.6919333333,-31.0352666667,-30.0253333333,-29.3940333333,-26.591,-29.1919333333,-30.0,-30.2526,-23.4598
233.28,-32.3848,-29.4333333333,-35.0988,-35.3886,-34.3873666667,-30.5665333333,-32.8328,-33.5968,-36.7589333333,-30.7246666667
233.66,-28.5750666667,-25.2926,-29.6438666667,-30.7888666667,-30.8651666667,-26.9465333333,-28.5752,-30.0254666667,-33.4096666667,-26.0306666666
234.03,-27.1288,-25.3283333333,-29.7080666667,-29.8053333333,-29.6107333334,-26.1314,-28.9052,-28.9538666667,-31.5328,-25.1580666667
234.41,-25.9624666667,-24.6243333333,-29.7888,-28.5446666667,-29.1784333334,-25.8216,-27.9811333333,-28.6854666667,-29.8356666667,-25.6102666667
234.78,-28.5223333333,-26.4605333333,-31.6837333333,-29.9428,-29.7250666667,-27.8122,-29.0721333333,-30.7214,-31.3630666667,-27.858
235.16,-26.0764666667,-23.3660666667,-27.869,-26.5136,-26.2950666667,-24.153,-26.0984,-28.1748666667,-28.2185333333,-26.3825333333
